NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	15	65.01049041748047	0.028664008	No	
row_1	NCOA6	1100	0.8495003581047058	0.0040378864	No	
row_2	B4GALT1	1971	0.2811947464942932	-0.009920239	No	
row_3	ATP8B1	2357	0.1975005865097046	2.99103E-4	No	
row_4	ADAM10	2371	0.1957819014787674	0.029062811	No	
row_5	GSTM3	2418	0.18367524445056915	0.056181457	No	
row_6	LYN	3283	0.08837097883224487	0.042522434	No	
row_7	ADIPOR2	3403	0.07933516055345535	0.066002	No	
row_8	GAS1	3431	0.07769712060689926	0.0940678	No	
row_9	FLOT2	3543	0.0721278041601181	0.11794616	No	
row_10	PCSK9	4050	0.04808194190263748	0.1221336	No	
row_11	LYPD3	6745	0.003943206276744604	0.017248256	No	
row_12	GATA3	7659	9.080144809558988E-4	0.0011465613	No	
row_13	TMEM8B	7704	8.18668631836772E-4	0.028364906	No	
row_14	SHROOM2	8081	2.88808427285403E-4	0.039032903	No	
row_15	BRCA1	8543	2.8186021154397167E-5	0.04546361	No	
row_16	CX3CL1	8930	0.0	0.0556331	No	
row_17	AKAP7	11299	-0.001829703338444233	-0.033000994	No	
row_18	SLC2A4	11479	-0.0023135622031986713	-0.012512461	No	
row_19	HSPB1	11580	-0.0026430555153638124	0.011914259	No	
row_20	SRPX	12438	-0.006815638393163681	-0.0013958109	No	
row_21	EFNA5	16881	-0.1518356204032898	-0.19341974	Yes	
row_22	SULF2	17042	-0.16835854947566986	-0.17198405	Yes	
row_23	DCBLD2	17556	-0.24944232404232025	-0.16814557	Yes	
row_24	IL2RB	17616	-0.2635424733161926	-0.14167498	Yes	
row_25	MDGA1	18842	-0.8310526013374329	-0.17333001	Yes	
row_26	RTN4RL1	18897	-0.8888997435569763	-0.14661017	Yes	
row_27	EPHB4	18957	-0.966547429561615	-0.12013958	Yes	
row_28	GHRL	19281	-1.5878796577453613	-0.10682951	Yes	
row_29	CROCC	19539	-3.056403636932373	-0.09022931	Yes	
row_30	APP	19657	-4.370336532592773	-0.06665005	Yes	
row_31	PLAUR	19818	-7.655057430267334	-0.045214355	Yes	
row_32	AFAP1L2	19967	-22.108322143554688	-0.023180457	Yes	
row_33	THY1	20078	-112.02334594726562	7.477595E-4	Yes	
