NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA3B	74	18.98255157470703	0.010590149	Yes	
row_1	LGMN	175	9.96139144897461	0.019881856	Yes	
row_2	CPEB2	211	8.192180633544922	0.032419667	Yes	
row_3	PLSCR1	240	6.7872538566589355	0.045307063	Yes	
row_4	ACSS2	263	6.119971752166748	0.058494095	Yes	
row_5	HMGCS1	353	4.4613447189331055	0.06833514	Yes	
row_6	PCYT2	413	3.7714152336120605	0.07967439	Yes	
row_7	CHKA	468	3.217545986175537	0.09126334	Yes	
row_8	MVD	729	1.63703191280365	0.092564635	Yes	
row_9	LDLR	740	1.6053775548934937	0.10635095	Yes	
row_10	SCD	852	1.2859445810317993	0.11509332	Yes	
row_11	EBP	876	1.2329068183898926	0.12823041	Yes	
row_12	IDI1	962	1.061049461364746	0.13827121	Yes	
row_13	SQLE	1016	0.9788907170295715	0.1499101	Yes	
row_14	CYP51A1	1097	0.8537778854370117	0.16020063	Yes	
row_15	DHCR7	1107	0.8434847593307495	0.17403688	Yes	
row_16	FDPS	1111	0.8371279835700989	0.18817277	Yes	
row_17	TMEM97	1207	0.7361701726913452	0.19771418	Yes	
row_18	ECH1	1290	0.6403200626373291	0.2079048	Yes	
row_19	NFIL3	1359	0.5811617970466614	0.2187946	Yes	
row_20	FDFT1	1362	0.5745385885238647	0.23298043	Yes	
row_21	FASN	1740	0.35366660356521606	0.22843874	Yes	
row_22	LGALS3	2089	0.24775764346122742	0.2253453	Yes	
row_23	LSS	2138	0.23682889342308044	0.23723389	Yes	
row_24	GSTM2	2633	0.1525992602109909	0.22684921	Yes	
row_25	SREBF2	2840	0.12816856801509857	0.23084727	Yes	
row_26	HSD17B7	2964	0.11575248092412949	0.23899037	Yes	
row_27	MVK	3078	0.10564208775758743	0.24763285	Yes	
row_28	PPARG	3168	0.09650352597236633	0.2574739	Yes	
row_29	ANXA5	3235	0.09194492548704147	0.26846355	Yes	
row_30	SC5D	3351	0.08371992409229279	0.27700618	Yes	
row_31	PMVK	3412	0.07899510115385056	0.28829548	Yes	
row_32	FBXO6	3497	0.0741996094584465	0.29838622	Yes	
row_33	TM7SF2	3501	0.07399959117174149	0.3125221	Yes	
row_34	NSDHL	3626	0.06773226708173752	0.32061526	Yes	
row_35	PDK3	3782	0.05940435081720352	0.32716027	Yes	
row_36	ALDOC	3863	0.055435553193092346	0.33745077	Yes	
row_37	PNRC1	4479	0.034421149641275406	0.32102334	No	
row_38	CD9	5107	0.01994701288640499	0.30399665	No	
row_39	STX5	6129	0.007880430668592453	0.26729354	No	
row_40	GUSB	6181	0.007532701827585697	0.27903232	No	
row_41	ETHE1	6285	0.00672084791585803	0.2881742	No	
row_42	TRIB3	6529	0.00516138318926096	0.29032448	No	
row_43	GPX8	7112	0.0024295824114233255	0.27554506	No	
row_44	ACAT2	7579	0.0010546599514782429	0.2665587	No	
row_45	MAL2	7814	5.941253039054573E-4	0.26915845	No	
row_46	CTNNB1	8326	1.0640863911248744E-4	0.2579248	No	
row_47	TP53INP1	10367	-2.2310698113869876E-4	0.17033276	No	
row_48	ATF5	10779	-6.774491630494595E-4	0.1640931	No	
row_49	ATXN2	11043	-0.001204300089739263	0.16524458	No	
row_50	S100A11	11391	-0.002056241501122713	0.16220109	No	
row_51	ABCA2	11659	-0.0029168410692363977	0.16315281	No	
row_52	ATF3	11854	-0.003722301684319973	0.16775015	No	
row_53	HMGCR	12062	-0.004642704036086798	0.17169827	No	
row_54	GNAI1	13357	-0.01462087593972683	0.12136153	No	
row_55	LPL	13986	-0.02315816655755043	0.10428488	No	
row_56	JAG1	14214	-0.027521688491106033	0.1072342	No	
row_57	FABP5	15350	-0.056426793336868286	0.06483794	No	
row_58	ANTXR2	15778	-0.07392534613609314	0.057799242	No	
row_59	CLU	16991	-0.1625000387430191	0.011557591	No	
row_60	CXCL16	17111	-0.17743755877017975	0.019900437	No	
row_61	TNFRSF12A	18489	-0.5557355880737305	-0.034581326	No	
row_62	ACTG1	19025	-1.0516835451126099	-0.047013547	No	
row_63	FADS2	19156	-1.272026777267456	-0.039220043	No	
row_64	CBS	19514	-2.804875373840332	-0.042762935	No	
row_65	ERRFI1	19570	-3.2853245735168457	-0.031223923	No	
row_66	GLDC	19726	-5.471105098724365	-0.02467892	No	
row_67	PLAUR	19818	-7.655057430267334	-0.014937752	No	
row_68	ALCAM	19835	-8.404141426086426	-0.0014510787	No	
row_69	STARD4	19872	-10.646114349365234	0.011036793	No	
