NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	10	86.8158187866211	0.005827509	Yes	
row_1	CP	27	39.91722869873047	0.011354055	Yes	
row_2	CCL5	28	38.65673828125	0.017683169	Yes	
row_3	LAP3	114	12.866601943969727	0.01974864	Yes	
row_4	IL6	115	12.852326393127441	0.026077753	Yes	
row_5	CD36	118	12.735587120056152	0.03230655	Yes	
row_6	C1R	144	11.263131141662598	0.03738165	Yes	
row_7	LGMN	175	9.96139144897461	0.042205945	Yes	
row_8	RNF4	225	7.4740471839904785	0.046077196	Yes	
row_9	PLSCR1	240	6.7872538566589355	0.051704064	Yes	
row_10	OLR1	305	5.334225654602051	0.054822903	Yes	
row_11	CEBPB	641	2.0164666175842285	0.044348244	Yes	
row_12	CASP3	672	1.8436460494995117	0.049172543	Yes	
row_13	IRF2	732	1.6313592195510864	0.052542187	Yes	
row_14	USP15	749	1.5706590414047241	0.058068734	Yes	
row_15	PSMB9	752	1.5593924522399902	0.06429753	Yes	
row_16	VCPIP1	795	1.4241269826889038	0.0685199	Yes	
row_17	BRPF3	828	1.332505702972412	0.07324388	Yes	
row_18	C2	1000	1.001072883605957	0.07099555	Yes	
row_19	FDX1	1008	0.9893850088119507	0.076973535	Yes	
row_20	S100A13	1133	0.8205904364585876	0.077082746	Yes	
row_21	F8	1337	0.5962831974029541	0.073229276	Yes	
row_22	HSPA5	1369	0.5676466226577759	0.078003414	Yes	
row_23	MMP15	1413	0.5269575715065002	0.08217563	Yes	
row_24	CTSH	1428	0.5133947730064392	0.08780249	Yes	
row_25	CD46	1585	0.42687928676605225	0.086306565	Yes	
row_26	ADAM9	1711	0.3666229248046875	0.08636562	Yes	
row_27	PRKCD	1842	0.31852683424949646	0.08617386	Yes	
row_28	CASP4	1856	0.31378814578056335	0.09185089	Yes	
row_29	LIPA	2014	0.2667635977268219	0.0903048	Yes	
row_30	RHOG	2030	0.2628273069858551	0.09588151	Yes	
row_31	DYRK2	2039	0.2606234550476074	0.10180934	Yes	
row_32	IRF7	2087	0.24823231995105743	0.10578091	Yes	
row_33	LGALS3	2089	0.24775764346122742	0.11205986	Yes	
row_34	CSRP1	2248	0.21589669585227966	0.11046362	Yes	
row_35	RASGRP1	2266	0.21252772212028503	0.115940005	Yes	
row_36	PLA2G4A	2444	0.17955763638019562	0.11339071	Yes	
row_37	CD55	2512	0.16815204918384552	0.11635906	Yes	
row_38	USP14	2604	0.15614013373851776	0.11812357	Yes	
row_39	LRP1	2710	0.143980473279953	0.119185835	Yes	
row_40	SRC	2990	0.11314385384321213	0.11152016	Yes	
row_41	CASP10	3052	0.10747867077589035	0.114789486	Yes	
row_42	CBLB	3057	0.10718370974063873	0.12091795	Yes	
row_43	DPP4	3133	0.09932713955640793	0.123485036	Yes	
row_44	EHD1	3213	0.09351060539484024	0.12585147	Yes	
row_45	ANXA5	3235	0.09194492548704147	0.13112721	Yes	
row_46	LYN	3283	0.08837097883224487	0.13509879	Yes	
row_47	MSRB1	3486	0.07488635182380676	0.13129547	Yes	
row_48	CPQ	3713	0.06315696984529495	0.12628831	Yes	
row_49	USP8	3800	0.058650098741054535	0.12830362	Yes	
row_50	CASP7	3811	0.0578351728618145	0.13413113	Yes	
row_51	TIMP1	3816	0.05758943408727646	0.1402596	Yes	
row_52	AKAP10	3897	0.05378154665231705	0.14257587	Yes	
row_53	JAK2	3928	0.052436914294958115	0.14740017	Yes	
row_54	TFPI2	3936	0.05196214094758034	0.15337816	Yes	
row_55	GPD2	4010	0.04947935789823532	0.15604556	Yes	
row_56	LAMP2	4011	0.04940430819988251	0.16237468	Yes	
row_57	PCSK9	4050	0.04808194190263748	0.16679768	Yes	
