NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	53	25.65894889831543	0.0047519635	Yes	
row_1	MAOA	67	20.669109344482422	0.0115080355	Yes	
row_2	EPHX1	77	17.1386661529541	0.018464519	Yes	
row_3	HPGD	84	16.211048126220703	0.025571309	Yes	
row_4	CD36	118	12.735587120056152	0.03132533	Yes	
row_5	ACSL5	134	11.732891082763672	0.037981194	Yes	
row_6	DHCR24	279	5.826009273529053	0.03817381	Yes	
row_7	XIST	345	4.680396556854248	0.042324543	Yes	
row_8	HMGCS1	353	4.4613447189331055	0.04938123	Yes	
row_9	PSME1	454	3.297667980194092	0.05177837	Yes	
row_10	GABARAPL1	621	2.1099300384521484	0.050868724	Yes	
row_11	ACAA1	711	1.691017746925354	0.05381699	Yes	
row_12	HSDL2	789	1.4384177923202515	0.05736649	Yes	
row_13	MLYCD	793	1.4327434301376343	0.06462359	Yes	
row_14	HSD17B4	794	1.4297535419464111	0.072031	Yes	
row_15	ACADS	833	1.323178768157959	0.0775345	Yes	
row_16	ALDH3A2	925	1.1426653861999512	0.08038256	Yes	
row_17	IDI1	962	1.061049461364746	0.08598627	Yes	
row_18	HCCS	1191	0.7540736198425293	0.08197026	Yes	
row_19	ECH1	1290	0.6403200626373291	0.084467605	Yes	
row_20	CPOX	1340	0.5950024724006653	0.089419976	Yes	
row_21	PDHA1	1488	0.4781254827976227	0.08946229	Yes	
row_22	KMT5A	1515	0.4639871418476105	0.095567025	Yes	
row_23	ERP29	1620	0.40805086493492126	0.09776375	Yes	
row_24	BCKDHB	1637	0.39995622634887695	0.10436951	Yes	
row_25	RDH16	1676	0.38100558519363403	0.10987301	Yes	
row_26	FASN	1740	0.35366660356521606	0.114123955	Yes	
row_27	PTS	1829	0.3237355947494507	0.11712232	Yes	
row_28	CEL	1862	0.3123225271701813	0.122926444	Yes	
row_29	BPHL	1864	0.31171151995658875	0.13028374	Yes	
row_30	REEP6	1875	0.307582825422287	0.13719013	Yes	
row_31	ALDH9A1	1972	0.28117895126342773	0.13978767	Yes	
row_32	CPT2	1975	0.28051504492759705	0.14709488	Yes	
row_33	FH	1985	0.27716726064682007	0.15405136	Yes	
row_34	UBE2L6	2101	0.24526090919971466	0.15569696	Yes	
row_35	ETFDH	2160	0.23140940070152283	0.1601984	Yes	
row_36	ACOT8	2185	0.2270364761352539	0.16640335	Yes	
row_37	ALDH3A1	2288	0.20909614861011505	0.16870028	Yes	
row_38	OSTC	2358	0.19738951325416565	0.17265059	Yes	
row_39	RDH11	2383	0.19219626486301422	0.17885554	Yes	
row_40	ELOVL5	2590	0.15754160284996033	0.1759418	Yes	
row_41	HSD17B10	2626	0.15328504145145416	0.1815956	Yes	
row_42	SDHA	2683	0.1469508856534958	0.18619725	Yes	
row_43	ECHS1	2740	0.1399693638086319	0.19079891	Yes	
row_44	HSD17B11	2832	0.1291637122631073	0.19364697	Yes	
row_45	HSD17B7	2964	0.11575248092412949	0.19449092	Yes	
row_46	PTPRG	3165	0.09676574170589447	0.1918778	Yes	
row_47	ACADM	3278	0.08862842619419098	0.1936737	Yes	
row_48	LTC4S	3326	0.08507506549358368	0.19872627	Yes	
row_49	HSPH1	3395	0.07992647588253021	0.20272669	Yes	
row_50	TP53INP2	3397	0.07977433502674103	0.210084	Yes	
row_51	ADIPOR2	3403	0.07933516055345535	0.2172409	Yes	
row_52	PRDX6	3417	0.07868925482034683	0.22399697	Yes	
row_53	D2HGDH	3548	0.07172715663909912	0.22489102	Yes	
row_54	NSDHL	3626	0.06773226708173752	0.22844052	Yes	
row_55	GPD2	4010	0.04947935789823532	0.21665859	Yes	
row_56	UROS	4030	0.048688631504774094	0.22311404	Yes	
row_57	SDHC	4071	0.04715849831700325	0.22851734	Yes	
row_58	ECI1	4125	0.045649100095033646	0.2332693	Yes	
row_59	UGDH	4161	0.04429038614034653	0.23892312	Yes	
row_60	ACADL	4463	0.03473570570349693	0.23124962	Yes	
row_61	ME1	4525	0.03306121751666069	0.23560075	Yes	
row_62	NBN	4635	0.03005020134150982	0.23754697	Yes	
row_63	SUCLA2	4684	0.02863478474318981	0.24254945	Yes	
row_64	IL4I1	4711	0.027956411242485046	0.24865419	Yes	
row_65	ENO2	4803	0.025848662480711937	0.25150225	Yes	
row_66	MCEE	4815	0.025580035522580147	0.2583585	Yes	
row_67	ALDOA	4944	0.022652676329016685	0.25935277	Yes	
row_68	ACSL4	5046	0.020950116217136383	0.26169983	Yes	
row_69	SDHD	5144	0.019237933680415154	0.26424727	Yes	
row_70	PCBD1	5348	0.016345767304301262	0.26148382	Yes	
row_71	RETSAT	5364	0.01615392416715622	0.2681397	Yes	
row_72	NTHL1	5509	0.014180363155901432	0.2683323	Yes	
row_73	PDHB	5728	0.011210914701223373	0.26481733	No	
row_74	PPARA	5854	0.010006858967244625	0.2659619	No	
row_75	DLD	6351	0.0063094221986830235	0.24851835	No	
row_76	EHHADH	6393	0.005987456999719143	0.25387153	No	
row_77	ACADVL	6568	0.00492116529494524	0.2525611	No	
row_78	HIBCH	6636	0.004541673231869936	0.25661162	No	
row_79	SLC22A5	6652	0.0044463141821324825	0.26326746	No	
row_80	BLVRA	7465	0.0013402019394561648	0.22999148	No	
row_81	ACAT2	7579	0.0010546599514782429	0.23173729	No	
row_82	AOC3	7612	9.926353814080358E-4	0.23754139	No	
row_83	SUCLG1	8065	2.9761946643702686E-4	0.22230238	No	
row_84	ACSL1	8146	2.3669510846957564E-4	0.22570157	No	
row_85	GRHPR	8528	3.208096313755959E-5	0.21401985	No	
row_86	NCAPH2	8591	1.3684752047993243E-5	0.21832089	No	
row_87	MDH1	8612	6.865696377644781E-6	0.22472624	No	
row_88	ENO3	9881	-3.680596591948415E-7	0.1686034	No	
row_89	ACO2	10406	-2.6802599313668907E-4	0.149757	No	
row_90	DLST	10546	-3.9563802420161664E-4	0.15020013	No	
row_91	HADH	10647	-5.019609816372395E-4	0.15259726	No	
row_92	APEX1	10652	-5.050884792581201E-4	0.15980425	No	
row_93	S100A10	10822	-7.439327891916037E-4	0.1587443	No	
row_94	AUH	11188	-0.0015380674740299582	0.14786422	No	
row_95	HMGCL	11321	-0.0018804606515914202	0.14865808	No	
row_96	HSP90AA1	11390	-0.002053702948614955	0.1526585	No	
row_97	MDH2	11649	-0.0028634117916226387	0.14713942	No	
row_98	ECI2	11670	-0.0029787670355290174	0.15354477	No	
row_99	ACOT2	11727	-0.0032466452103108168	0.15814641	No	
row_100	UROD	11835	-0.0036503481678664684	0.16019283	No	
row_101	DECR1	11949	-0.004147107247263193	0.16193864	No	
row_102	ADSL	11990	-0.0043755387887358665	0.16734193	No	
row_103	CPT1A	12146	-0.005149820353835821	0.16698343	No	
row_104	MIF	12449	-0.006894800346344709	0.15925981	No	
row_105	ACOX1	12650	-0.008096985518932343	0.15664668	No	
row_106	CBR1	12849	-0.00975582841783762	0.15413375	No	
row_107	CRYZ	12900	-0.010130485519766808	0.15903603	No	
row_108	RAP1GDS1	13821	-0.020586760714650154	0.12034893	No	
row_109	IDH3B	14040	-0.02380235306918621	0.11683395	No	
row_110	CBR3	14388	-0.03094896860420704	0.10685572	No	
