NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	80	16.638994216918945	0.026315194	No	
row_1	L1CAM	302	5.383561134338379	0.045601826	No	
row_2	VLDLR	518	2.7786965370178223	0.06518754	No	
row_3	MYH9	2351	0.19844849407672882	0.0041691056	No	
row_4	RTN1	3170	0.0962560623884201	-0.006303498	No	
row_5	PML	3335	0.08442068845033646	0.015824467	No	
row_6	VEGFA	4273	0.040147606283426285	-5.8004376E-4	No	
row_7	LDB1	4401	0.03637342154979706	0.023392295	No	
row_8	NKX6-1	4652	0.029648432508111	0.041233335	No	
row_9	NRCAM	5759	0.011059529148042202	0.016404519	No	
row_10	SCG2	8597	1.1481086403364316E-5	-0.094711125	No	
row_11	HEY2	9116	0.0	-0.09022934	No	
row_12	NRP2	10520	-3.744416462723166E-4	-0.129863	No	
row_13	UNC5C	11450	-0.00223022373393178	-0.14586873	No	
row_14	TLE3	11609	-0.0027218766044825315	-0.123441674	No	
row_15	GLI1	12610	-0.007915237918496132	-0.14298661	No	
row_16	ADGRG1	13983	-0.023135077208280563	-0.18107498	No	
row_17	AMOT	15530	-0.06331364065408707	-0.2278369	Yes	
row_18	CELSR1	15537	-0.06363421678543091	-0.19783296	Yes	
row_19	ETS2	15694	-0.07049750536680222	-0.17530622	Yes	
row_20	PTCH1	16230	-0.09837040305137634	-0.17167184	Yes	
row_21	DPYSL2	16635	-0.12903381884098053	-0.16150738	Yes	
row_22	NRP1	16979	-0.16117466986179352	-0.14830221	Yes	
row_23	ACHE	17076	-0.17321369051933289	-0.12278458	Yes	
row_24	SHH	17222	-0.19322167336940765	-0.0997095	Yes	
row_25	CDK6	18196	-0.4254162013530731	-0.117908545	Yes	
row_26	TLE1	18724	-0.7192925214767456	-0.11387539	Yes	
row_27	NF1	18955	-0.9613068699836731	-0.095037386	Yes	
row_28	RASA1	19190	-1.350375771522522	-0.07639878	Yes	
row_29	OPHN1	19378	-1.9580692052841187	-0.055417318	Yes	
row_30	CRMP1	19542	-3.062166690826416	-0.033239506	Yes	
row_31	CDK5R1	19584	-3.469304323196411	-0.004980241	Yes	
row_32	THY1	20078	-112.02334594726562	7.4774417E-4	Yes	
