NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFI27	6	102.99549865722656	0.010338297	Yes	
row_1	OAS1	9	89.62581634521484	0.020876596	Yes	
row_2	C1S	10	86.8158187866211	0.031514894	Yes	
row_3	CMPK2	20	49.884971618652344	0.04170319	Yes	
row_4	MX1	36	33.34714889526367	0.05159149	Yes	
row_5	RSAD2	37	33.22870635986328	0.062229786	Yes	
row_6	IFIT3	51	25.83002471923828	0.07221808	Yes	
row_7	IFI44L	56	24.247879028320312	0.08265638	Yes	
row_8	GBP2	64	22.398231506347656	0.092944674	Yes	
row_9	ISG15	69	19.695310592651367	0.103382975	Yes	
row_10	OASL	76	17.378704071044922	0.113721274	Yes	
row_11	USP18	87	16.02507209777832	0.12385957	Yes	
row_12	HERC6	92	15.108577728271484	0.13429786	Yes	
row_13	LY6E	93	14.895220756530762	0.14493616	Yes	
row_14	LAP3	114	12.866601943969727	0.15457447	Yes	
row_15	TMEM140	138	11.56872844696045	0.16406275	Yes	
row_16	TRAFD1	150	10.820304870605469	0.17415106	Yes	
row_17	IFI35	151	10.754133224487305	0.18478936	Yes	
row_18	TAP1	159	10.626980781555176	0.19507766	Yes	
row_19	HLA-C	165	10.459640502929688	0.20546596	Yes	
row_20	SAMD9L	173	10.123273849487305	0.21575426	Yes	
row_21	SLC25A28	182	9.564743041992188	0.22599255	Yes	
row_22	GBP4	188	9.336858749389648	0.23638085	Yes	
row_23	PLSCR1	240	6.7872538566589355	0.24446914	Yes	
row_24	EPSTI1	246	6.504862308502197	0.25485745	Yes	
row_25	IFIH1	247	6.4447431564331055	0.26549575	Yes	
row_26	LGALS3BP	258	6.22111177444458	0.27563402	Yes	
row_27	IFITM1	280	5.818933486938477	0.28522232	Yes	
row_28	STAT2	324	5.008198261260986	0.29371062	Yes	
row_29	IFITM3	333	4.847958564758301	0.30394894	Yes	
row_30	PARP14	366	4.304991722106934	0.31298724	Yes	
row_31	DDX60	383	4.177641868591309	0.32282552	Yes	
row_32	DHX58	422	3.6392972469329834	0.33156383	Yes	
row_33	PARP9	430	3.553196907043457	0.34185213	Yes	
row_34	BST2	450	3.3215460777282715	0.35154042	Yes	
row_35	PSME1	454	3.297667980194092	0.36202872	Yes	
row_36	B2M	497	2.913846969604492	0.37056702	Yes	
row_37	IFI44	529	2.687169313430786	0.3796553	Yes	
row_38	UBA7	542	2.578444480895996	0.38969362	Yes	
row_39	PSMB8	546	2.520591974258423	0.4001819	Yes	
row_40	IRF9	632	2.063375234603882	0.4065702	Yes	
row_41	LAMP3	637	2.0278735160827637	0.4170085	Yes	
row_42	ADAR	670	1.846211314201355	0.4260468	Yes	
row_43	TDRD7	705	1.7161386013031006	0.4349851	Yes	
row_44	IRF2	732	1.6313592195510864	0.4443234	Yes	
row_45	ELF1	745	1.585645079612732	0.45436168	Yes	
row_46	PSMB9	752	1.5593924522399902	0.46469998	Yes	
row_47	TRIM14	763	1.519700288772583	0.4748383	Yes	
row_48	HELZ2	806	1.3874170780181885	0.4833766	Yes	
row_49	PARP12	857	1.2778617143630981	0.4915149	Yes	
row_50	PSME2	884	1.2200613021850586	0.5008532	Yes	
row_51	TRIM25	937	1.116734504699707	0.50889146	Yes	
row_52	TRIM5	956	1.0759245157241821	0.5186298	Yes	
row_53	SP110	987	1.0117539167404175	0.5277681	Yes	
row_54	TRIM21	998	1.0031068325042725	0.53790635	Yes	
row_55	EIF2AK2	1140	0.8099063038825989	0.54149467	Yes	
row_56	PNPT1	1283	0.6503318548202515	0.545033	Yes	
row_57	IFIT2	1333	0.5980386137962341	0.5532213	Yes	
row_58	NMI	1407	0.5345976948738098	0.5602096	Yes	
row_59	NUB1	1459	0.4952847957611084	0.56829786	Yes	
row_60	IL7	1654	0.3904343545436859	0.56923616	Yes	
row_61	CMTR1	1662	0.3877003490924835	0.57952446	Yes	
row_62	CCRL2	1674	0.3816700577735901	0.5896127	Yes	
row_63	CASP8	1817	0.32775169610977173	0.59315103	Yes	
row_64	SAMD9	1840	0.3194007873535156	0.6026893	Yes	
row_65	PSMA3	1863	0.31175315380096436	0.6122276	Yes	
row_66	RIPK2	1881	0.3059248626232147	0.62201595	Yes	
row_67	IRF7	2087	0.24823231995105743	0.6224042	Yes	
row_68	UBE2L6	2101	0.24526090919971466	0.6323925	Yes	
row_69	GMPR	2179	0.22822816669940948	0.63918084	Yes	
row_70	RTP4	2259	0.21338073909282684	0.64586914	Yes	
row_71	TRIM26	2369	0.19618962705135345	0.6510574	Yes	
row_72	BATF2	2850	0.1276010274887085	0.6376957	Yes	
row_73	CD47	2876	0.12429007887840271	0.647084	Yes	
row_74	CXCL10	2900	0.1221885085105896	0.65657234	Yes	
row_75	NCOA7	3001	0.1119205504655838	0.66221064	Yes	
row_76	CD74	3049	0.1077234148979187	0.6704989	Yes	
row_77	CSF1	3222	0.09304019808769226	0.6725372	Yes	
row_78	ISG20	3577	0.07002152502536774	0.6654755	No	
row_79	RNF31	3763	0.06033450737595558	0.6668638	No	
row_80	CXCL11	3884	0.054379042237997055	0.6715021	No	
row_81	CASP1	4537	0.03271423280239105	0.6495404	No	
row_82	IRF1	4707	0.02812543697655201	0.6517287	No	
row_83	LPAR6	5729	0.011209536343812943	0.611317	No	
row_84	IL15	6224	0.007200632710009813	0.5972553	No	
row_85	CNP	6779	0.0037679688539355993	0.5801936	No	
row_86	OGFR	7108	0.002448741113767028	0.5744319	No	
row_87	IFITM2	10434	-2.9344248468987644E-4	0.4188202	No	
row_88	IFI30	11069	-0.001243696198798716	0.39775848	No	
row_89	MOV10	11824	-0.0035930927842855453	0.37069678	No	
row_90	MVB12A	13780	-0.020120447501540184	0.2835851	No	
row_91	TXNIP	17138	-0.1803399920463562	0.1263734	No	
row_92	PROCR	17433	-0.2261957973241806	0.1223117	No	
row_93	IL4R	17890	-0.3236100375652313	0.110149994	No	
