NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IGFBP5	17	59.41120529174805	0.0044090585	Yes	
row_1	IDH1	53	25.65894889831543	0.007913776	Yes	
row_2	DDIT3	120	12.541407585144043	0.009861018	Yes	
row_3	RIT1	170	10.167132377624512	0.0126623595	Yes	
row_4	LGMN	175	9.96139144897461	0.017724553	Yes	
row_5	GLRX	213	8.152080535888672	0.021128789	Yes	
row_6	EIF2S2	217	7.983297348022461	0.026241222	Yes	
row_7	G6PD	227	7.260983467102051	0.031052211	Yes	
row_8	GCLC	238	6.900474548339844	0.035812955	Yes	
row_9	GSR	244	6.542362689971924	0.04082491	Yes	
row_10	DHCR24	279	5.826009273529053	0.044379868	Yes	
row_11	SQSTM1	307	5.281120777130127	0.048286516	Yes	
row_12	HMGCS1	353	4.4613447189331055	0.05128882	Yes	
row_13	MCM2	396	4.02029275894165	0.05444185	Yes	
row_14	SHMT2	405	3.8549044132232666	0.05930308	Yes	
row_15	VLDLR	518	2.7786965370178223	0.05893923	Yes	
row_16	SERP1	550	2.503404378890991	0.062644914	Yes	
row_17	HSP90B1	579	2.3263425827026367	0.06650132	Yes	
row_18	PSMA4	636	2.0316214561462402	0.068950966	Yes	
row_19	LDLR	740	1.6053775548934937	0.069039285	Yes	
row_20	QDPR	764	1.5173656940460205	0.0731469	Yes	
row_21	TBK1	788	1.447064995765686	0.07725451	Yes	
row_22	HSPD1	805	1.4030832052230835	0.08171381	Yes	
row_23	GLA	836	1.320072889328003	0.08546974	Yes	
row_24	BHLHE40	844	1.3030235767364502	0.090381205	Yes	
row_25	SCD	852	1.2859445810317993	0.09529267	Yes	
row_26	UCHL5	860	1.2691088914871216	0.10020415	Yes	
row_27	GOT1	866	1.252500057220459	0.10521609	Yes	
row_28	SLC7A11	867	1.2465156316757202	0.11047926	Yes	
row_29	PSMD14	870	1.2426440715789795	0.11564193	Yes	
row_30	EBP	876	1.2329068183898926	0.12065388	Yes	
row_31	PSMC2	877	1.232545018196106	0.12591705	Yes	
row_32	IDI1	962	1.061049461364746	0.12695993	Yes	
row_33	PSMC6	968	1.0458040237426758	0.1319719	Yes	
row_34	PSAT1	974	1.0345228910446167	0.13698384	Yes	
row_35	SKAP2	1001	0.9975459575653076	0.14094074	Yes	
row_36	SQLE	1016	0.9788907170295715	0.14550051	Yes	
row_37	UFM1	1062	0.9148936867713928	0.14850283	Yes	
row_38	TXNRD1	1066	0.9114634990692139	0.15361525	Yes	
row_39	CYP51A1	1097	0.8537778854370117	0.15737118	Yes	
row_40	DHCR7	1107	0.8434847593307495	0.16218217	Yes	
row_41	INSIG1	1123	0.8287285566329956	0.1666917	Yes	
row_42	SSR1	1151	0.7931515574455261	0.17059836	Yes	
row_43	SLC6A6	1155	0.7917000651359558	0.1757108	Yes	
row_44	TMEM97	1207	0.7361701726913452	0.17841165	Yes	
row_45	CALR	1244	0.6903610825538635	0.18186612	Yes	
row_46	XBP1	1247	0.6857193112373352	0.1870288	Yes	
row_47	M6PR	1279	0.6554725170135498	0.19073449	Yes	
row_48	GPI	1321	0.6107203960418701	0.19393775	Yes	
row_49	PGK1	1344	0.5916273593902588	0.1980956	Yes	
row_50	NFIL3	1359	0.5811617970466614	0.20265539	Yes	
row_51	HSPA5	1369	0.5676466226577759	0.20746638	Yes	
row_52	EEF1E1	1381	0.5568745732307434	0.21217689	Yes	
row_53	HSPE1	1390	0.547126054763794	0.21703811	Yes	
row_54	CACYBP	1401	0.5386027097702026	0.22179885	Yes	
row_55	ATP2A2	1449	0.5024449825286865	0.22470069	Yes	
row_56	CCNG1	1503	0.4685644209384918	0.22730106	Yes	
row_57	CYB5B	1523	0.45609042048454285	0.23160964	Yes	
row_58	AURKA	1532	0.45237061381340027	0.23647086	Yes	
row_59	PSMD13	1606	0.4157716929912567	0.23806642	Yes	
row_60	BTG2	1656	0.39001673460006714	0.24086776	Yes	
row_61	CANX	1824	0.325350284576416	0.23774065	Yes	
row_62	PSMA3	1863	0.31175315380096436	0.24109463	Yes	
row_63	SDF2L1	1901	0.2983005940914154	0.24449888	Yes	
row_64	PLK1	2023	0.26429620385169983	0.24368285	Yes	
row_65	SEC11A	2026	0.26376983523368835	0.24884553	Yes	
row_66	ACTR3	2063	0.2548582851886749	0.2523	Yes	
row_67	DHFR	2090	0.24756622314453125	0.25625688	Yes	
row_68	SRD5A1	2118	0.242049440741539	0.26016355	Yes	
row_69	NAMPT	2148	0.2338421791791916	0.2639697	Yes	
row_70	ERO1A	2177	0.2284601926803589	0.2678261	Yes	
row_71	PITPNB	2205	0.22360265254974365	0.27173275	Yes	
row_72	PPP1R15A	2222	0.2208842635154724	0.27619207	Yes	
row_73	ELOVL6	2260	0.21313421428203583	0.2795963	Yes	
row_74	UNG	2301	0.20671246945858002	0.2828498	Yes	
row_75	GTF2H1	2305	0.20640498399734497	0.28796223	Yes	
row_76	RDH11	2383	0.19219626486301422	0.28935683	Yes	
row_77	SYTL2	2477	0.17299148440361023	0.28994757	Yes	
row_78	PLOD2	2576	0.16010896861553192	0.29028708	Yes	
row_79	ELOVL5	2590	0.15754160284996033	0.2948971	Yes	
row_80	NFKBIB	2650	0.15023723244667053	0.29719603	Yes	
row_81	ADD3	2889	0.12312722951173782	0.2905018	Yes	
row_82	CTH	2892	0.12280597537755966	0.29566446	Yes	
row_83	COPS5	3002	0.11146391928195953	0.29545134	Yes	
row_84	FADS1	3136	0.09917173534631729	0.29403242	Yes	
