NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	53	25.65894889831543	0.0028026355	Yes	
row_1	IDH3A	153	10.732123374938965	0.0032949904	Yes	
row_2	CYB5A	166	10.454639434814453	0.0081567895	Yes	
row_3	NNT	204	8.506575584411621	0.011763001	Yes	
row_4	GRPEL1	275	5.87229061126709	0.013711837	Yes	
row_5	MRPS30	327	4.943623065948486	0.01661492	Yes	
row_6	TIMM17A	334	4.832847595214844	0.021778058	Yes	
row_7	SLC25A4	437	3.4626524448394775	0.022119744	Yes	
row_8	CS	503	2.8858723640441895	0.024319697	Yes	
row_9	CYB5R3	656	1.931660771369934	0.022150207	Yes	
row_10	ACAA1	711	1.691017746925354	0.024902618	Yes	
row_11	MRPS11	715	1.675272822380066	0.03021643	Yes	
row_12	COX4I1	759	1.53932523727417	0.0335213	Yes	
row_13	NDUFB3	818	1.3547197580337524	0.036072817	Yes	
row_14	COX10	821	1.3477565050125122	0.04143685	Yes	
row_15	ATP6V1G1	923	1.147034764289856	0.04182876	Yes	
row_16	CYCS	947	1.0984872579574585	0.0461381	Yes	
row_17	FDX1	1008	0.9893850088119507	0.04858917	Yes	
row_18	ATP6V0E1	1012	0.9809451699256897	0.05390298	Yes	
row_19	ATP6V1C1	1013	0.9804942607879639	0.05936746	Yes	
row_20	COX5B	1090	0.8661741614341736	0.061014958	Yes	
row_21	PHYH	1152	0.793012261390686	0.0634158	Yes	
row_22	HCCS	1191	0.7540736198425293	0.066971794	Yes	
row_23	ECH1	1290	0.6403200626373291	0.06751437	Yes	
row_24	GPI	1321	0.6107203960418701	0.071472146	Yes	
row_25	UQCRC2	1345	0.59140944480896	0.07578149	Yes	
row_26	SURF1	1393	0.5459883809089661	0.078885466	Yes	
row_27	AFG3L2	1414	0.5257283449172974	0.08334547	Yes	
row_28	AIFM1	1484	0.4816751182079315	0.08534453	Yes	
row_29	PDHA1	1488	0.4781254827976227	0.090658344	Yes	
row_30	NDUFS6	1529	0.4528507888317108	0.09411389	Yes	
row_31	VDAC3	1547	0.44632279872894287	0.09872457	Yes	
row_32	NDUFS4	1678	0.3801455795764923	0.09765999	Yes	
row_33	ATP6AP1	1703	0.36994948983192444	0.10191911	Yes	
row_34	MRPL34	1749	0.3488541841506958	0.105123535	Yes	
row_35	MRPS15	1831	0.32325270771980286	0.10651991	Yes	
row_36	SLC25A11	1895	0.30042564868927	0.10882031	Yes	
row_37	UQCRQ	1897	0.2998318076133728	0.11423457	Yes	
row_38	NQO2	1929	0.28993093967437744	0.11814212	Yes	
row_39	MTRR	1951	0.2863582968711853	0.12255191	Yes	
row_40	FH	1985	0.27716726064682007	0.12635902	Yes	
row_41	VDAC1	1992	0.273701936006546	0.13152215	Yes	
row_42	COX7B	2062	0.2555256485939026	0.13352121	Yes	
row_43	ETFDH	2160	0.23140940070152283	0.13411401	Yes	
row_44	UQCR10	2246	0.21603837609291077	0.1353095	Yes	
row_45	NDUFS3	2247	0.2160000056028366	0.14077398	Yes	
row_46	COX5A	2303	0.20665042102336884	0.14347617	Yes	
row_47	ATP6V1H	2366	0.1964481770992279	0.14582679	Yes	
row_48	NDUFS1	2463	0.1759243756532669	0.14646982	Yes	
row_49	COX8A	2471	0.1748642474412918	0.15158273	Yes	
