NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FNTA	1313	0.6201941967010498	-0.04664777	No	
row_1	PPP1R15A	2222	0.2208842635154724	-0.07308696	No	
row_2	SMAD6	2348	0.19883203506469727	-0.060456254	No	
row_3	CDKN1C	3737	0.06193961948156357	-0.11084635	No	
row_4	TRIM33	4304	0.03890678659081459	-0.12022053	No	
row_5	SKIL	4970	0.02212807908654213	-0.13453458	No	
row_6	SKI	5176	0.018708067014813423	-0.12589568	No	
row_7	TGFBR1	5581	0.013174831867218018	-0.12718643	No	
row_8	BMPR2	5599	0.012871481478214264	-0.10916677	No	
row_9	SERPINE1	5644	0.012246012687683105	-0.092494346	No	
row_10	CDK9	7501	0.0012614522129297256	-0.16623656	No	
row_11	FURIN	7862	5.277772434055805E-4	-0.16533183	No	
row_12	CDH1	7877	5.102456780150533E-4	-0.14716247	No	
row_13	XIAP	7920	4.510151920840144E-4	-0.13039024	No	
row_14	CTNNB1	8326	1.0640863911248744E-4	-0.13173088	No	
row_15	PPM1A	8522	3.562115671229549E-5	-0.12259302	No	
row_16	RHOA	10538	-3.8966728607192636E-4	-0.20426898	No	
row_17	ENG	10811	-7.184301503002644E-4	-0.19897324	No	
row_18	ARID4B	10990	-0.0011336026946082711	-0.1889871	No	
row_19	ID1	11278	-0.001763937878422439	-0.18443982	No	
row_20	ACVR1	12034	-0.004550646059215069	-0.20324466	No	
row_21	MAP3K7	12359	-0.006362153682857752	-0.2005436	No	
row_22	TGIF1	12839	-0.009642288088798523	-0.20557667	No	
row_23	SLC20A1	13213	-0.013042427599430084	-0.2053206	No	
row_24	APC	13518	-0.016428418457508087	-0.20162158	No	
row_25	SMAD7	13680	-0.01871175691485405	-0.19078718	No	
row_26	HDAC1	14358	-0.030314212664961815	-0.20570001	Yes	
row_27	KLF10	14707	-0.03760123997926712	-0.20419648	Yes	
row_28	TJP1	14847	-0.0407121479511261	-0.19226433	Yes	
row_29	JUNB	14863	-0.04121320694684982	-0.17414488	Yes	
row_30	NCOR2	15015	-0.0452912338078022	-0.16281152	Yes	
row_31	TGFB1	15368	-0.05705691874027252	-0.16150758	Yes	
row_32	LTBP2	15554	-0.06452812999486923	-0.15187073	Yes	
row_33	UBE2D3	15566	-0.06498995423316956	-0.13355169	Yes	
row_34	SMAD1	15693	-0.07049431651830673	-0.12097087	Yes	
row_35	PMEPA1	16028	-0.08606914430856705	-0.11876878	Yes	
row_36	HIPK2	16183	-0.09467723965644836	-0.1075851	Yes	
row_37	SMAD3	16676	-0.13344299793243408	-0.11326685	Yes	
row_38	FKBP1A	16710	-0.1362215131521225	-0.096045546	Yes	
row_39	BMPR1A	17329	-0.2091940939426422	-0.108014405	Yes	
row_40	IFNGR2	17848	-0.31256982684135437	-0.1149935	Yes	
row_41	BMP2	18063	-0.3726041316986084	-0.106803685	Yes	
row_42	ID3	18135	-0.399279922246933	-0.0914785	Yes	
row_43	SMURF1	18218	-0.43589454889297485	-0.076702185	Yes	
row_44	BCAR3	18247	-0.44699275493621826	-0.059231393	Yes	
row_45	SPTBN1	18338	-0.4805360436439514	-0.04485426	Yes	
row_46	WWTR1	18469	-0.546347439289093	-0.03247304	Yes	
row_47	THBS1	18895	-0.8877118825912476	-0.034811642	Yes	
row_48	PPP1CA	18968	-0.9794934988021851	-0.019536352	Yes	
row_49	RAB31	19903	-13.577457427978516	-0.047272887	Yes	
row_50	SMURF2	19929	-16.874332427978516	-0.029652406	Yes	
row_51	ID2	20002	-29.46820068359375	-0.014377116	Yes	
row_52	NOG	20042	-43.54880905151367	0.0025447982	Yes	
