NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFIT1	129	12.105497360229492	0.0028915987	Yes	
row_1	NOP14	276	5.864815711975098	0.004932645	Yes	
row_2	HERPUD1	329	4.907353401184082	0.011676747	Yes	
row_3	NFYB	338	4.80981969833374	0.020622281	Yes	
row_4	DNAJB9	492	2.9794466495513916	0.0223131	Yes	
row_5	SERP1	550	2.503404378890991	0.02880704	Yes	
row_6	HSP90B1	579	2.3263425827026367	0.036751922	Yes	
row_7	CEBPB	641	2.0164666175842285	0.043045733	Yes	
row_8	CHAC1	970	1.0418202877044678	0.03598086	Yes	
row_9	PSAT1	974	1.0345228910446167	0.04517656	Yes	
row_10	XPOT	1060	0.9192055463790894	0.050269585	Yes	
row_11	SSR1	1151	0.7931515574455261	0.055112455	Yes	
row_12	TUBB2A	1226	0.7080844640731812	0.06075584	Yes	
row_13	CALR	1244	0.6903610825538635	0.06925108	Yes	
row_14	XBP1	1247	0.6857193112373352	0.078496814	Yes	
row_15	HYOU1	1289	0.6419395804405212	0.085791275	Yes	
row_16	ERN1	1309	0.6217986941337585	0.09418645	Yes	
row_17	HSPA5	1369	0.5676466226577759	0.10058033	Yes	
row_18	NABP1	1386	0.5499423742294312	0.1091256	Yes	
row_19	CEBPG	1710	0.36684873700141907	0.10231089	Yes	
row_20	SPCS3	1742	0.3511510193347931	0.11010567	Yes	
row_21	KIF5B	1758	0.3462449014186859	0.11870098	Yes	
row_22	ATP6V0D1	1990	0.27422261238098145	0.11648926	Yes	
row_23	SEC11A	2026	0.26376983523368835	0.124083914	Yes	
row_24	IMP3	2059	0.2564949095249176	0.13182867	Yes	
row_25	WFS1	2143	0.23460625112056732	0.13702177	Yes	
row_26	DNAJA4	2145	0.2343387007713318	0.14631753	Yes	
row_27	ERO1A	2177	0.2284601926803589	0.15411231	Yes	
row_28	WIPI1	2337	0.20057520270347595	0.15550293	Yes	
row_29	NOLC1	2382	0.19255322217941284	0.16264729	Yes	
row_30	PAIP1	2613	0.1552046537399292	0.16048561	Yes	
row_31	CKS1B	2614	0.15512505173683167	0.16983141	Yes	
row_32	EIF4G1	2981	0.11386553198099136	0.16086529	Yes	
row_33	SLC30A5	3363	0.08259473741054535	0.1511487	Yes	
row_34	LSM1	3466	0.07585259526968002	0.15539117	Yes	
row_35	EDC4	3485	0.07495904713869095	0.16383639	Yes	
row_36	STC2	3698	0.06387794762849808	0.16257529	Yes	
row_37	PARN	4103	0.04635705053806305	0.15170795	Yes	
row_38	VEGFA	4273	0.040147606283426285	0.15259823	Yes	
row_39	EIF2AK3	4365	0.037299077957868576	0.15739107	Yes	
row_40	HSPA9	4678	0.028758041560649872	0.15112671	Yes	
row_41	EXOC2	4686	0.028574924916028976	0.16012229	Yes	
row_42	EIF4A2	4697	0.028404539451003075	0.16896775	Yes	
row_43	EIF4EBP1	4799	0.025929635390639305	0.17326027	Yes	
row_44	DNAJC3	5052	0.020825771614909172	0.16999786	Yes	
row_45	BANF1	5214	0.018137456849217415	0.17128842	Yes	
row_46	DDIT4	5558	0.013488903641700745	0.16347305	Yes	
row_47	SRPRB	5562	0.013412222266197205	0.17266876	Yes	
row_48	ALDH18A1	5634	0.012374947778880596	0.17846224	Yes	
row_49	ATF6	5667	0.011944192461669445	0.186207	Yes	
row_50	SHC1	5838	0.010264786891639233	0.18704726	Yes	
row_51	EIF2S1	5930	0.009327341802418232	0.1918401	Yes	
row_52	DCP2	6373	0.0061301882378757	0.17907152	Yes	
row_53	SRPRA	6531	0.005152419209480286	0.1805622	Yes	
row_54	EXOSC5	6536	0.005112659186124802	0.18970786	Yes	
row_55	SPCS1	6639	0.004527110140770674	0.19395034	Yes	
row_56	SLC1A4	6837	0.0035062856040894985	0.19343974	Yes	
row_57	EDEM1	7091	0.002500778529793024	0.1901273	Yes	
row_58	CXXC1	7101	0.002467459300532937	0.1990228	Yes	
row_59	ATF4	7463	0.0013429580722004175	0.19030686	No	
row_60	CCL2	7927	4.3986746459268034E-4	0.17648758	No	
row_61	TSPYL2	8386	8.222475298680365E-5	0.1629185	No	
row_62	GOSR2	8564	2.2191929019754753E-5	0.16340852	No	
row_63	POP4	10004	-2.510528065613471E-5	0.10075752	No	
row_64	EXOSC1	10414	-2.7555928681977093E-4	0.089640014	No	
row_65	EXOSC10	10454	-3.1640290399082005E-4	0.09703454	No	
row_66	FUS	10602	-4.4881729991175234E-4	0.09902555	No	
row_67	NHP2	10841	-7.828457746654749E-4	0.096463606	No	
row_68	SEC31A	11333	-0.001908815000206232	0.081243426	No	
row_69	CNOT6	11382	-0.0020338024478405714	0.088187665	No	
row_70	DCP1A	11452	-0.002235007705166936	0.094081216	No	
row_71	EIF4A1	11544	-0.0025479942560195923	0.09887405	No	
row_72	SLC7A5	11585	-0.002657355275005102	0.10621854	No	
row_73	CNOT2	11653	-0.002868048148229718	0.11221216	No	
row_74	YWHAZ	11753	-0.0033388102892786264	0.11660473	No	
row_75	ATF3	11854	-0.003722301684319973	0.12094727	No	
row_76	RRP9	11976	-0.004335150588303804	0.12423913	No	
row_77	BAG3	12348	-0.006310134194791317	0.11502286	No	
row_78	KHSRP	12584	-0.007685409393161535	0.11261101	No	
row_79	PREB	12660	-0.008188956417143345	0.11820436	No	
row_80	NPM1	12726	-0.008662166073918343	0.12429804	No	
row_81	CNOT4	12925	-0.010307484306395054	0.1237374	No	
row_82	YIF1A	13066	-0.011612407863140106	0.12607864	No	
row_83	SDAD1	13149	-0.012464066036045551	0.13132177	No	
row_84	PDIA5	13304	-0.013972215354442596	0.13296255	No	
row_85	DDX10	13955	-0.022681493312120438	0.10978721	No	
row_86	ASNS	14014	-0.02353547513484955	0.11623111	No	
row_87	EIF4A3	14194	-0.027064159512519836	0.11662109	No	
row_88	GEMIN4	14493	-0.032558318227529526	0.11105719	No	
row_89	FKBP14	14570	-0.03426676616072655	0.11660051	No	
row_90	EIF4E	14778	-0.0389082133769989	0.115589574	No	
row_91	MTHFD2	15122	-0.04871707782149315	0.10777421	No	
row_92	EXOSC4	15168	-0.05044001340866089	0.114868544	No	
row_93	EXOSC9	15221	-0.05197713151574135	0.121612646	No	
row_94	NOP56	15231	-0.05216849967837334	0.13050815	No	
row_95	EEF2	15532	-0.06347784399986267	0.124844186	No	
row_96	ARFGAP1	15854	-0.07752858847379684	0.118129544	No	
row_97	RPS14	15882	-0.07873929291963577	0.12612446	No	
row_98	NFYA	16070	-0.08813732117414474	0.12611417	No	
row_99	EXOSC2	16401	-0.10996662825345993	0.118949234	No	
row_100	LSM4	16760	-0.1399415135383606	0.110383384	No	
row_101	PDIA6	17075	-0.1726347655057907	0.104018964	No	
row_102	ZBTB17	17320	-0.20805568993091583	0.10115682	No	
row_103	DKC1	18525	-0.5765331983566284	0.05026346	No	
row_104	DCTN1	18723	-0.7183628678321838	0.049752846	No	
row_105	TATDN2	18817	-0.8060057163238525	0.054445617	No	
row_106	KDELR3	19157	-1.2720614671707153	0.046830386	No	
