NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_ADIPOGENESIS	200	181		
HALLMARK_ALLOGRAFT_REJECTION	200	115		
HALLMARK_ANDROGEN_RESPONSE	101	93		
HALLMARK_ANGIOGENESIS	36	28		
HALLMARK_APICAL_JUNCTION	200	167		
HALLMARK_APICAL_SURFACE	44	34		
HALLMARK_APOPTOSIS	161	141		
HALLMARK_BILE_ACID_METABOLISM	112	80		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	70		
HALLMARK_COAGULATION	138	89		
HALLMARK_COMPLEMENT	200	158		
HALLMARK_DNA_REPAIR	150	144		
HALLMARK_E2F_TARGETS	200	196		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	173		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	181		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	172		
HALLMARK_FATTY_ACID_METABOLISM	158	135		
HALLMARK_G2M_CHECKPOINT	200	189		
HALLMARK_GLYCOLYSIS	200	179		
HALLMARK_HEDGEHOG_SIGNALING	36	33		
HALLMARK_HEME_METABOLISM	200	161		
HALLMARK_HYPOXIA	200	171		
HALLMARK_IL2_STAT5_SIGNALING	199	156		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	62		
HALLMARK_INFLAMMATORY_RESPONSE	200	142		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	94		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	169		
HALLMARK_KRAS_SIGNALING_DN	200	99		
HALLMARK_KRAS_SIGNALING_UP	200	147		
HALLMARK_MITOTIC_SPINDLE	199	197		
HALLMARK_MTORC1_SIGNALING	200	190		
HALLMARK_MYC_TARGETS_V1	200	195		
HALLMARK_MYC_TARGETS_V2	58	57		
HALLMARK_MYOGENESIS	200	145		
HALLMARK_NOTCH_SIGNALING	32	29		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	183		
HALLMARK_P53_PATHWAY	200	188		
HALLMARK_PANCREAS_BETA_CELLS	40	19		
HALLMARK_PEROXISOME	104	88		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	95		
HALLMARK_PROTEIN_SECRETION	96	92		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	46		
HALLMARK_SPERMATOGENESIS	135	69		
HALLMARK_TGF_BETA_SIGNALING	54	53		
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	188		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	107		
HALLMARK_UV_RESPONSE_DN	144	135		
HALLMARK_UV_RESPONSE_UP	158	141		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	40		
HALLMARK_XENOBIOTIC_METABOLISM	200	146		
