NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	94	0.6725372	7.6388445	0.0	0.0	0.0	3222	tags=83%, list=16%, signal=98%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	169	0.4403632	6.5349107	0.0	0.0	0.0	3947	tags=63%, list=20%, signal=78%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	183	0.33736107	5.359052	0.0	0.0	0.0	6568	tags=66%, list=33%, signal=97%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	190	0.30705336	4.917171	0.0	0.0	0.0	8482	tags=73%, list=42%, signal=124%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	181	0.2721366	4.243486	0.0	0.0	0.0	8346	tags=69%, list=42%, signal=116%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	135	0.2683323	3.5901299	0.0	0.0	0.0	5509	tags=54%, list=27%, signal=74%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	70	0.33745077	3.3814924	0.0	0.0	0.0	3863	tags=53%, list=19%, signal=65%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	141	0.21334921	2.9918623	0.0	0.0	0.0	8568	tags=64%, list=43%, signal=110%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	146	0.2088986	2.8691697	0.0	0.0	0.0	5466	tags=48%, list=27%, signal=65%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	46	0.33030292	2.7358003	0.0	0.0	0.0	8666	tags=76%, list=43%, signal=133%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	158	0.18774192	2.691519	0.0	0.0	0.0	6176	tags=49%, list=31%, signal=71%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	88	0.23048316	2.6059191	0.0	1.5789473E-4	0.001	6805	tags=57%, list=34%, signal=86%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	107	0.1990228	2.4558039	0.0	4.98982E-4	0.004	7101	tags=55%, list=35%, signal=85%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	172	0.15354943	2.3617363	0.0	9.4366504E-4	0.009	4300	tags=37%, list=21%, signal=46%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	181	0.14975698	2.283236	0.0	0.0018076627	0.019	4455	tags=37%, list=22%, signal=47%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	144	0.16150586	2.2425313	0.0020703934	0.0018588084	0.021	8638	tags=59%, list=43%, signal=103%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	92	0.18658136	2.0933478	0.0041237115	0.0062131668	0.07	6314	tags=50%, list=31%, signal=73%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	93	0.18442465	2.0884454	0.0019569471	0.006025398	0.072	8626	tags=61%, list=43%, signal=107%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	142	0.14040034	1.9839565	0.0060362173	0.011382779	0.139	2575	tags=27%, list=13%, signal=30%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	179	0.13075934	1.980462	0.0	0.01081364	0.139	6600	tags=46%, list=33%, signal=68%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		80	0.19301865	1.969619	0.008281574	0.010860158	0.147	3420	tags=36%, list=17%, signal=44%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		95	0.17170122	1.921648	0.015936255	0.013584486	0.188	7987	tags=57%, list=40%, signal=94%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		141	0.12959068	1.81528	0.021113243	0.024193773	0.32	7104	tags=48%, list=35%, signal=74%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		156	0.121694565	1.7716554	0.026804123	0.02813274	0.382	6718	tags=46%, list=33%, signal=68%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		62	0.18183969	1.6973696	0.030487806	0.03826361	0.488	5107	tags=44%, list=25%, signal=58%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		19	0.32321426	1.6786317	0.021400778	0.040506266	0.521	7259	tags=68%, list=36%, signal=107%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		161	0.115983896	1.6779109	0.02739726	0.03930052	0.525	6174	tags=42%, list=31%, signal=60%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1		195	0.0950106	1.5498929	0.05284553	0.07114071	0.755	8413	tags=51%, list=42%, signal=87%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		145	0.10664919	1.5205961	0.06790123	0.07860061	0.801	4939	tags=35%, list=25%, signal=46%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		171	0.08987585	1.3669649	0.116564415	0.14925557	0.961	6199	tags=40%, list=31%, signal=57%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2		57	0.1511467	1.3599722	0.121703856	0.14771809	0.962	4021	tags=35%, list=20%, signal=44%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		115	0.10674424	1.315489	0.15254237	0.16928339	0.981	3283	tags=27%, list=16%, signal=32%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		196	0.075987004	1.2446388	0.17578125	0.21424031	0.992	5971	tags=37%, list=30%, signal=52%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		89	0.10872957	1.2103577	0.22868218	0.23462564	0.996	5726	tags=39%, list=28%, signal=55%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		29	0.17200308	1.1088904	0.30661324	0.32288605	1.0	8327	tags=59%, list=41%, signal=100%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		99	0.09266862	1.091235	0.32871288	0.33239496	1.0	5453	tags=36%, list=27%, signal=50%	
