NAME	TITLE	SCORE	
HOXC13-AS		479.29858	
TBX18		206.95758	
DIO2		146.3178	
LUM		138.2151	
VILL		118.910545	
SELENBP1		110.621666	
IFI27		102.9955	
OAS2		101.677155	
ATP1A4		96.070366	
OAS1		89.62582	
C1S		86.81582	
PLEKHS1		81.62876	
LINC01285		69.589294	
ARHGAP20		68.45588	
S1PR3		65.66887	
ATP6V0A4		65.01049	
AKR1E2		63.981987	
IGFBP5		59.411205	
TRIM22		58.56405	
DHRS2		58.492645	
CMPK2		49.88497	
SLC1A1		47.57045	
AKR1C1		45.997925	
MAB21L3		43.233395	
PPM1H		41.351078	
SULF1		40.80736	
TYMP		40.119923	
CP		39.91723	
CCL5		38.65674	
KLHDC7B		38.28916	
BATF		38.270782	
HS6ST3		36.942104	
RP11-115N4.1		35.63181	
LRMP		34.6153	
COL5A2		34.613327	
ADCY10		33.852867	
MX1		33.34715	
RSAD2		33.228706	
CYP2J2		32.47084	
LRP2		30.389845	
PLSCR4		29.433712	
RP11-845M18.6		29.250797	
RP11-219A15.1		28.216751	
PARP4		27.88709	
ENSG00000286153		27.624863	
GMNN		27.32964	
PDZK1		27.059612	
METTL7A		26.993814	
NECAB3		26.421793	
DOCK8		26.369967	
IGFBP3		26.27737	
IFIT3		25.830025	
CXorf57		25.75278	
IDH1		25.658949	
PADI4		25.081182	
INPP5D		24.544764	
IFI44L		24.247879	
RP11-757O6.6		23.936884	
AKR1C2		23.676344	
RP4-660H19.1		23.437967	
LIMCH1		23.313196	
RP1-140K8.5		23.29721	
C3orf58		23.01824	
XAF1		22.415796	
GBP2		22.398232	
OAS3		21.905563	
SEMA6A		20.853958	
MAOA		20.66911	
SLC15A3		20.446728	
ISG15		19.69531	
MB		19.581354	
HLA-B		19.11991	
CASQ1		19.11548	
MAFB		19.084915	
SEMA3B		18.982552	
TRIQK		18.434683	
OASL		17.378704	
EPHX1		17.138666	
MUC20		16.908524	
SEMA5A		16.830835	
HEY1		16.638994	
IFI6		16.544334	
PCDH17		16.410732	
MGST1		16.286158	
HPGD		16.211048	
TRANK1		16.18808	
KCND3		16.119795	
USP18		16.025072	
AKR1B1		15.602818	
TMEM229B		15.443483	
EPB41L4A		15.217036	
PSG9		15.147835	
HERC6		15.108578	
LY6E		14.895221	
NR1H3		14.400211	
AGR2		14.281466	
FAM102B		14.271442	
ENSG00000290462		14.266142	
BCAS1		14.246786	
SLC9A2		14.237737	
FCRLB		14.097947	
ANXA10		14.055667	
FABP4		13.953836	
RP11-273G15.2		13.943381	
DMBX1		13.8654175	
HLA-F		13.544784	
FGFR3		13.534854	
MRS2		13.515036	
BCL6		13.511579	
NEU1		13.507086	
BAK1		13.492103	
DHRS9		13.484511	
AK5		13.29729	
PLAC8		13.2197485	
LAP3		12.866602	
IL6		12.852326	
HEG1		12.802617	
SDPR		12.774177	
CD36		12.735587	
CYP2E1		12.603589	
DDIT3		12.541408	
PPME1		12.5398445	
HTATSF1P2		12.524045	
STK32A		12.439115	
FAM46C		12.355201	
HS6ST2		12.256973	
AKR1C3		12.16991	
TMTC1		12.14762	
DBI		12.146648	
IFIT1		12.105497	
ALDH5A1		12.018496	
TLCD2		11.891686	
SYTL5		11.773676	
OXTR		11.735972	
ACSL5		11.732891	
GPLD1		11.717102	
RPL12P20		11.624423	
RAPH1		11.622516	
TMEM140		11.568728	
GFRA1		11.510356	
AP000577.2		11.457676	
UPK1A		11.446846	
NINJ1		11.446319	
APCDD1		11.299659	
C1R		11.263131	
LONRF3		11.160156	
IGF2BP1		11.084612	
GPX2		10.975275	
ANKRD1		10.966586	
KCTD16		10.877579	
TRAFD1		10.820305	
IFI35		10.754133	
GPD1L		10.735108	
IDH3A		10.732123	
ABCA4		10.720597	
LPCAT3		10.706627	
PHLDB3		10.687447	
AC067945.3		10.653354	
PPM1K		10.639569	
TAP1		10.626981	
ENSG00000290021		10.608407	
GBP3		10.551131	
NELL2		10.550591	
MEST		10.47575	
NT5C2		10.46569	
HLA-C		10.4596405	
CYB5A		10.454639	
MYLIP		10.435496	
FRMPD4		10.421372	
PLEKHA2		10.342598	
RIT1		10.167132	
PDE7B		10.143073	
MTSS1L		10.143014	
SAMD9L		10.123274	
PARD3B		10.116506	
LGMN		9.961391	
ANKRD52		9.914386	
MX2		9.8825865	
PLCD3		9.818211	
SLBP		9.734813	
GBP1P1		9.707741	
MYLK4		9.607006	
SLC25A28		9.564743	
STK38		9.475286	
C2orf61		9.468194	
SH3BP5		9.411891	
PLPP3		9.397027	
BHLHE41		9.372748	
GBP4		9.336859	
PEX6		9.280492	
PECAM1		9.240843	
CREB3L1		9.170361	
ODF3B		9.10453	
MATN2		9.027599	
ATP5I		9.025367	
SCARB1		8.980899	
ENSG00000291131		8.917181	
TCAF2		8.863644	
FER1L4		8.831049	
MYL9		8.747628	
PNPLA3		8.690431	
UNC93B1		8.682144	
GNAO1		8.6273775	
PTPRM		8.545298	
NNT		8.506576	
RP11-648K4.2		8.459228	
PNKD		8.438352	
ZDHHC7		8.346507	
TRIM31		8.332431	
STAT1		8.31058	
TRIM38		8.284113	
CPEB2		8.192181	
ADAMTS5		8.180335	
GLRX		8.152081	
ZNF502		8.079981	
RP11-420L9.5		8.064786	
RGS16		8.017585	
EIF2S2		7.9832973	
AGA		7.944124	
CASC9		7.8361974	
LOXL1		7.82076	
GSTM4		7.8010826	
ENSG00000290531		7.5155954	
SERTAD4		7.5029674	
DIRC3-AS1		7.4946914	
RNF4		7.474047	
WDR1		7.296714	
G6PD		7.2609835	
UNC5B		7.2523146	
ZNFX1		7.1870165	
DDX58		7.118336	
HTRA4		7.102376	
CDH10		7.082535	
PAPPA		7.082415	
ZNF468		7.0711446	
PGRMC2		7.019369	
ZFP3		6.9990544	
NEK7		6.9928465	
GCLC		6.9004745	
DPP3		6.8730593	
PLSCR1		6.787254	
COA6		6.6604586	
DEPTOR		6.608309	
CDH8		6.5989456	
GSR		6.5423627	
FZD4		6.52721	
EPSTI1		6.5048623	
IFIH1		6.444743	
GFM1		6.436887	
COL3A1		6.410652	
SYDE2		6.403524	
IGFBP2		6.3910446	
ASS1		6.379636	
FAM234A		6.3766007	
KCND1		6.340495	
NDUFA4L2		6.2624965	
CYP4F12		6.23717	
LINC01389		6.221596	
LGALS3BP		6.221112	
HCP5		6.19945	
TMEM52B		6.1884065	
APOL6		6.1561084	
CPNE1		6.123233	
ACSS2		6.1199718	
BRIX1		6.065706	
ENSG00000291110		6.052591	
FAM174B		6.0435205	
MLKL		5.9671025	
TBC1D2B		5.9311943	
C1orf198		5.922771	
CFD		5.916363	
