NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA4L2	255	6.262496471405029	-0.0052561136	Yes	
row_1	CACNA1D	271	5.88817834854126	0.0015112183	Yes	
row_2	PLCB2	292	5.529361248016357	0.008028062	Yes	
row_3	ITPR1	541	2.602264881134033	0.003122632	Yes	
row_4	NDUFS5	543	2.5762131214141846	0.010591331	Yes	
row_5	CASP3	672	1.8436460494995117	0.011697624	Yes	
row_6	COX4I1	759	1.53932523727417	0.01490802	Yes	
row_7	NDUFB3	818	1.3547197580337524	0.01952115	Yes	
row_8	CYCS	947	1.0984872579574585	0.020627445	Yes	
row_9	COX5B	1090	0.8661741614341736	0.021032369	Yes	
row_10	CHP1	1170	0.7729832530021667	0.02459345	Yes	
row_11	FADD	1230	0.7045074701309204	0.029156484	Yes	
row_12	BAD	1255	0.6761559247970581	0.035472937	Yes	
row_13	ERN1	1309	0.6217986941337585	0.040336557	Yes	
row_14	UQCRC2	1345	0.59140944480896	0.04610193	Yes	
row_15	ATP2A2	1449	0.5024449825286865	0.04846067	Yes	
row_16	NDUFS6	1529	0.4528507888317108	0.05202175	Yes	
row_17	NDUFS4	1678	0.3801455795764923	0.052126087	Yes	
row_18	ITPR2	1739	0.3537120819091797	0.056639023	Yes	
row_19	CASP8	1817	0.32775169610977173	0.060300298	Yes	
row_20	UQCRQ	1897	0.2998318076133728	0.06386138	Yes	
row_21	COX7B	2062	0.2555256485939026	0.06316415	Yes	
row_22	UQCR10	2246	0.21603837609291077	0.061515074	Yes	
row_23	NDUFS3	2247	0.2160000056028366	0.06903387	Yes	
row_24	COX5A	2303	0.20665042102336884	0.07379729	Yes	
row_25	ADAM10	2371	0.1957819014787674	0.077959545	Yes	
row_26	NDUFS1	2463	0.1759243756532669	0.08091945	Yes	
row_27	COX8A	2471	0.1748642474412918	0.088087566	Yes	
row_28	UQCRB	2597	0.15712669491767883	0.08934415	Yes	
row_29	HSD17B10	2626	0.15328504145145416	0.09546021	Yes	
row_30	SDHA	2683	0.1469508856534958	0.10017354	Yes	
row_31	LRP1	2710	0.143980473279953	0.1063898	Yes	
row_32	NDUFA6	2783	0.13499927520751953	0.11030156	Yes	
row_33	MAPT	2784	0.13499100506305695	0.11782036	Yes	
row_34	NDUFB5	3163	0.09686730057001114	0.10640223	Yes	
row_35	UQCRFS1	3195	0.09424562007188797	0.112368	Yes	
row_36	NDUFA1	3214	0.09349343180656433	0.11898504	Yes	
row_37	NDUFA2	3226	0.09270404279232025	0.12595277	Yes	
row_38	CACNA1C	3359	0.0829940140247345	0.12685867	Yes	
row_39	SNCA	3418	0.07867304980754852	0.1314718	Yes	
row_40	CYC1	3438	0.07730749249458313	0.13803874	Yes	
row_41	TNFRSF1A	3441	0.07703186571598053	0.14545734	Yes	
row_42	NDUFA8	3489	0.07468265295028687	0.15062155	Yes	
row_43	NDUFAB1	3612	0.06837110221385956	0.15202843	Yes	
row_44	NDUFB1	3634	0.06722566485404968	0.15849517	Yes	
row_45	COX6B1	3756	0.060843367129564285	0.15995215	Yes	
row_46	CASP7	3811	0.0578351728618145	0.16476567	Yes	
row_47	IDE	3885	0.054349616169929504	0.16862734	Yes	
row_48	SDHC	4071	0.04715849831700325	0.16687806	Yes	
row_49	NDUFA4	4274	0.04011840373277664	0.16427712	Yes	
row_50	EIF2AK3	4365	0.037299077957868576	0.16728713	Yes	
row_51	MT-CO2	4416	0.03602118790149689	0.17230104	Yes	
row_52	APH1A	4437	0.03531884402036667	0.17881788	Yes	
row_53	PLCB4	4538	0.03266381844878197	0.18132691	Yes	
row_54	NDUFS2	4562	0.0321744829416275	0.18769346	Yes	
row_55	COX7C	4616	0.030550392344594002	0.19255708	Yes	
row_56	COX6A1	4653	0.029646672308444977	0.19827236	Yes	
row_57	UQCRH	4689	0.028495900332927704	0.20403774	Yes	
row_58	COX6C	4736	0.027365295216441154	0.20925204	Yes	
row_59	CAPN1	4963	0.02229914255440235	0.20544876	Yes	
row_60	UQCRHL	4976	0.02206842042505741	0.21236639	Yes	
row_61	NCSTN	5010	0.021506262943148613	0.21823196	Yes	
row_62	NDUFV2	5139	0.019385207444429398	0.21933825	Yes	
row_63	SDHD	5144	0.019237933680415154	0.22665666	Yes	
row_64	NDUFA5	5149	0.019116289913654327	0.23397507	Yes	
row_65	NDUFB9	5167	0.018845805898308754	0.2406422	Yes	
row_66	SDHB	5577	0.01322415005415678	0.22767104	Yes	
row_67	ATF6	5667	0.011944192461669445	0.23073114	Yes	
row_68	PSEN1	5884	0.009777506813406944	0.22742884	Yes	
row_69	MT-CO3	6009	0.008755913004279137	0.22873552	Yes	
row_70	NDUFB10	6164	0.007633558474481106	0.22853929	Yes	
