NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEMA6A	66	20.853958129882812	0.005392183	No	
row_1	SEMA3B	74	18.98255157470703	0.013737467	No	
row_2	SEMA5A	79	16.830835342407227	0.022232909	No	
row_3	UNC5B	228	7.252314567565918	0.023520783	No	
row_4	L1CAM	302	5.383561134338379	0.028562598	No	
row_5	PLXNB3	561	2.431495189666748	0.024344688	No	
row_6	RGS3	886	1.2162131071090698	0.016823312	No	
row_7	NFATC3	891	1.208145022392273	0.025318755	No	
row_8	CHP1	1170	0.7729832530021667	0.020099794	No	
row_9	SLIT2	1508	0.466828316450119	0.011927735	No	
row_10	PLXNA1	1705	0.36817511916160583	0.010813086	No	
row_11	PLXNB2	1777	0.3391796946525574	0.015955007	No	
row_12	EPHB6	1949	0.28667697310447693	0.01609167	No	
row_13	SRGAP1	2156	0.2317761480808258	0.014476496	No	
row_14	RAC1	2665	0.148753821849823	-0.002254551	No	
row_15	ABLIM2	3534	0.07248914986848831	-0.03700452	No	
row_16	SEMA3E	3741	0.061565104871988297	-0.038619693	No	
row_17	ABLIM1	3966	0.05101985111832619	-0.041135814	No	
row_18	PLXNA2	4253	0.04060722142457962	-0.046755195	No	
row_19	SEMA4A	4901	0.023641059175133705	-0.07044355	No	
row_20	EPHA4	5001	0.021616734564304352	-0.066703096	No	
row_21	GNAI3	5421	0.015391389839351177	-0.07897947	No	
row_22	RAC2	5521	0.014052990823984146	-0.07523902	No	
row_23	EPHA1	5679	0.011809131130576134	-0.07440162	No	
row_24	NTN1	5879	0.009809228591620922	-0.07566643	No	
row_25	PLXNC1	5880	0.009794853627681732	-0.06697077	No	
row_26	NCK1	5898	0.009688371792435646	-0.059126016	No	
row_27	SEMA3C	5990	0.008915192447602749	-0.054985147	No	
row_28	KRAS	6064	0.0083489790558815	-0.04994333	No	
row_29	PPP3R1	6260	0.006932297721505165	-0.051007926	No	
row_30	SEMA6D	6401	0.005937083158642054	-0.049319632	No	
row_31	SLIT3	6460	0.005536853801459074	-0.04352703	No	
row_32	NFAT5	6679	0.004315886180847883	-0.045742836	No	
row_33	CDK5	6698	0.0041669197380542755	-0.037948128	No	
row_34	EFNA3	6819	0.0035952406469732523	-0.035258785	No	
row_35	PLXNA3	6865	0.0033817202784121037	-0.028815499	No	
row_36	SRGAP3	7466	0.0013378376606851816	-0.05015138	No	
row_37	CFL1	7946	4.21794451540336E-4	-0.0654309	No	
row_38	LIMK2	8509	4.0059458115138113E-5	-0.08486479	No	
row_39	EFNA1	8604	7.772379831294529E-6	-0.08087408	No	
row_40	EPHA7	9073	0.0	-0.09560302	No	
row_41	RND1	9338	0.0	-0.100121245	No	
row_42	EPHA6	9900	-1.2186850426587625E-6	-0.11950508	No	
row_43	SEMA4B	9925	-4.029140654893126E-6	-0.11201069	No	
row_44	NTN4	10108	-6.440810102503747E-5	-0.1124246	No	
row_45	EFNA4	10282	-1.5774389612488449E-4	-0.11238804	No	
row_46	EPHB3	10325	-1.841787016019225E-4	-0.10579459	No	
row_47	MAPK1	10352	-2.0732150005642325E-4	-0.09840031	No	
row_48	SEMA4D	10374	-2.3280520690605044E-4	-0.09075576	No	
row_49	RHOA	10538	-3.8966728607192636E-4	-0.09021868	No	
row_50	ROCK1	10717	-5.880756070837379E-4	-0.09043238	No	
row_51	EFNA2	10935	-0.0010030244011431932	-0.09259813	No	
row_52	NRAS	10991	-0.0011340748751536012	-0.08665537	No	
row_53	PAK2	11011	-0.001160693820565939	-0.078910716	No	
row_54	UNC5C	11450	-0.00223022373393178	-0.09213809	No	
row_55	SRGAP2	11818	-0.0035641160793602467	-0.10181172	No	
row_56	PPP3CA	12549	-0.007496119011193514	-0.12965444	No	
row_57	SEMA3F	12958	-0.010628437623381615	-0.14138024	No	
row_58	GSK3B	13211	-0.013036919757723808	-0.14529783	No	
row_59	SEMA7A	13285	-0.013807671144604683	-0.140256	No	
row_60	GNAI1	13357	-0.01462087593972683	-0.13511409	No	
row_61	EPHA5	13528	-0.01653221808373928	-0.13492738	No	
row_62	PTK2	13686	-0.01880517788231373	-0.13408998	No	
row_63	ABLIM3	13743	-0.01957540400326252	-0.12819727	No	
row_64	NFATC1	14182	-0.02681257575750351	-0.14142463	No	
row_65	PAK1	14908	-0.04236678406596184	-0.16901708	Yes	
row_66	GNAI2	14964	-0.04401640594005585	-0.16307431	Yes	
row_67	NFATC2	15032	-0.0456918329000473	-0.15773219	Yes	
row_68	CFL2	15333	-0.0556991882622242	-0.16405231	Yes	
row_69	HRAS	15438	-0.05966896936297417	-0.16056211	Yes	
row_70	ROBO3	15505	-0.06223241612315178	-0.15516993	Yes	
row_71	EFNB3	15902	-0.07980971783399582	-0.1662951	Yes	
row_72	PAK6	16071	-0.0881427675485611	-0.16600828	Yes	
row_73	PAK3	16087	-0.08904312551021576	-0.15806341	Yes	
row_74	SEMA5B	16107	-0.09022677689790726	-0.15031876	Yes	
row_75	RHOD	16194	-0.0957067683339119	-0.14592762	Yes	
row_76	EFNB1	16274	-0.10138332843780518	-0.14118612	Yes	
row_77	EPHA3	16316	-0.10407070070505142	-0.13454263	Yes	
row_78	MAPK3	16593	-0.1256481409072876	-0.13966148	Yes	
row_79	DPYSL2	16635	-0.12903381884098053	-0.13301799	Yes	
row_80	SEMA4C	16757	-0.1397547423839569	-0.1303787	Yes	
row_81	EFNA5	16881	-0.1518356204032898	-0.1278395	Yes	
row_82	EFNB2	16973	-0.16038691997528076	-0.12369864	Yes	
row_83	NRP1	16979	-0.16117466986179352	-0.11525325	Yes	
row_84	FYN	17010	-0.16446490585803986	-0.108059175	Yes	
row_85	PAK4	17040	-0.1681891232728958	-0.10081504	Yes	
row_86	ROBO1	17418	-0.22417713701725006	-0.110989206	Yes	
row_87	ARHGEF12	17808	-0.3044957220554352	-0.121764	Yes	
row_88	PPP3CC	18009	-0.3575267195701599	-0.12307886	Yes	
row_89	NFATC4	18295	-0.46523550152778625	-0.12864819	Yes	
row_90	EPHA2	18551	-0.5859319567680359	-0.13271594	Yes	
row_91	CDC42	18568	-0.5984136462211609	-0.12482113	Yes	
row_92	ROCK2	18597	-0.616467297077179	-0.11752695	Yes	
row_93	PLXNB1	18670	-0.662205696105957	-0.11243508	Yes	
row_94	SEMA4G	18888	-0.8822090029716492	-0.11460083	Yes	
row_95	EPHB4	18957	-0.966547429561615	-0.10930875	Yes	
row_96	LIMK1	18979	-0.9990522861480713	-0.10166421	Yes	
row_97	ITGB1	19093	-1.1656793355941772	-0.09862449	Yes	
row_98	NGEF	19162	-1.2896106243133545	-0.09333241	Yes	
row_99	ABL1	19164	-1.2979196310043335	-0.084686816	Yes	
row_100	RASA1	19190	-1.350375771522522	-0.07724248	Yes	
row_101	FES	19209	-1.392359972000122	-0.06944777	Yes	
row_102	EPHB2	19411	-2.0727713108062744	-0.07081268	Yes	
row_103	PPP3CB	19489	-2.5907912254333496	-0.06597108	Yes	
row_104	NCK2	19538	-3.049889087677002	-0.059677947	Yes	
row_105	SEMA6C	19616	-3.900473117828369	-0.054836344	Yes	
row_106	ROBO2	19633	-4.055751800537109	-0.046941534	Yes	
row_107	SEMA6B	19685	-4.6862592697143555	-0.04079856	Yes	
row_108	RAC3	19734	-5.577264785766602	-0.03450543	Yes	
row_109	SEMA4F	19735	-5.578568935394287	-0.02580978	Yes	
row_110	DPYSL5	19821	-7.755558967590332	-0.021368597	Yes	
row_111	SEMA3D	19932	-16.929018020629883	-0.018178726	Yes	
row_112	MET	19950	-19.027936935424805	-0.010333967	Yes	
