NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP1A4	8	96.07036590576172	0.018468743	Yes	
row_1	CACNA1D	271	5.88817834854126	0.024263468	Yes	
row_2	TNNC1	385	4.147735118865967	0.037492953	Yes	
row_3	COX4I1	759	1.53932523727417	0.03774903	Yes	
row_4	COX5B	1090	0.8661741614341736	0.040150713	Yes	
row_5	CACNG6	1298	0.6297596096992493	0.04868981	Yes	
row_6	UQCRC2	1345	0.59140944480896	0.06526244	Yes	
row_7	ATP2A2	1449	0.5024449825286865	0.0789909	Yes	
row_8	UQCRQ	1897	0.2998318076133728	0.07555455	Yes	
row_9	COX7B	2062	0.2555256485939026	0.08623925	Yes	
row_10	ATP1B3	2169	0.2292676717042923	0.09981802	Yes	
row_11	UQCR10	2246	0.21603837609291077	0.11489372	Yes	
row_12	COX5A	2303	0.20665042102336884	0.13096736	Yes	
row_13	COX8A	2471	0.1748642474412918	0.14150238	Yes	
row_14	UQCRB	2597	0.15712669491767883	0.15413308	Yes	
row_15	TPM3	2599	0.15688861906528473	0.17295112	Yes	
row_16	ATP1B1	3173	0.09603817760944366	0.16322765	Yes	
row_17	UQCRFS1	3195	0.09424562007188797	0.18104772	Yes	
row_18	CACNA1C	3359	0.0829940140247345	0.19178233	Yes	
row_19	CYC1	3438	0.07730749249458313	0.20675823	Yes	
row_20	COX6B1	3756	0.060843367129564285	0.20980857	Yes	
row_21	SLC9A1	4222	0.042043089866638184	0.20547406	Yes	
row_22	MT-CO2	4416	0.03602118790149689	0.21471174	Yes	
row_23	COX7C	4616	0.030550392344594002	0.22365001	Yes	
row_24	COX6A1	4653	0.029646672308444977	0.24072163	Yes	
row_25	UQCRH	4689	0.028495900332927704	0.25784314	Yes	
row_26	COX6C	4736	0.027365295216441154	0.27441576	Yes	
row_27	UQCRHL	4976	0.02206842042505741	0.28135812	Yes	
row_28	MT-CO3	6009	0.008755913004279137	0.24873161	No	
row_29	MT-CYB	6293	0.006665075663477182	0.2534785	No	
row_30	MT-CO1	6463	0.005526915192604065	0.2639137	No	
row_31	COX7A2	6517	0.0052222018130123615	0.28013706	No	
row_32	ATP1A1	7318	0.001797252451069653	0.25908682	No	
row_33	ATP1A3	8808	0.0	0.20365705	No	
row_34	CACNB3	10276	-1.5222831279970706E-4	0.14932503	No	
row_35	CACNG7	10300	-1.68309808941558E-4	0.16704531	No	
row_36	COX6B2	12418	-0.0067158956080675125	0.080279775	No	
row_37	CACNA2D1	13057	-0.011566055938601494	0.06731296	No	
row_38	UQCRC1	13180	-0.012721084989607334	0.08009337	No	
row_39	TPM1	13314	-0.014156809076666832	0.0923249	No	
row_40	CACNA2D2	14491	-0.03253987804055214	0.052513115	No	
row_41	CACNA2D3	14924	-0.04281853139400482	0.04982523	No	
row_42	UQCR11	15247	-0.0529291145503521	0.052626092	No	
row_43	CACNG8	15981	-0.08354085683822632	0.034918994	No	
row_44	CACNB1	16207	-0.0967564731836319	0.042559933	No	
row_45	CACNB4	16600	-0.1259480118751526	0.041867957	No	
row_46	RYR2	16887	-0.15191203355789185	0.046465136	No	
row_47	COX7A2L	17388	-0.2188841700553894	0.040384207	No	
row_48	TPM2	17771	-0.2963271141052246	0.040191207	No	
row_49	TPM4	17792	-0.30140507221221924	0.05806118	No	
row_50	SLC9A6	18737	-0.732764482498169	0.029825665	No	
row_51	CACNG4	19297	-1.6195348501205444	0.02080077	No	
row_52	SLC8A1	19741	-5.735692024230957	0.017564008	No	
