NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	28	38.65673828125	0.006728048	No	
row_1	IL6	115	12.852326393127441	0.010551885	No	
row_2	TNFRSF19	319	5.1075849533081055	0.008517227	No	
row_3	IL6ST	446	3.37528657913208	0.01033816	No	
row_4	IL20RA	612	2.1597580909729004	0.010206261	No	
row_5	TNFRSF14	633	2.058032989501953	0.01733489	No	
row_6	VEGFD	811	1.3729690313339233	0.01660212	No	
row_7	LTBR	924	1.1459946632385254	0.019124068	No	
row_8	VEGFB	941	1.1097019910812378	0.026452988	No	
row_9	IL15RA	967	1.0496909618377686	0.033331253	No	
row_10	TNFSF13B	1121	0.8309110999107361	0.033800226	No	
row_11	IL7	1654	0.3904343545436859	0.0152916815	No	
row_12	PRLR	1659	0.38891372084617615	0.023221472	No	
row_13	VEGFC	1950	0.2863914668560028	0.016830496	No	
row_14	PDGFRB	2594	0.15738922357559204	-0.0072361073	No	
row_15	CXCL10	2900	0.1221885085105896	-0.014378171	No	
row_16	TNFSF10	2948	0.11756399273872375	-0.0086015025	No	
row_17	CCR1	3218	0.09319546073675156	-0.013940953	No	
row_18	CSF1	3222	0.09304019808769226	-0.005961089	No	
row_19	TNFRSF1A	3441	0.07703186571598053	-0.008746836	No	
row_20	TNFRSF9	3571	0.0703129917383194	-0.0070761214	No	
row_21	TNFRSF10B	3879	0.054697342216968536	-0.01431833	No	
row_22	CXCL11	3884	0.054379042237997055	-0.0063885394	No	
row_23	IL13RA1	4006	0.049542754888534546	-0.004317244	No	
row_24	TNFRSF11B	4153	0.04454101249575615	-0.0034977633	No	
row_25	FLT1	4240	0.04125284403562546	3.260737E-4	No	
row_26	VEGFA	4273	0.040147606283426285	0.0068538315	No	
row_27	TNFRSF21	4332	0.038002729415893555	0.012079701	No	
row_28	IFNGR1	4381	0.03690180554986	0.017806297	No	
row_29	EPOR	4687	0.02856042981147766	0.010664233	No	
row_30	LIFR	4699	0.028338836506009102	0.018243516	No	
row_31	TGFB2	5113	0.01981884241104126	0.0056936108	No	
row_32	TNFSF13	5147	0.019140256568789482	0.0121712955	No	
row_33	TGFBR1	5581	0.013174831867218018	-0.0013800615	No	
row_34	BMPR2	5599	0.012871481478214264	0.0058987853	No	
row_35	IL15	6224	0.007200632710009813	-0.01721644	No	
row_36	EGF	6509	0.005276467185467482	-0.023306979	No	
row_37	TGFBR2	6731	0.004005400463938713	-0.026242943	No	
row_38	IL1R1	7075	0.0025290234480053186	-0.035287768	No	
row_39	IL7R	7180	0.0022103837691247463	-0.032365236	No	
row_40	EDA2R	7346	0.0017126384191215038	-0.032497134	No	
row_41	PDGFB	7874	5.143790040165186E-4	-0.05075532	No	
row_42	CCL2	7927	4.3986746459268034E-4	-0.04522901	No	
row_43	IL12A	8503	4.135973358643241E-5	-0.06589068	No	
row_44	CCR10	8540	2.8548976843012497E-5	-0.059563212	No	
row_45	CX3CL1	8930	0.0	-0.07091138	No	
row_46	EDA	8945	0.0	-0.06348231	No	
row_47	MPL	9242	0.0	-0.07017372	No	
row_48	TNFSF14	9829	0.0	-0.091386184	No	
row_49	TNFSF12	10273	-1.4901506074238569E-4	-0.10543827	No	
row_50	IL6R	10437	-2.983934246003628E-4	-0.105470024	No	
row_51	TNFSF18	10646	-5.013399058952928E-4	-0.10775504	No	
row_52	XCL1	10899	-9.078537696041167E-4	-0.11224326	No	
row_53	ACVR2A	11159	-0.0014657711144536734	-0.117081985	No	
row_54	IL10RB	11204	-0.0015717112692072988	-0.1111551	No	
row_55	CXCL2	11377	-0.0020169115159660578	-0.1116375	No	
row_56	IFNLR1	11590	-0.002662382321432233	-0.114122815	No	
row_57	TNFRSF1B	11597	-0.0026779859326779842	-0.10629317	No	
row_58	BMP7	11713	-0.003166739596053958	-0.103921436	No	
row_59	CNTF	11958	-0.004219940397888422	-0.10800907	No	
row_60	ACVR1	12034	-0.004550646059215069	-0.10363444	No	
row_61	TNFSF15	12093	-0.0048389737494289875	-0.098408565	No	
row_62	PLEKHO2	12156	-0.0051911151967942715	-0.09338299	No	
row_63	OSMR	12282	-0.00593316275626421	-0.09151198	No	
row_64	TGFB3	12297	-0.0060172309167683125	-0.08408292	No	
row_65	IL22RA1	12599	-0.007809694390743971	-0.09102469	No	
row_66	IL17RA	12947	-0.01056680828332901	-0.1002698	No	
row_67	TNFSF9	13010	-0.011119534261524677	-0.09524423	No	
row_68	AMH	13130	-0.012266923673450947	-0.09307279	No	
row_69	IL1RAP	13643	-0.01807897910475731	-0.11057988	No	
row_70	IFNAR2	13992	-0.02324969321489334	-0.119875066	No	
row_71	IFNE	14006	-0.023456396535038948	-0.11239593	No	
row_72	CD40	14294	-0.029063722118735313	-0.11863668	No	
row_73	EDAR	14310	-0.029354386031627655	-0.11125769	No	
row_74	CXCL1	14349	-0.030154583975672722	-0.105030365	No	
row_75	CXCL8	14703	-0.037548698484897614	-0.114575915	No	
row_76	GHR	15124	-0.04885675013065338	-0.12747633	No	
row_77	PDGFA	15190	-0.051145896315574646	-0.12260097	No	
row_78	IL1A	15261	-0.05331309512257576	-0.11797597	No	
row_79	TGFB1	15368	-0.05705691874027252	-0.11515359	No	
row_80	CXCL5	15560	-0.06471537053585052	-0.11658737	No	
row_81	CSF2	15627	-0.06728173792362213	-0.111762084	No	
row_82	IL11RA	15847	-0.07697994261980057	-0.1145979	No	
row_83	IL1B	15861	-0.07782861590385437	-0.10711876	No	
row_84	IL18	15962	-0.08283806592226028	-0.10399595	No	
row_85	IFNAR1	16525	-0.11980271339416504	-0.124006666	No	
row_86	CXCL3	16972	-0.16020409762859344	-0.13820897	Yes	
row_87	IL18R1	17109	-0.17734213173389435	-0.13688876	Yes	
row_88	CXCL16	17111	-0.17743755877017975	-0.12880875	Yes	
row_89	CD70	17289	-0.20369376242160797	-0.12954153	Yes	
row_90	BMPR1A	17329	-0.2091940939426422	-0.12336428	Yes	
row_91	BMPR1B	17392	-0.21917496621608734	-0.1183387	Yes	
row_92	IL1R2	17577	-0.2529623508453369	-0.119421974	Yes	
row_93	IL2RB	17616	-0.2635424733161926	-0.11319465	Yes	
row_94	TNFRSF11A	17634	-0.26700925827026367	-0.10591581	Yes	
row_95	CXCL6	17836	-0.3102027475833893	-0.10785032	Yes	
row_96	IFNGR2	17848	-0.31256982684135437	-0.10027104	Yes	
row_97	IL4R	17890	-0.3236100375652313	-0.094193935	Yes	
row_98	ACVR2B	17924	-0.33054015040397644	-0.087716244	Yes	
row_99	ACVR1B	18051	-0.3708265721797943	-0.085895315	Yes	
row_100	BMP2	18063	-0.3726041316986084	-0.07831603	Yes	
row_101	CTF1	18094	-0.3844144940376282	-0.07168813	Yes	
row_102	TNFRSF10A	18169	-0.4148728847503662	-0.067263424	Yes	
row_103	INHBB	18309	-0.47011154890060425	-0.06609343	Yes	
row_104	ACVRL1	18352	-0.4873465299606323	-0.060066402	Yes	
row_105	TNFRSF12A	18489	-0.5557355880737305	-0.058746193	Yes	
row_106	IL23A	18625	-0.6329696774482727	-0.057375915	Yes	
row_107	FAS	18760	-0.757434606552124	-0.055955563	Yes	
row_108	KITLG	18763	-0.7602188587188721	-0.04792563	Yes	
row_109	IL11	18811	-0.8010004162788391	-0.04214896	Yes	
row_110	TNFRSF13C	18873	-0.8613253235816956	-0.037073307	Yes	
row_111	RELT	18973	-0.991328775882721	-0.033900414	Yes	
row_112	LIF	19030	-1.0591089725494385	-0.028574398	Yes	
row_113	PDGFC	19225	-1.4268537759780884	-0.030158402	Yes	
row_114	EGFR	19374	-1.933792233467102	-0.029439067	Yes	
row_115	LEPR	19424	-2.1264796257019043	-0.023762545	Yes	
row_116	IL20RB	19447	-2.251819372177124	-0.01673406	Yes	
row_117	TNFRSF25	19617	-3.9062917232513428	-0.01706625	Yes	
row_118	CLCF1	19634	-4.058419227600098	-0.0097373305	Yes	
row_119	TNFRSF10D	19645	-4.153816223144531	-0.0021079755	Yes	
row_120	NGFR	19887	-11.31127643585205	-0.0060453927	Yes	
row_121	MET	19950	-19.027936935424805	-0.0010198131	Yes	
row_122	INHBA	19966	-22.005027770996094	0.006359179	Yes	
