NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R1	905	1.1902886629104614	-0.032718346	No	
row_1	BAD	1255	0.6761559247970581	-0.03765614	No	
row_2	CAMK2G	2224	0.22038625180721283	-0.073522285	No	
row_3	ELK1	2849	0.12765787541866302	-0.09220046	No	
row_4	SRC	2990	0.11314385384321213	-0.08669556	No	
row_5	CBLB	3057	0.10718370974063873	-0.07749325	No	
row_6	RPS6KB2	3972	0.050867266952991486	-0.11066128	No	
row_7	ARAF	4088	0.04675493761897087	-0.10390726	No	
row_8	CAMK2B	4173	0.04411056265234947	-0.09560432	No	
row_9	PLCG2	4639	0.029924852773547173	-0.106338054	No	
row_10	EIF4EBP1	4799	0.025929635390639305	-0.10178249	No	
row_11	CDKN1B	5567	0.013367537409067154	-0.12760566	No	
row_12	NRG4	5820	0.010398901998996735	-0.12769686	Yes	
row_13	SHC1	5838	0.010264786891639233	-0.11604626	Yes	
row_14	ERBB2	5855	0.010000564157962799	-0.104345694	Yes	
row_15	PIK3CD	5877	0.009838816709816456	-0.092894964	Yes	
row_16	NCK1	5898	0.009688371792435646	-0.08139426	Yes	
row_17	KRAS	6064	0.0083489790558815	-0.07713849	Yes	
row_18	MAPK10	6107	0.008022389374673367	-0.066737026	Yes	
row_19	MYC	6286	0.006707377266138792	-0.063130796	Yes	
row_20	EGF	6509	0.005276467185467482	-0.06172303	Yes	
row_21	GRB2	6740	0.003956165164709091	-0.060714986	Yes	
row_22	MAP2K4	6893	0.0032849221024662256	-0.05580967	Yes	
row_23	ERBB3	7078	0.002525930991396308	-0.052503236	Yes	
row_24	AKT1	7390	0.0015346197178587317	-0.055542357	Yes	
row_25	CRK	7534	0.0011680213501676917	-0.050187353	Yes	
row_26	PIK3CA	7722	7.560415542684495E-4	-0.047030814	Yes	
row_27	BRAF	7790	6.247541750781238E-4	-0.03787847	Yes	
row_28	MAPK9	7896	4.8411558964289725E-4	-0.030624798	Yes	
row_29	PRKCB	9891	-7.278003977262415E-7	-0.117755055	Yes	
row_30	ERBB4	9919	-2.855410230040434E-6	-0.10660411	Yes	
row_31	SHC3	10167	-8.886949217412621E-5	-0.10644547	Yes	
row_32	MAPK1	10352	-2.0732150005642325E-4	-0.103139035	Yes	
row_33	CBLC	10467	-3.277208306826651E-4	-0.096335046	Yes	
row_34	NRAS	10991	-0.0011340748751536012	-0.109966755	Yes	
row_35	PAK2	11011	-0.001160693820565939	-0.09841609	Yes	
row_36	STAT5A	11193	-0.0015495388070121408	-0.09495976	Yes	
row_37	AKT2	11356	-0.0019501808565109968	-0.09055409	Yes	
row_38	AKT3	11712	-0.0031537769827991724	-0.095791675	Yes	
row_39	PLCG1	12040	-0.004578087944537401	-0.09963024	Yes	
row_40	NRG1	12182	-0.0053352792747318745	-0.0941753	Yes	
row_41	PRKCG	12773	-0.00905537698417902	-0.11115467	Yes	
row_42	PIK3CB	12921	-0.01028058584779501	-0.10599953	Yes	
row_43	MTOR	13124	-0.012221923097968102	-0.10359246	Yes	
row_44	GSK3B	13211	-0.013036919757723808	-0.095389456	Yes	
row_45	PTK2	13686	-0.01880517788231373	-0.106572874	Yes	
row_46	BTC	13870	-0.021205885335803032	-0.10321647	Yes	
row_47	MAP2K2	14225	-0.02767973393201828	-0.10840409	Yes	
row_48	MAP2K1	14256	-0.028309615328907967	-0.09740304	Yes	
row_49	PAK1	14908	-0.04236678406596184	-0.11743027	Yes	
row_50	SHC2	15178	-0.05080855265259743	-0.11837086	Yes	
row_51	SOS1	15288	-0.05413109436631203	-0.111317046	Yes	
row_52	HRAS	15438	-0.05966896936297417	-0.106261835	Yes	
row_53	PRKCA	15972	-0.08319273591041565	-0.120393194	Yes	
row_54	PAK6	16071	-0.0881427675485611	-0.112789765	Yes	
row_55	PAK3	16087	-0.08904312551021576	-0.10103924	Yes	
row_56	MAP2K7	16091	-0.08931080996990204	-0.08868913	Yes	
row_57	SOS2	16171	-0.09380212426185608	-0.08013637	Yes	
row_58	TGFA	16360	-0.10724400728940964	-0.077029794	Yes	
row_59	MAPK3	16593	-0.1256481409072876	-0.07612168	Yes	
row_60	GAB1	16957	-0.15862368047237396	-0.08175898	Yes	
row_61	NRG2	16994	-0.16278034448623657	-0.07105773	Yes	
row_62	ABL2	17028	-0.16633063554763794	-0.060206573	Yes	
row_63	PAK4	17040	-0.1681891232728958	-0.04825619	Yes	
row_64	CRKL	17227	-0.19398127496242523	-0.045049682	Yes	
row_65	CDKN1A	17473	-0.23299472033977509	-0.04479111	Yes	
row_66	PIK3R3	17730	-0.2871997654438019	-0.04508216	Yes	
row_67	AREG	18630	-0.6353954672813416	-0.077500716	Yes	
row_68	RPS6KB1	18632	-0.636286199092865	-0.06505068	Yes	
row_69	CBL	18647	-0.6468486189842224	-0.05325019	Yes	
row_70	HBEGF	18940	-0.9397187829017639	-0.055339973	Yes	
row_71	JUN	19015	-1.0352187156677246	-0.046537384	Yes	
row_72	MAPK8	19142	-1.2508012056350708	-0.04033298	Yes	
row_73	ABL1	19164	-1.2979196310043335	-0.028882245	Yes	
row_74	RAF1	19286	-1.5996335744857788	-0.022428012	Yes	
row_75	STAT5B	19296	-1.618098497390747	-0.010377697	Yes	
row_76	EGFR	19374	-1.933792233467102	-0.0017250036	Yes	
row_77	NCK2	19538	-3.049889087677002	0.0026306978	Yes	
row_78	CAMK2D	19801	-7.165246963500977	0.0020398619	Yes	
row_79	EREG	20065	-68.70575714111328	0.0013990611	Yes	
