NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	53	25.65894889831543	0.02367319	Yes	
row_1	MGST1	83	16.286157608032227	0.04854303	Yes	
row_2	LAP3	114	12.866601943969727	0.073363006	Yes	
row_3	GPX2	147	10.975275039672852	0.098083265	Yes	
row_4	GSTM4	221	7.801082611083984	0.12075924	Yes	
row_5	G6PD	227	7.260983467102051	0.14682573	Yes	
row_6	GCLC	238	6.900474548339844	0.17264292	Yes	
row_7	GSR	244	6.542362689971924	0.1987094	Yes	
row_8	GCLM	714	1.6767164468765259	0.20164067	Yes	
row_9	RRM2B	1144	0.8072478175163269	0.20656635	Yes	
row_10	GGT7	2310	0.20487074553966522	0.1747948	Yes	
row_11	GSTM3	2418	0.18367524445056915	0.19577551	Yes	
row_12	GSS	2555	0.16215747594833374	0.21531029	Yes	
row_13	GSTM2	2633	0.1525992602109909	0.23778683	Yes	
row_14	TXNDC12	2646	0.15051886439323425	0.2635043	Yes	
row_15	GGCT	2752	0.13841035962104797	0.28458473	Yes	
row_16	MGST3	3650	0.06597805768251419	0.26617578	Yes	
row_17	MGST2	3912	0.05297281593084335	0.27947798	Yes	
row_18	RRM1	4239	0.04128684103488922	0.28953928	Yes	
row_19	GPX3	4828	0.025152266025543213	0.28653717	No	
row_20	GSTK1	5481	0.014524242840707302	0.28034398	No	
row_21	GSTT2	6770	0.0037961045745760202	0.2424396	No	
row_22	GGT6	7064	0.002569713396951556	0.25414628	No	
row_23	OPLAH	7321	0.0017890599556267262	0.2676978	No	
row_24	GPX7	7684	8.699303725734353E-4	0.27596414	No	
row_25	GPX4	8205	1.8614376313053071E-4	0.27635252	No	
row_26	RRM2	10665	-5.206869682297111E-4	0.18006162	No	
row_27	GSTO1	11856	-0.003730432828888297	0.14704354	No	
row_28	PGD	12195	-0.005400282330811024	0.15650652	No	
row_29	GPX1	12558	-0.0075397309847176075	0.16477285	No	
row_30	SRM	12683	-0.008361157029867172	0.18490595	No	
row_31	GSTA4	15483	-0.06136443093419075	0.0716625	No	
row_32	GSTP1	16211	-0.09687155485153198	0.06172979	No	
row_33	GSTZ1	16775	-0.14188510179519653	0.05997418	No	
row_34	IDH2	16819	-0.14577347040176392	0.08414597	No	
row_35	SMS	17783	-0.30023932456970215	0.062446203	No	
row_36	ODC1	19697	-4.841770172119141	-0.0066209356	No	
row_37	GSTO2	20088	-197.57423400878906	2.493015E-4	No	
