NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	115	12.852326393127441	0.02652612	No	
row_1	CD36	118	12.735587120056152	0.058684498	No	
row_2	IL7	1654	0.3904343545436859	0.014433564	No	
row_3	CD14	2011	0.2684168219566345	0.028947521	No	
row_4	CD55	2512	0.16815204918384552	0.03628409	No	
row_5	CSF1	3222	0.09304019808769226	0.033203468	No	
row_6	EPOR	4687	0.02856042981147766	-0.0075086122	No	
row_7	ITGA1	4821	0.025402702391147614	0.018120334	No	
row_8	CD9	5107	0.01994701288640499	0.036173142	No	
row_9	TFRC	5491	0.014377611689269543	0.04934134	No	
row_10	ITGB3	6218	0.007239457685500383	0.04541339	No	
row_11	IL1R1	7075	0.0025290234480053186	0.03500585	No	
row_12	IL7R	7180	0.0022103837691247463	0.06208024	No	
row_13	ITGA2B	8158	2.2892009292263538E-4	0.045641698	No	
row_14	IL6R	10437	-2.983934246003628E-4	-0.03564258	No	
row_15	ITGAM	14398	-0.03112855553627014	-0.20076278	No	
row_16	IL1A	15261	-0.05331309512257576	-0.21146937	Yes	
row_17	ITGA2	15331	-0.055631015449762344	-0.18265048	Yes	
row_18	CSF2	15627	-0.06728173792362213	-0.16509609	Yes	
row_19	IL11RA	15847	-0.07697994261980057	-0.14375365	Yes	
row_20	IL1B	15861	-0.07782861590385437	-0.11214354	Yes	
row_21	ITGA5	16393	-0.10941540449857712	-0.106352106	Yes	
row_22	ITGA3	17500	-0.23810820281505585	-0.1292204	Yes	
row_23	IL1R2	17577	-0.2529623508453369	-0.1007504	Yes	
row_24	MME	17584	-0.2548607587814331	-0.0687914	Yes	
row_25	IL4R	17890	-0.3236100375652313	-0.051735446	Yes	
row_26	ITGA6	18299	-0.46703895926475525	-0.03981332	Yes	
row_27	KITLG	18763	-0.7602188587188721	-0.030632565	Yes	
row_28	IL11	18811	-0.8010004162788391	-7.1712234E-4	Yes	
row_29	CD44	19600	-3.627368927001953	-0.0077353385	Yes	
row_30	CD59	19854	-9.363524436950684	0.011912447	Yes	
