NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CREB3L1	191	9.170360565185547	-0.0029101481	Yes	
row_1	NDUFA4L2	255	6.262496471405029	5.976741E-4	Yes	
row_2	PLCB2	292	5.529361248016357	0.0054592867	Yes	
row_3	DNAH2	389	4.07675838470459	0.007312476	Yes	
row_4	SLC25A4	437	3.4626524448394775	0.011622544	Yes	
row_5	ITPR1	541	2.602264881134033	0.013124751	Yes	
row_6	NDUFS5	543	2.5762131214141846	0.019741278	Yes	
row_7	CASP3	672	1.8436460494995117	0.019989975	Yes	
row_8	AP2M1	746	1.5803767442703247	0.022996392	Yes	
row_9	COX4I1	759	1.53932523727417	0.029061375	Yes	
row_10	NDUFB3	818	1.3547197580337524	0.032819897	Yes	
row_11	CYCS	947	1.0984872579574585	0.033068594	Yes	
row_12	COX5B	1090	0.8661741614341736	0.032615326	Yes	
row_13	UQCRC2	1345	0.59140944480896	0.026546333	Yes	
row_14	NDUFS6	1529	0.4528507888317108	0.024037309	Yes	
row_15	VDAC3	1547	0.44632279872894287	0.02985159	Yes	
row_16	HTT	1640	0.3979620933532715	0.03190534	Yes	
row_17	NDUFS4	1678	0.3801455795764923	0.03671681	Yes	
row_18	PPARGC1A	1735	0.35534432530403137	0.040575616	Yes	
row_19	CASP8	1817	0.32775169610977173	0.043180913	Yes	
row_20	UQCRQ	1897	0.2998318076133728	0.045886487	Yes	
row_21	VDAC1	1992	0.273701936006546	0.04783996	Yes	
row_22	COX7B	2062	0.2555256485939026	0.051046938	Yes	
row_23	UQCR10	2246	0.21603837609291077	0.048537914	Yes	
row_24	NDUFS3	2247	0.2160000056028366	0.055204578	Yes	
row_25	COX5A	2303	0.20665042102336884	0.059113525	Yes	
row_26	POLR2K	2393	0.1898367702960968	0.061317697	Yes	
row_27	NDUFS1	2463	0.1759243756532669	0.06452467	Yes	
row_28	COX8A	2471	0.1748642474412918	0.07084036	Yes	
row_29	UQCRB	2597	0.15712669491767883	0.07123948	Yes	
row_30	SDHA	2683	0.1469508856534958	0.07364421	Yes	
row_31	POLR2G	2720	0.14222285151481628	0.07850582	Yes	
row_32	NDUFA6	2783	0.13499927520751953	0.08206379	Yes	
row_33	CLTA	2821	0.13020941615104675	0.08687526	Yes	
row_34	BAX	2830	0.1294770985841751	0.0931408	Yes	
row_35	SLC25A5	2919	0.12006579339504242	0.09539512	Yes	
row_36	BBC3	2925	0.11929361522197723	0.10181108	Yes	
row_37	NDUFB5	3163	0.09686730057001114	0.096594475	Yes	
row_38	PPARG	3168	0.09650352597236633	0.10306058	Yes	
row_39	POLR2L	3176	0.0959068015217781	0.10937627	Yes	
row_40	UQCRFS1	3195	0.09424562007188797	0.1151404	Yes	
row_41	NDUFA1	3214	0.09349343180656433	0.12090454	Yes	
row_42	NDUFA2	3226	0.09270404279232025	0.12701966	Yes	
row_43	CREB3L2	3250	0.09064806997776031	0.1325331	Yes	
row_44	AP2A2	3428	0.07791948318481445	0.13032492	Yes	
row_45	CYC1	3438	0.07730749249458313	0.13654032	Yes	
row_46	NDUFA8	3489	0.07468265295028687	0.14069997	Yes	
