NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6	115	12.852326393127441	0.011804477	No	
row_1	CACNA1D	271	5.88817834854126	0.021612648	No	
row_2	ITGB5	375	4.246506214141846	0.034016017	No	
row_3	TNNC1	385	4.147735118865967	0.051110707	No	
row_4	PRKAA1	1163	0.7813530564308167	0.029876309	No	
row_5	CACNG6	1298	0.6297596096992493	0.04073254	No	
row_6	ATP2A2	1449	0.5024449825286865	0.05079025	No	
row_7	ITGB7	2547	0.16350536048412323	0.013585395	No	
row_8	TPM3	2599	0.15688861906528473	0.028583964	No	
row_9	CACNA1C	3359	0.0829940140247345	0.008247902	No	
row_10	LMNA	4164	0.044281262904405594	-0.014334005	No	
row_11	ITGA1	4821	0.025402702391147614	-0.029529577	No	
row_12	TGFB2	5113	0.01981884241104126	-0.02650885	No	
row_13	ITGA11	5732	0.011204264126718044	-0.03980793	No	
row_14	ITGB3	6218	0.007239457685500383	-0.04646929	No	
row_15	PRKAG1	6341	0.006354883313179016	-0.035014167	No	
row_16	ITGAV	6718	0.0040677739307284355	-0.03623559	No	
row_17	ITGA2B	8158	2.2892009292263538E-4	-0.09050887	No	
row_18	ACE	8264	1.3752894301433116E-4	-0.07820532	No	
row_19	PRKAB2	8460	5.514996882993728E-5	-0.07039345	No	
row_20	PRKAG2	8524	3.5017426853301004E-5	-0.055993773	No	
row_21	CACNB3	10276	-1.5222831279970706E-4	-0.12583825	No	
row_22	CACNG7	10300	-1.68309808941558E-4	-0.109442264	No	
row_23	ITGB6	10927	-9.887542109936476E-4	-0.1231406	No	
row_24	TGFB3	12297	-0.0060172309167683125	-0.17392035	Yes	
row_25	PRKAA2	12434	-0.006799065042287111	-0.16316393	Yes	
row_26	DAG1	12593	-0.00777079351246357	-0.15350547	Yes	
row_27	EMD	12967	-0.010689334012567997	-0.15457718	Yes	
row_28	CACNA2D1	13057	-0.011566055938601494	-0.14147511	Yes	
row_29	ITGA10	13198	-0.01292474940419197	-0.13091832	Yes	
row_30	TPM1	13314	-0.014156809076666832	-0.11911384	Yes	
row_31	SGCB	13412	-0.015230363234877586	-0.106411025	Yes	
row_32	CACNA2D2	14491	-0.03253987804055214	-0.14266764	Yes	
row_33	CACNA2D3	14924	-0.04281853139400482	-0.14668389	Yes	
row_34	ITGB4	15003	-0.04506142809987068	-0.13303283	Yes	
row_35	TTN	15145	-0.049672532826662064	-0.122525945	Yes	
row_36	ITGA2	15331	-0.055631015449762344	-0.11421501	Yes	
row_37	TGFB1	15368	-0.05705691874027252	-0.09846783	Yes	
row_38	PRKAB1	15864	-0.07790889590978622	-0.10562826	Yes	
row_39	ITGA7	15887	-0.07907246053218842	-0.08918237	Yes	
row_40	CACNG8	15981	-0.08354085683822632	-0.07627992	Yes	
row_41	CACNB1	16207	-0.0967564731836319	-0.06996529	Yes	
row_42	ITGA5	16393	-0.10941540449857712	-0.061654348	Yes	
row_43	CACNB4	16600	-0.1259480118751526	-0.05439147	Yes	
row_44	RYR2	16887	-0.15191203355789185	-0.051121205	Yes	
row_45	ITGA3	17500	-0.23810820281505585	-0.06412084	Yes	
row_46	DMD	17682	-0.278322696685791	-0.055610266	Yes	
row_47	TPM2	17771	-0.2963271141052246	-0.04245828	Yes	
row_48	TPM4	17792	-0.30140507221221924	-0.025912575	Yes	
row_49	ITGA6	18299	-0.46703895926475525	-0.033621997	Yes	
row_50	ACTB	18361	-0.4920198619365692	-0.019122506	Yes	
row_51	LAMA2	18612	-0.6242602467536926	-0.014055563	Yes	
row_52	ACTG1	19025	-1.0516835451126099	-0.017073663	Yes	
row_53	ITGB1	19093	-1.1656793355941772	-0.0028736177	Yes	
row_54	CACNG4	19297	-1.6195348501205444	0.004538985	Yes	
row_55	SLC8A1	19741	-5.735692024230957	-2.6253256E-5	Yes	
row_56	ITGB8	19871	-10.507589340209961	0.011079517	Yes	
