NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	15	65.01049041748047	0.008258372	Yes	
row_1	NEU1	109	13.507085800170898	0.012613424	Yes	
row_2	LGMN	175	9.96139144897461	0.01836967	Yes	
row_3	AGA	218	7.944124221801758	0.025276892	Yes	
row_4	IDUA	320	5.054678440093994	0.029231604	Yes	
row_5	ASAH1	423	3.6363863945007324	0.033136275	Yes	
row_6	HGSNAT	493	2.945608377456665	0.038692348	Yes	
row_7	GNS	496	2.914520740509033	0.04760127	Yes	
row_8	PPT2	552	2.495154619216919	0.05385794	Yes	
row_9	TPP1	565	2.411954402923584	0.062266443	Yes	
row_10	LAMP3	637	2.0278735160827637	0.06772243	Yes	
row_11	NAGLU	803	1.4049636125564575	0.06847442	Yes	
row_12	GLA	836	1.320072889328003	0.07588207	Yes	
row_13	MAN2B1	889	1.2132009267807007	0.08228887	Yes	
row_14	GNPTAB	954	1.077898383140564	0.08809515	Yes	
row_15	CTSA	1075	0.8935294151306152	0.09109906	Yes	
row_16	CD63	1092	0.8613613247871399	0.09930739	Yes	
row_17	HEXA	1132	0.8210882544517517	0.106364734	Yes	
row_18	M6PR	1279	0.6554725170135498	0.108067535	Yes	
row_19	NAGA	1398	0.5404401421546936	0.11117153	Yes	
row_20	CTSH	1428	0.5133947730064392	0.1187293	Yes	
row_21	NPC2	1500	0.46901625394821167	0.12418529	Yes	
row_22	ATP6AP1	1703	0.36994948983192444	0.12308571	Yes	
row_23	MCOLN1	1872	0.3087235689163208	0.12368757	Yes	
row_24	ATP6V0D1	1990	0.27422261238098145	0.1268416	Yes	
row_25	LIPA	2014	0.2667635977268219	0.13469963	Yes	
row_26	GLB1	2081	0.24924296140670776	0.14040583	Yes	
row_27	ATP6V1H	2366	0.1964481770992279	0.13520277	Yes	
row_28	SCARB2	2702	0.14526866376399994	0.12744752	Yes	
row_29	CLTA	2821	0.13020941615104675	0.13055152	Yes	
row_30	AP1B1	2828	0.1296096295118332	0.13926026	Yes	
row_31	AP3M2	2862	0.12590718269348145	0.14661787	Yes	
row_32	ARSA	2872	0.12479555606842041	0.15517649	Yes	
row_33	CTNS	2916	0.1202959269285202	0.16203368	Yes	
row_34	AP3D1	3275	0.08890612423419952	0.15312746	Yes	
row_35	SUMF1	3346	0.08387865126132965	0.15863349	Yes	
row_36	GALNS	3597	0.06913851946592331	0.15513186	Yes	
row_37	LAMP2	4011	0.04940430819988251	0.14347331	Yes	
row_38	CLTB	4150	0.04472597688436508	0.14557645	Yes	
row_39	AP4E1	4168	0.04425857216119766	0.15373473	Yes	
row_40	SMPD1	4172	0.044192325323820114	0.16259362	Yes	
row_41	GNPTG	4235	0.04147157445549965	0.16849999	Yes	
row_42	HEXB	4256	0.04052984341979027	0.17650814	Yes	
row_43	CTSO	4461	0.034820057451725006	0.17530848	Yes	
row_44	AP1S2	4506	0.03366691246628761	0.18211561	Yes	
row_45	CTSE	4940	0.022845255210995674	0.1694562	Yes	
row_46	NAGPA	5252	0.017644817009568214	0.16290198	Yes	
row_47	AP1G1	5308	0.01693076454102993	0.16915865	Yes	
row_48	LAPTM4A	5330	0.016522549092769623	0.17711677	Yes	
row_49	LAMP1	5464	0.014733491465449333	0.17947012	Yes	
row_50	CD164	5516	0.014096464030444622	0.18592696	Yes	
row_51	IDS	5650	0.012178606353700161	0.18828031	Yes	
row_52	FUCA1	5675	0.011875037103891373	0.1960883	Yes	
row_53	DNASE2	5718	0.011357479728758335	0.20299552	Yes	
row_54	GGA2	5833	0.010307985357940197	0.20629968	Yes	
row_55	SGSH	5840	0.010206760838627815	0.21500844	Yes	
row_56	ATP6V0A2	6024	0.008634952828288078	0.21485966	Yes	
row_57	CTSF	6037	0.008532030507922173	0.22326817	Yes	
row_58	GUSB	6181	0.007532701827585697	0.22512108	Yes	
row_59	AP3M1	6506	0.005288904998451471	0.21791631	Yes	
row_60	CLN5	6574	0.004871803801506758	0.22357248	Yes	
row_61	CTSS	6637	0.0045294552110135555	0.22947885	Yes	
row_62	PLA2G15	6849	0.0034531026612967253	0.22792888	Yes	
row_63	AP3S2	7070	0.0025409008376300335	0.22592853	Yes	
row_64	AP1S3	7141	0.0023353470023721457	0.23143455	Yes	
row_65	PSAP	7267	0.001958811655640602	0.23418826	Yes	
row_66	NPC1	7360	0.0016417504521086812	0.23859335	Yes	
row_67	AP4B1	7603	0.0010145882843062282	0.23549207	No	
row_68	CTSZ	7840	5.603806348517537E-4	0.23269103	No	
row_69	ACP2	8661	1.463520106881333E-6	0.20066516	No	
row_70	ATP6V0C	8811	0.0	0.20221783	No	
row_71	SORT1	9971	-1.5971223547239788E-5	0.15322754	No	
row_72	LAPTM4B	10085	-5.560187855735421E-5	0.15658174	No	
row_73	CLTC	10190	-9.890190995065495E-5	0.16038632	No	
row_74	MFSD8	10309	-1.733852841425687E-4	0.16349033	No	
row_75	CTSL	10435	-2.939535188488662E-4	0.16624402	No	
row_76	ARSB	11118	-0.0013490131823346019	0.14112401	No	
row_77	SLC11A2	11132	-0.0014012705069035292	0.14948247	No	
row_78	AP3B2	11334	-0.0019091266440227628	0.14843293	No	
row_79	CLN3	11572	-0.002615615725517273	0.14558186	No	
row_80	CTSB	11658	-0.00291498308070004	0.15033725	No	
row_81	ABCA2	11659	-0.0029168410692363977	0.15934625	No	
row_82	LAPTM5	11872	-0.0037871133536100388	0.15774624	No	
row_83	ATP6V0B	11912	-0.003995137754827738	0.1648036	No	
row_84	CTSD	12321	-0.006165168713778257	0.15339525	No	
row_85	IGF2R	12368	-0.006415503565222025	0.16010231	No	
row_86	AP1M2	12382	-0.0065055484883487225	0.16846076	No	
row_87	TCIRG1	12737	-0.008769739419221878	0.15975471	No	
row_88	GGA1	13157	-0.012550806626677513	0.1477959	No	
row_89	AP4S1	13430	-0.015391808934509754	0.14319333	No	
row_90	CTSV	13451	-0.015678133815526962	0.1512015	No	
row_91	AP1M1	13484	-0.016095416620373726	0.15860914	No	
row_92	CTSK	13632	-0.017869750037789345	0.1602619	No	
row_93	PPT1	13750	-0.019706953316926956	0.16341592	No	
row_94	AP3B1	13834	-0.020751984789967537	0.16827141	No	
row_95	CTSC	14008	-0.023479221388697624	0.16862306	No	
row_96	GALC	14347	-0.030102930963039398	0.1607177	No	
row_97	SLC17A5	14418	-0.03146203234791756	0.16622372	No	
row_98	GGA3	14859	-0.04112586751580238	0.15321402	No	
row_99	ARSG	15120	-0.048623036593198776	0.14921196	No	
row_100	GAA	15126	-0.048888202756643295	0.15797076	No	
row_101	ATP6V0A1	17472	-0.23298752307891846	0.04963002	No	
row_102	CLTCL1	17531	-0.24416282773017883	0.05573656	No	
row_103	GM2A	17691	-0.2793484032154083	0.05678881	No	
row_104	MANBA	17796	-0.30286017060279846	0.060593393	No	
row_105	AP1S1	18134	-0.39919233322143555	0.052738067	No	
row_106	AP3S1	18768	-0.7638034820556641	0.03007015	No	
row_107	ENTPD4	19131	-1.2225821018218994	0.02096376	No	
row_108	AP4M1	19523	-2.855239152908325	0.010406137	No	
row_109	HYAL1	19701	-4.995728492736816	0.010557618	No	
row_110	ABCB9	19740	-5.710409641265869	0.01766501	No	
