NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	G6PD	227	7.260983467102051	0.03869184	Yes	
row_1	RPE	693	1.7620810270309448	0.06552755	Yes	
row_2	TKT	1095	0.8574721813201904	0.09555146	Yes	
row_3	TALDO1	1128	0.8248288631439209	0.14395736	Yes	
row_4	PRPS1	1158	0.7869092226028442	0.1925127	Yes	
row_5	PFKM	1224	0.7110010385513306	0.2392747	Yes	
row_6	GPI	1321	0.6107203960418701	0.28449237	Yes	
row_7	PGM2	1894	0.30073314905166626	0.30599782	Yes	
row_8	PRPS2	2639	0.15183059871196747	0.31893495	Yes	
row_9	ALDOC	3863	0.055435553193092346	0.30801037	Yes	
row_10	PFKL	4158	0.04444129392504692	0.34336457	Yes	
row_11	PFKP	4943	0.022710124030709267	0.35430908	Yes	
row_12	ALDOA	4944	0.022652676329016685	0.40430906	Yes	
row_13	RBKS	10890	-8.790268329903483E-4	0.15815486	No	
row_14	DERA	11124	-0.0013665170408785343	0.1965478	No	
row_15	PGD	12195	-0.005400282330811024	0.19324502	No	
row_16	PGM1	13277	-0.013702834956347942	0.18939428	No	
row_17	RPIA	14350	-0.03017618879675865	0.18599187	No	
row_18	H6PD	15747	-0.0728997141122818	0.16644917	No	
row_19	PGLS	19196	-1.366045355796814	0.044684708	No	
