NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CP	27	39.91722869873047	0.040321376	Yes	
row_1	FTH1	528	2.700833559036255	0.05707524	Yes	
row_2	MMAB	592	2.2711422443389893	0.09560289	Yes	
row_3	FECH	602	2.207129716873169	0.13682114	Yes	
row_4	BLVRB	820	1.3479220867156982	0.16767564	Yes	
row_5	COX10	821	1.3477565050125122	0.20934232	Yes	
row_6	HCCS	1191	0.7540736198425293	0.23262332	Yes	
row_7	CPOX	1340	0.5950024724006653	0.2669158	Yes	
row_8	EARS2	3081	0.10499638319015503	0.22188592	Yes	
row_9	UROS	4030	0.048688631504774094	0.2163179	Yes	
row_10	ALAS1	4349	0.03759628161787987	0.24214002	Yes	
row_11	UGT1A7	4383	0.036824051290750504	0.28216246	Yes	
row_12	HMOX1	4813	0.025598863139748573	0.30245394	Yes	
row_13	UGT1A6	5192	0.018463291227817535	0.32528654	Yes	
row_14	COX15	5223	0.01801019161939621	0.36545843	Yes	
row_15	UGT1A1	5868	0.009879229590296745	0.3750374	Yes	
row_16	GUSB	6181	0.007532701827585697	0.40115848	Yes	
row_17	UGT1A4	6528	0.00516718253493309	0.42558548	Yes	
row_18	BLVRA	7465	0.0013402019394561648	0.42061538	Yes	
row_19	HMOX2	8068	2.956253010779619E-4	0.43228704	Yes	
row_20	PPOX	8565	2.2105423340690322E-5	0.4492402	Yes	
row_21	HMBS	10365	-2.1686007676180452E-4	0.4012706	No	
row_22	UROD	11835	-0.0036503481678664684	0.36974344	No	
row_23	ALAD	17911	-0.32827043533325195	0.10871954	No	
