NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC61A1	349	4.577476978302002	0.02427753	Yes	
row_1	HSPA5	1369	0.5676466226577759	0.015171903	Yes	
row_2	SEC62	1502	0.4685734510421753	0.05026159	Yes	
row_3	SPCS3	1742	0.3511510193347931	0.080019936	Yes	
row_4	SEC11A	2026	0.26376983523368835	0.10758596	Yes	
row_5	SEC11C	2096	0.24678321182727814	0.14581466	Yes	
row_6	SRP54	4307	0.038843195885419846	0.07736673	Yes	
row_7	SRP14	4643	0.029794897884130478	0.10234182	Yes	
row_8	OXA1L	4945	0.022651081904768944	0.12901098	Yes	
row_9	SRP72	5257	0.017595935612916946	0.15518188	Yes	
row_10	SRPRB	5562	0.013412222266197205	0.18170157	Yes	
row_11	SRP9	5991	0.008913313038647175	0.20204288	Yes	
row_12	SRP19	6072	0.008304261602461338	0.23972349	Yes	
row_13	SPCS2	6082	0.008144129998981953	0.28094172	Yes	
row_14	SEC61B	6170	0.007599154487252235	0.31827357	Yes	
row_15	SRPRA	6531	0.005152419209480286	0.34200302	Yes	
row_16	SPCS1	6639	0.004527110140770674	0.37833834	Yes	
row_17	IMMP1L	6723	0.004029849544167519	0.4158695	Yes	
row_18	SEC61A2	7094	0.0024963016621768475	0.43910068	Yes	
row_19	SRP9P1	11246	-0.0017046179855242372	0.27394125	No	
row_20	SEC61G	12787	-0.009204113855957985	0.23887648	No	
row_21	SRP68	15516	-0.06276285648345947	0.14461888	No	
row_22	SEC63	18141	-0.4019133150577545	0.05554316	No	
row_23	IMMP2L	19330	-1.7385984659194946	0.038017005	No	
