NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR3	106	13.5348539352417	6.3269807E-4	No	
row_1	MYL9	199	8.747628211975098	0.001967996	No	
row_2	ITGB5	375	4.246506214141846	-8.621186E-4	No	
row_3	PPP1R12A	694	1.7618932723999023	-0.010868787	No	
row_4	BDKRB2	733	1.6242002248764038	-0.0068234615	No	
row_5	TIAM2	899	1.201959252357483	-0.0091517195	No	
row_6	PIK3R1	905	1.1902886629104614	-0.0034502666	No	
row_7	MYL5	1328	0.6055365800857544	-0.018676246	No	
row_8	PIP4K2C	1409	0.5323479771614075	-0.01673872	No	
row_9	NCKAP1	1452	0.4997917413711548	-0.012894138	No	
row_10	MYH10	1501	0.4688448905944824	-0.00935067	No	
row_11	IQGAP1	1553	0.44461995363235474	-0.005957759	No	
row_12	PIKFYVE	1805	0.3325550854206085	-0.012601986	No	
row_13	FGF12	1892	0.30214163661003113	-0.010965574	No	
row_14	CD14	2011	0.2684168219566345	-0.0109351035	No	
row_15	ARPC5	2158	0.2315518707036972	-0.012309833	No	
row_16	MYH9	2351	0.19844849407672882	-0.015993105	No	
row_17	RDX	2538	0.16530437767505646	-0.01937526	No	
row_18	ITGB7	2547	0.16350536048412323	-0.013824366	No	
row_19	PDGFRB	2594	0.15738922357559204	-0.010180526	No	
row_20	RAC1	2665	0.148753821849823	-0.0077411435	No	
row_21	SCIN	2918	0.12010142207145691	-0.014435556	No	
row_22	MYLK	3020	0.10972921550273895	-0.01355193	No	
row_23	FGD3	3309	0.08689337223768234	-0.022053028	No	
row_24	ARPC3	3490	0.07461553066968918	-0.02513407	No	
row_25	WASL	3722	0.06264196336269379	-0.030774582	No	
row_26	RRAS	3770	0.05971427261829376	-0.027180929	No	
row_27	ARAF	4088	0.04675493761897087	-0.03713741	No	
row_28	SLC9A1	4222	0.042043089866638184	-0.037859727	No	
row_29	DIAPH3	4223	0.041969213634729385	-0.031907346	No	
row_30	ACTN1	4662	0.029253464192152023	-0.047936294	No	
row_31	PPP1CC	4698	0.028355775400996208	-0.043740414	No	
row_32	ITGA1	4821	0.025402702391147614	-0.043910686	No	
row_33	FGF2	4939	0.02286388725042343	-0.04383003	No	
row_34	MYL12B	5222	0.018039563670754433	-0.052030016	No	
row_35	PIP4K2A	5307	0.01694045029580593	-0.05029323	No	
row_36	ACTN2	5321	0.016688132658600807	-0.044993263	No	
row_37	VAV3	5360	0.016200711950659752	-0.04094794	No	
row_38	CYFIP2	5466	0.014726259745657444	-0.040265057	No	
row_39	RAC2	5521	0.014052990823984146	-0.037022702	No	
row_40	ITGA11	5732	0.011204264126718044	-0.041609313	No	
row_41	RRAS2	5836	0.010282667353749275	-0.04082606	No	
row_42	PIK3CD	5877	0.009838816709816456	-0.036881108	No	
row_43	TMSB4XP8	5907	0.00960660818964243	-0.03238411	No	
row_44	SSH3	6025	0.008604898117482662	-0.032303456	No	
row_45	KRAS	6064	0.0083489790558815	-0.02825813	No	
row_46	ITGB3	6218	0.007239457685500383	-0.02998416	No	
row_47	ACTN4	6243	0.007097599096596241	-0.025236234	No	
row_48	GNA12	6383	0.006071547977626324	-0.026259664	No	
row_49	IQGAP3	6400	0.005947913974523544	-0.021110253	No	
row_50	EGF	6509	0.005276467185467482	-0.020577928	No	
row_51	ITGAV	6718	0.0040677739307284355	-0.02506417	No	
row_52	IQGAP2	7309	0.0018301529344171286	-0.048721343	No	
row_53	CRK	7534	0.0011680213501676917	-0.05401056	No	
row_54	ENAH	7692	8.485809667035937E-4	-0.05593733	No	
row_55	PIK3CA	7722	7.560415542684495E-4	-0.051440332	No	
row_56	BRAF	7790	6.247541750781238E-4	-0.048850395	No	
row_57	PFN1	7809	5.988726625218987E-4	-0.043801356	No	
row_58	ARHGEF6	7848	5.453437916003168E-4	-0.03975603	No	
row_59	FGF1	7866	5.206897621974349E-4	-0.034656808	No	
row_60	PDGFB	7874	5.143790040165186E-4	-0.029055724	No	
row_61	CFL1	7946	4.21794451540336E-4	-0.026666528	No	
row_62	TMSB4X	8104	2.6831586728803813E-4	-0.0285933	No	
row_63	ITGA2B	8158	2.2892009292263538E-4	-0.02530076	No	
row_64	CHRM3	8159	2.288747054990381E-4	-0.01934838	No	
row_65	PFN2	8212	1.775186974555254E-4	-0.016005654	No	
row_66	MYLK3	8282	1.2947827053721994E-4	-0.013516085	No	
row_67	PDGFD	8464	5.3358009608928114E-5	-0.016647313	No	
row_68	ARPC5L	8482	4.875438753515482E-5	-0.011548089	No	
row_69	LIMK2	8509	4.0059458115138113E-5	-0.006900536	No	
row_70	FGFR1	8511	3.8667392800562084E-5	-9.983408E-4	No	
row_71	DIAPH2	8658	1.642956362957193E-6	-0.0023730702	No	
row_72	ARPC2	8696	5.6274270576750496E-8	0.0017224404	No	
row_73	ITGAX	9147	0.0	-0.014908738	No	
row_74	MYH14	9873	-1.1830820767499972E-7	-0.04534098	No	
row_75	MAPK1	10352	-2.0732150005642325E-4	-0.06337736	No	
row_76	GNG12	10433	-2.933848591055721E-4	-0.061439835	No	
row_77	RHOA	10538	-3.8966728607192636E-4	-0.060706764	No	
row_78	ROCK1	10717	-5.880756070837379E-4	-0.06368744	No	
row_79	ITGB6	10927	-9.887542109936476E-4	-0.068223864	No	
row_80	NRAS	10991	-0.0011340748751536012	-0.06543318	No	
row_81	PAK2	11011	-0.001160693820565939	-0.060434327	No	
row_82	ARHGAP35	11171	-0.0014859377406537533	-0.06246147	No	
row_83	MRAS	11696	-0.0030756164342164993	-0.08280639	No	
row_84	ARPC1B	12200	-0.005410367157310247	-0.102097414	No	
row_85	ABI2	12278	-0.005918247625231743	-0.10000933	No	
row_86	MSN	12374	-0.006453817710280418	-0.09882459	No	
row_87	MYLK2	12405	-0.006643235217779875	-0.09437778	No	
row_88	FGFR2	12537	-0.007429870311170816	-0.09499972	No	
row_89	BCAR1	12766	-0.009029226377606392	-0.100489676	No	
row_90	PIK3CB	12921	-0.01028058584779501	-0.102265894	No	
row_91	PIP4K2B	13093	-0.01184327807277441	-0.104895264	No	
row_92	PPP1CB	13148	-0.012455202639102936	-0.10165291	No	
row_93	ITGA10	13198	-0.01292474940419197	-0.098159626	No	
row_94	PIP5K1A	13264	-0.013570775277912617	-0.09546932	No	
row_95	SSH1	13493	-0.01620515063405037	-0.10095927	No	
row_96	APC	13518	-0.016428418457508087	-0.096211344	No	
row_97	CHRM4	13644	-0.018108809366822243	-0.09653218	No	
row_98	PTK2	13686	-0.01880517788231373	-0.09263741	No	
row_99	DOCK1	13779	-0.020088955760002136	-0.09130211	No	
row_100	MAP2K2	14225	-0.02767973393201828	-0.10768236	Yes	
row_101	ARHGEF4	14228	-0.027740003541111946	-0.101830356	Yes	
row_102	MAP2K1	14256	-0.028309615328907967	-0.09723298	Yes	
row_103	ITGAM	14398	-0.03112855553627014	-0.09835678	Yes	
row_104	BDKRB1	14466	-0.032225351780653	-0.09576684	Yes	
row_105	ARHGEF7	14545	-0.03365049883723259	-0.09372895	Yes	
row_106	CSK	14739	-0.03820245340466499	-0.09746241	Yes	
row_107	PAK1	14908	-0.04236678406596184	-0.09994122	Yes	
row_108	ITGB4	15003	-0.04506142809987068	-0.09870629	Yes	
row_109	BAIAP2	15112	-0.048502422869205475	-0.09817397	Yes	
row_110	PDGFA	15190	-0.051145896315574646	-0.09608588	Yes	
row_111	SOS1	15288	-0.05413109436631203	-0.09500151	Yes	
row_112	ITGA2	15331	-0.055631015449762344	-0.09115693	Yes	
row_113	CFL2	15333	-0.0556991882622242	-0.085254736	Yes	
row_114	HRAS	15438	-0.05966896936297417	-0.084521666	Yes	
row_115	MYL12A	15676	-0.06970091164112091	-0.090463296	Yes	
row_116	PIP5K1C	15774	-0.07383016496896744	-0.08937892	Yes	
row_117	ITGA7	15887	-0.07907246053218842	-0.08904734	Yes	
row_118	WASF2	16068	-0.08802685141563416	-0.09212838	Yes	
row_119	PAK6	16071	-0.0881427675485611	-0.086276375	Yes	
row_120	PAK3	16087	-0.08904312551021576	-0.08107678	Yes	
row_121	ITGAE	16165	-0.09334475547075272	-0.07898869	Yes	
row_122	SOS2	16171	-0.09380212426185608	-0.07328724	Yes	
row_123	ITGA5	16393	-0.10941540449857712	-0.0784259	Yes	
row_124	MAPK3	16593	-0.1256481409072876	-0.08246047	Yes	
row_125	DIAPH1	16596	-0.1257982850074768	-0.076608464	Yes	
row_126	FN1	16711	-0.1363092064857483	-0.07637725	Yes	
row_127	EZR	16799	-0.14424102008342743	-0.07479102	Yes	
row_128	PAK4	17040	-0.1681891232728958	-0.080883205	Yes	
row_129	ARPC1A	17168	-0.1857239454984665	-0.08130441	Yes	
row_130	CRKL	17227	-0.19398127496242523	-0.0782628	Yes	
row_131	APC2	17262	-0.19883929193019867	-0.07401673	Yes	
row_132	ARPC4	17285	-0.20282623171806335	-0.06916843	Yes	
row_133	PXN	17294	-0.20478247106075287	-0.063617535	Yes	
row_134	VCL	17322	-0.2082574963569641	-0.05902017	Yes	
row_135	GNA13	17410	-0.2220999300479889	-0.057433944	Yes	
