NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHCR24	279	5.826009273529053	0.048604194	Yes	
row_1	MSMO1	436	3.471357583999634	0.103334494	Yes	
row_2	EBP	876	1.2329068183898926	0.14396977	Yes	
row_3	SQLE	1016	0.9788907170295715	0.19954677	Yes	
row_4	CYP51A1	1097	0.8537778854370117	0.2580623	Yes	
row_5	DHCR7	1107	0.8434847593307495	0.32011405	Yes	
row_6	FDFT1	1362	0.5745385885238647	0.3699634	Yes	
row_7	CEL	1862	0.3123225271701813	0.40761033	Yes	
row_8	LIPA	2014	0.2667635977268219	0.46258965	Yes	
row_9	LSS	2138	0.23682889342308044	0.5189635	Yes	
row_10	HSD17B7	2964	0.11575248092412949	0.5403738	Yes	
row_11	SC5D	3351	0.08371992409229279	0.5836488	Yes	
row_12	TM7SF2	3501	0.07399959117174149	0.6387277	Yes	
row_13	NSDHL	3626	0.06773226708173752	0.6950518	Yes	
row_14	SOAT1	13005	-0.011087046004831791	0.29047343	No	
row_15	CYP27B1	17883	-0.32197755575180054	0.11007075	No	
