NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2Q1	476	3.0803990364074707	-0.015901633	No	
row_1	UBA7	542	2.578444480895996	-0.011220333	No	
row_2	SKP2	812	1.3693996667861938	-0.01675538	No	
row_3	MID1	1101	0.848799467086792	-0.023241948	No	
row_4	CUL4B	1134	0.8192228674888611	-0.016908003	No	
row_5	UBE2N	1799	0.3344692587852478	-0.0422247	No	
row_6	MGRN1	2002	0.2708362936973572	-0.04440438	No	
row_7	ANAPC7	2064	0.25389111042022705	-0.03952276	No	
row_8	UBE2L6	2101	0.24526090919971466	-0.033389132	No	
row_9	UBE2K	2432	0.1818193644285202	-0.041979067	No	
row_10	SYVN1	2526	0.1662503033876419	-0.03870001	No	
row_11	PIAS3	2857	0.12694427371025085	-0.047289945	No	
row_12	UBE2J1	2861	0.12602466344833374	-0.03950368	No	
row_13	CBLB	3057	0.10718370974063873	-0.041332796	No	
row_14	PML	3335	0.08442068845033646	-0.047268484	No	
row_15	TRIM37	3579	0.06996063888072968	-0.051501445	No	
row_16	ANAPC4	3670	0.06507473438978195	-0.048072148	No	
row_17	DET1	3942	0.051848992705345154	-0.053707354	No	
row_18	HERC2	3975	0.05079782381653786	-0.04737341	No	
row_19	MAP3K1	4145	0.0448695570230484	-0.047900442	No	
row_20	KEAP1	4568	0.0319487638771534	-0.06109775	No	
row_21	WWP2	4838	0.025026604533195496	-0.06663279	No	
row_22	ERCC8	4841	0.024901162832975388	-0.058796447	No	
row_23	HUWE1	4965	0.022269878536462784	-0.057019796	No	
row_24	TRIM32	5094	0.02019394375383854	-0.055493545	No	
row_25	FBXO4	5152	0.01907907985150814	-0.0504116	No	
row_26	ANAPC1	5191	0.018466608598828316	-0.04437814	No	
row_27	SIAH1	5545	0.01362161710858345	-0.054119915	No	
row_28	NHLRC1	5638	0.01233595795929432	-0.05079078	No	
row_29	CUL2	5826	0.010367081500589848	-0.052219257	No	
row_30	UBE3A	5988	0.008944123983383179	-0.05234565	No	
row_31	SKP1	6029	0.008595041930675507	-0.046412345	No	
row_32	UBE2W	6194	0.007433841470628977	-0.046688978	No	
row_33	UBA1	6687	0.004213984124362469	-0.063391894	No	
row_34	STUB1	6877	0.0033548122737556696	-0.06492053	No	
row_35	UBE2A	7021	0.0027188556268811226	-0.064145476	No	
row_36	MDM2	7208	0.0021300408989191055	-0.06552387	No	
row_37	ANAPC2	7214	0.0021135483402758837	-0.057837766	No	
row_38	PIAS2	7383	0.0015800284454599023	-0.05831472	No	
row_39	UBE3C	7610	9.993514977395535E-4	-0.06169632	No	
row_40	PRPF19	7783	6.421090802177787E-4	-0.062373593	No	
row_41	UBE2Z	7882	4.985255654901266E-4	-0.059344936	No	
row_42	XIAP	7920	4.510151920840144E-4	-0.053261396	No	
row_43	BRCA1	8543	2.8186021154397167E-5	-0.076474726	No	
row_44	ITCH	8659	1.5296687934096553E-6	-0.074297436	No	
row_45	CUL3	10047	-4.271407669875771E-5	-0.13582206	No	
row_46	ANAPC5	10052	-4.382142287795432E-5	-0.12808588	No	
row_47	DDB1	10181	-9.427975601283833E-5	-0.12655963	No	
row_48	ANAPC10	10222	-1.1824515968328342E-4	-0.12062632	No	
row_49	UBE2M	10453	-3.1639941153116524E-4	-0.12420824	No	
row_50	UBA3	10462	-3.2636450487188995E-4	-0.116672374	No	
row_51	CBLC	10467	-3.277208306826651E-4	-0.10893618	No	
row_52	UBE2B	10769	-6.68820459395647E-4	-0.116073795	No	
row_53	RBX1	10922	-9.765771683305502E-4	-0.11574947	No	
row_54	UBE2D1	11148	-0.0014404169050976634	-0.11908099	No	
row_55	UBE2S	11149	-0.0014414078323170543	-0.11114448	No	
row_56	UBE2R2	11292	-0.0017996666720137	-0.110319346	No	
row_57	CDC23	12238	-0.005688820965588093	-0.14970857	No	
row_58	WWP1	12421	-0.00673300214111805	-0.15088664	No	
row_59	CDC26	12614	-0.007934086956083775	-0.15256551	Yes	
row_60	KLHL9	12629	-0.00799276027828455	-0.14533013	Yes	
row_61	SOCS1	12797	-0.009308393113315105	-0.145757	Yes	
row_62	SAE1	12835	-0.009577025659382343	-0.13967346	Yes	
row_63	UBE2J2	12863	-0.009843923151493073	-0.13308911	Yes	
row_64	DDB2	12940	-0.010514674708247185	-0.12895869	Yes	
row_65	UBE2C	12970	-0.010752886533737183	-0.12247451	Yes	
row_66	UBE2L3	13074	-0.011696544475853443	-0.11969625	Yes	
row_67	RHOBTB2	13298	-0.013899396173655987	-0.12292761	Yes	
row_68	PPIL2	13399	-0.0150975426658988	-0.11999912	Yes	
row_69	PIAS4	13514	-0.016384361311793327	-0.117771745	Yes	
row_70	UBE4A	13545	-0.01677265763282776	-0.11133764	Yes	
row_71	UBE2I	13588	-0.017405424267053604	-0.1055045	Yes	
row_72	FBXW8	13754	-0.01973542757332325	-0.10583121	Yes	
row_73	BIRC6	13942	-0.022466599941253662	-0.10725968	Yes	
row_74	BTRC	14082	-0.024511724710464478	-0.10628431	Yes	
row_75	RCHY1	14156	-0.02610168047249317	-0.10200366	Yes	
row_76	ANAPC11	14217	-0.027545051649212837	-0.09707195	Yes	
row_77	CUL7	14520	-0.03307748958468437	-0.10425965	Yes	
row_78	UBE2O	14578	-0.03451693803071976	-0.0991777	Yes	
row_79	CDC34	14734	-0.0381004735827446	-0.09900362	Yes	
row_80	UBE3B	14875	-0.0415598563849926	-0.098078325	Yes	
row_81	TRIP12	14882	-0.041673216968774796	-0.0904423	Yes	
row_82	SOCS3	14928	-0.0430489256978035	-0.0847594	Yes	
row_83	UBR5	14933	-0.043110985308885574	-0.07702321	Yes	
row_84	UBE2D4	15016	-0.045321304351091385	-0.07319327	Yes	
row_85	HERC4	15157	-0.04998886585235596	-0.07226798	Yes	
row_86	CUL1	15175	-0.050779860466718674	-0.065182835	Yes	
row_87	UBE2D2	15192	-0.05123244971036911	-0.058047608	Yes	
row_88	UBA2	15240	-0.05253081023693085	-0.052464865	Yes	
row_89	UBE2D3	15566	-0.06498995423316956	-0.0608044	Yes	
row_90	UBE2H	15609	-0.06632115691900253	-0.054971255	Yes	
row_91	CUL5	15657	-0.06868751347064972	-0.049388513	Yes	
row_92	UBE2E2	15668	-0.06937946379184723	-0.041952807	Yes	
row_93	RNF7	15908	-0.07994997501373291	-0.04598545	Yes	
row_94	CDC16	16159	-0.09303423017263412	-0.05056897	Yes	
row_95	FBXW7	16172	-0.0940350592136383	-0.043233424	Yes	
row_96	UBE2Q2	16463	-0.1143500879406929	-0.049820155	Yes	
row_97	TRAF6	16475	-0.11582797765731812	-0.04243453	Yes	
row_98	CDC27	16477	-0.11586423218250275	-0.0345481	Yes	
row_99	ANAPC13	16534	-0.12034886330366135	-0.029416079	Yes	
row_100	UBOX5	17071	-0.1722894012928009	-0.048322517	Yes	
row_101	UBE2E1	17215	-0.19199524819850922	-0.04754747	Yes	
row_102	HERC1	17237	-0.19526201486587524	-0.040662643	Yes	
row_103	CUL4A	17261	-0.19877104461193085	-0.033877976	Yes	
row_104	UBA6	17344	-0.21167893707752228	-0.03004804	Yes	
row_105	BIRC3	17430	-0.22566871345043182	-0.026368342	Yes	
row_106	HERC3	17484	-0.2350369244813919	-0.021086082	Yes	
row_107	FBXW11	17797	-0.3030315637588501	-0.028774573	Yes	
row_108	UBE2G2	17987	-0.3494091033935547	-0.030303208	Yes	
row_109	UBE2F	18038	-0.366362988948822	-0.024870707	Yes	
row_110	CDC20	18092	-0.3840717077255249	-0.019588444	Yes	
row_111	FZR1	18096	-0.38478782773017883	-0.011802177	Yes	
