userId	geneSymbol	geneName	entrezgene	gLink
A4GALT	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)	53947	https://www.ncbi.nlm.nih.gov/gene/?term=53947
AADAT	AADAT	aminoadipate aminotransferase	51166	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AASS	AASS	aminoadipate-semialdehyde synthase	10157	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATK	AATK	apoptosis associated tyrosine kinase	9625	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABALON	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	103021294	https://www.ncbi.nlm.nih.gov/gene/?term=103021294
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA12	ABCA12	ATP binding cassette subfamily A member 12	26154	https://www.ncbi.nlm.nih.gov/gene/?term=26154
ABCA4	ABCA4	ATP binding cassette subfamily A member 4	24	https://www.ncbi.nlm.nih.gov/gene/?term=24
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC2	ABCC2	ATP binding cassette subfamily C member 2	1244	https://www.ncbi.nlm.nih.gov/gene/?term=1244
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCD1	ABCD1	ATP binding cassette subfamily D member 1	215	https://www.ncbi.nlm.nih.gov/gene/?term=215
ABCF1	ABCF1	ATP binding cassette subfamily F member 1	23	https://www.ncbi.nlm.nih.gov/gene/?term=23
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABHD14B	ABHD14B	abhydrolase domain containing 14B	84836	https://www.ncbi.nlm.nih.gov/gene/?term=84836
ABHD17C	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	58489	https://www.ncbi.nlm.nih.gov/gene/?term=58489
ABHD3	ABHD3	abhydrolase domain containing 3, phospholipase	171586	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	63874	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD6	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	57406	https://www.ncbi.nlm.nih.gov/gene/?term=57406
