NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAMTS5	319	20.46046257019043	-0.0075392765	No	
row_1	MYL9	341	18.416215896606445	-0.0026974825	No	
row_2	MYH10	358	17.512006759643555	0.0023520477	No	
row_3	CD34	435	14.202433586120605	0.004908745	No	
row_4	CLDN11	505	11.964163780212402	0.007756273	No	
row_5	SLIT2	526	11.267511367797852	0.012639614	No	
row_6	DLG1	624	8.713294982910156	0.014323819	No	
row_7	MVD	727	7.194340705871582	0.01580029	No	
row_8	INSIG1	779	6.488633155822754	0.019395666	No	
row_9	PBX2	804	6.211153984069824	0.024112819	No	
row_10	MPZL1	843	5.808317184448242	0.02824831	No	
row_11	PARVA	897	5.367715835571289	0.031760592	No	
row_12	INPPL1	932	5.005159854888916	0.036062274	No	
row_13	TSPAN4	1076	3.971111297607422	0.035835307	No	
row_14	ICAM1	1086	3.881544589996338	0.041175667	No	
row_15	RRAS	1356	2.5679972171783447	0.03571375	No	
row_16	CDH8	1390	2.4753634929656982	0.04005698	No	
row_17	ACTN1	1586	1.9450304508209229	0.037669558	No	
row_18	AKT3	1633	1.8336325883865356	0.041472673	No	
row_19	TNFRSF11B	1784	1.522025227546692	0.040954877	No	
row_20	TSC1	1902	1.3463342189788818	0.041808136	No	
row_21	IKBKG	1957	1.2702324390411377	0.045278873	No	
row_22	FLNC	2480	0.7704944014549255	0.02930551	No	
row_23	NECTIN2	2493	0.7658534646034241	0.03452123	No	
row_24	AMIGO1	2543	0.7370888590812683	0.0381997	No	
row_25	TRAF1	2668	0.6573082208633423	0.038762134	No	
row_26	LIMA1	2939	0.5300604104995728	0.03325867	No	
row_27	DHX16	3266	0.4028559923171997	0.025428563	No	
row_28	MYH9	3547	0.32591336965560913	0.019509628	No	
row_29	ACTN2	3551	0.3249155879020691	0.025099272	No	
row_30	PFN1	3569	0.31986016035079956	0.030107254	No	
row_31	MAPK14	3782	0.2733078896999359	0.027013531	No	
row_32	ACTN4	3796	0.2707739472389221	0.032187704	No	
row_33	NECTIN3	4141	0.2077222466468811	0.023609746	No	
row_34	GTF2F1	4212	0.1976657509803772	0.026415726	No	
row_35	CDH6	4346	0.18186084926128387	0.026604231	No	
row_36	CDK8	4518	0.15929529070854187	0.025213944	No	
row_37	MYL12B	4620	0.1484242081642151	0.02673196	No	
row_38	THBS3	4722	0.13750538229942322	0.028249977	No	
row_39	GNAI2	4725	0.13731198012828827	0.03388117	No	
row_40	BMP1	5073	0.10808973014354706	0.02517857	No	
row_41	PKD1	5127	0.10349401831626892	0.028690852	No	
row_42	ARHGEF6	5435	0.0828806608915329	0.021650143	No	
row_43	MDK	5493	0.08009108155965805	0.024996238	No	
row_44	SKAP2	5512	0.0790746808052063	0.029962672	No	
row_45	ADAM23	6178	0.04690480977296829	0.008048059	No	
row_46	SYMPK	6331	0.041931476444005966	0.0074471678	No	
row_47	ICAM2	6442	0.03795851767063141	0.00859126	No	
row_48	CALB2	6711	0.030302895233035088	0.0031708912	No	
row_49	LDLRAP1	7004	0.02270662412047386	-0.0032466103	No	
row_50	PLCG1	7022	0.022374117746949196	0.0017613727	No	
row_51	AMH	7095	0.020821193233132362	0.0044842586	No	
row_52	RSU1	7247	0.01784205064177513	0.0039249146	No	
row_53	TMEM8B	7269	0.017526309937238693	0.008766709	No	
row_54	COL16A1	7468	0.014015921391546726	0.0062546455	No	
row_55	FBN1	7491	0.013580708764493465	0.011054892	No	
row_56	VWF	7541	0.01285618357360363	0.014733364	No	
