NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	8	455.0411071777344	0.0056201	Yes	
row_1	LAP3	11	350.77203369140625	0.011489411	Yes	
row_2	DGKG	56	111.78446960449219	0.015614246	Yes	
row_3	ME1	73	86.7635269165039	0.020902064	Yes	
row_4	PLSCR1	74	86.21446990966797	0.026854446	Yes	
row_5	CCL5	76	84.3391342163086	0.03276529	Yes	
row_6	RNF4	127	50.129207611083984	0.036640916	Yes	
row_7	C4BPB	206	30.00404167175293	0.039353557	Yes	
row_8	IL6	234	27.40949821472168	0.044184487	Yes	
row_9	PSMB9	283	23.027986526489258	0.048143182	Yes	
row_10	C1R	287	22.869909286499023	0.05397096	Yes	
row_11	CFB	325	19.966955184936523	0.05838654	Yes	
row_12	IRF7	392	15.987170219421387	0.0615976	Yes	
row_13	F8	436	14.192390441894531	0.06576397	Yes	
row_14	CASP3	499	12.18275260925293	0.06914117	Yes	
row_15	RASGRP1	525	11.33709716796875	0.07405518	Yes	
row_16	OLR1	651	8.268523216247559	0.07481567	Yes	
row_17	IRF2	693	7.593111038208008	0.07906511	Yes	
row_18	RHOG	747	6.864329814910889	0.082816124	Yes	
row_19	ANXA5	868	5.589965343475342	0.08378429	Yes	
row_20	CP	1018	4.348390579223633	0.083547935	Yes	
row_21	CEBPB	1057	4.080379962921143	0.08792198	Yes	
row_22	PPP2CB	1194	3.3105926513671875	0.08822558	Yes	
row_23	BRPF3	1225	3.1650454998016357	0.09293191	Yes	
row_24	DPP4	1321	2.692303419113159	0.09493845	Yes	
row_25	HSPA5	1360	2.557912826538086	0.0993125	Yes	
row_26	EHD1	1464	2.2433173656463623	0.10098676	Yes	
row_27	VCPIP1	1523	2.10312557220459	0.1045301	Yes	
row_28	CASP1	1561	1.9906193017959595	0.10894568	Yes	
row_29	CASP10	1606	1.901507019996643	0.11307052	Yes	
row_30	USP14	1647	1.801025390625	0.11736149	Yes	
row_31	CD55	1683	1.713732123374939	0.12186015	Yes	
row_32	IRF1	1715	1.6632695198059082	0.12652494	Yes	
row_33	LGMN	1770	1.539061427116394	0.13023442	Yes	
row_34	USP15	1788	1.5174474716186523	0.1354807	Yes	
row_35	C2	1908	1.338287591934204	0.1364904	Yes	
row_36	CBLB	2185	1.0218617916107178	0.13097909	Yes	
row_37	USP8	2357	0.8644324541091919	0.12982896	Yes	
row_38	GNB4	2403	0.8253546357154846	0.13391227	Yes	
row_39	CPM	2474	0.7750893831253052	0.13695718	Yes	
row_40	APOBEC3G	2624	0.6806248426437378	0.13672082	Yes	
row_41	AKAP10	2721	0.6297802329063416	0.13868584	Yes	
row_42	CTSO	2883	0.5561805367469788	0.13795106	Yes	
row_43	L3MBTL4	2888	0.5542953610420227	0.1437373	Yes	
row_44	LAMP2	2933	0.5328519940376282	0.14786214	Yes	
row_45	S100A13	2987	0.509114146232605	0.15161315	Yes	
row_46	TFPI2	2998	0.5042510628700256	0.15715018	Yes	
row_47	PSEN1	3156	0.43657413125038147	0.15658155	Yes	
row_48	CTSL	3197	0.4226788282394409	0.16087252	Yes	
row_49	NOTCH4	3345	0.37655407190322876	0.16071923	Yes	
row_50	CPQ	3422	0.352347731590271	0.16351494	Yes	
row_51	TIMP2	3478	0.33983004093170166	0.1671829	Yes	
row_52	ACTN2	3551	0.3249155879020691	0.17014475	Yes	
row_53	PFN1	3569	0.31986016035079956	0.17539103	Yes	
