NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL6ST	106	62.02170181274414	0.0010590111	No	
row_1	PDZK1	226	27.786258697509766	0.0015777288	No	
row_2	PRLR	350	17.87359619140625	0.0019302024	No	
row_3	ASS1	450	13.606830596923828	0.0032801407	No	
row_4	MICB	586	9.60695743560791	0.0031338818	No	
row_5	ELOVL5	599	9.318659782409668	0.0080996305	No	
row_6	PAPSS2	666	8.082406044006348	0.010821083	No	
row_7	DHCR7	794	6.358775615692139	0.011007312	No	
row_8	SCARB1	827	5.983222484588623	0.01514184	No	
row_9	PTGER3	835	5.899083137512207	0.020315394	No	
row_10	TNNC1	850	5.7264909744262695	0.02519802	No	
row_11	AFF1	856	5.702432632446289	0.030454695	No	
row_12	BATF	887	5.449918746948242	0.034672346	No	
row_13	DNAJC12	900	5.350767612457275	0.039638095	No	
row_14	MEST	921	5.095247268676758	0.044271354	No	
row_15	DNAJC1	1046	4.138872146606445	0.044582266	No	
row_16	CALCR	1089	3.857856035232544	0.048301183	No	
row_17	XRCC3	1115	3.767864465713501	0.052726638	No	
row_18	SEMA3B	1230	3.1461312770843506	0.053453162	No	
row_19	GLA	1247	3.0542423725128174	0.058252666	No	
row_20	PDLIM3	1280	2.903120994567871	0.06238719	No	
row_21	MAPT	1371	2.535619020462036	0.06411118	No	
row_22	BCL2	1506	2.146711587905884	0.064006485	No	
row_23	SLC2A8	1596	1.9196642637252808	0.065772034	No	
row_24	ISG20	1612	1.8895100355148315	0.07061309	No	
row_25	NPY1R	1638	1.8201805353164673	0.07503855	No	
row_26	ITPK1	2023	1.1967813968658447	0.0645436	No	
row_27	CYP26B1	2515	0.7528032660484314	0.049601607	No	
row_28	SGK1	2560	0.7259288430213928	0.053237405	No	
row_29	FDFT1	2565	0.7242034077644348	0.05853564	No	
row_30	NMU	2567	0.7236559987068176	0.06395856	No	
row_31	TFPI2	2998	0.5042510628700256	0.051551796	No	
row_32	CDC6	3268	0.4021613299846649	0.04583636	No	
row_33	ADD3	3318	0.3851507902145386	0.04926435	No	
row_34	FKBP4	3467	0.34273478388786316	0.048577797	No	
row_35	BLVRB	3789	0.2719905972480774	0.040701184	No	
row_36	RABEP1	3812	0.26747605204582214	0.045251325	No	
row_37	ATP2B4	3892	0.2518647015094757	0.047432482	No	
row_38	CHPT1	4204	0.19883206486701965	0.039971482	No	
row_39	SLC1A4	4423	0.1712569147348404	0.036375657	No	
row_40	CPE	4495	0.16182637214660645	0.038889304	No	
row_41	FLNB	4570	0.15330997109413147	0.04127827	No	
row_42	ALDH3A2	4580	0.15244394540786743	0.0463687	No	
row_43	XBP1	4623	0.14824391901493073	0.050087616	No	
row_44	BAG1	5023	0.1122945100069046	0.038969245	No	
row_45	SLC29A1	5240	0.09586361795663834	0.035456542	No	
row_46	JAK2	5448	0.08239737153053284	0.032317888	No	
row_47	MDK	5493	0.08009108155965805	0.035953686	No	
row_48	DUSP2	5579	0.0746726244688034	0.037885476	No	
row_49	ALDH3B1	5672	0.0699007511138916	0.039526343	No	
row_50	CCND1	5800	0.06380611658096313	0.03971257	No	
row_51	HPRT1	5871	0.05993328243494034	0.04226778	No	
row_52	ABCA3	5938	0.0572342649102211	0.044989232	No	
row_53	PRSS23	6505	0.0358143076300621	0.026930168	No	
row_54	DYNLT3	6615	0.03278106823563576	0.027864497	No	
row_55	TPD52L1	6820	0.027036739513278008	0.024850527	No	
row_56	SIAH2	7023	0.022359099239110947	0.021919679	No	
row_57	UNC13B	7050	0.02161560021340847	0.026303573	No	
row_58	PTGES	7254	0.017719479277729988	0.023331163	No	
row_59	PPIF	8039	0.007326317485421896	-0.0037882067	No	
row_60	NAB2	8040	0.007304780185222626	0.0016762739	No	
row_61	TST	8392	0.004326262976974249	-0.007447168	No	
row_62	RBBP8	9083	9.86861065030098E-4	-0.0306598	No	
row_63	GINS2	9368	3.238954523112625E-4	-0.036998656	No	
row_64	WFS1	10314	-3.557049012670177E-6	-0.07080935	No	
row_65	SLC27A2	10697	-3.123497881460935E-4	-0.081221186	No	
row_66	RET	11075	-0.0012388501781970263	-0.09142521	No	
row_67	METTL3	11501	-0.003167869755998254	-0.10362417	No	
row_68	DCXR	11679	-0.004122418817132711	-0.105515994	No	
row_69	FGFR3	11818	-0.0050707473419606686	-0.105786934	No	
row_70	CACNA2D2	12233	-0.00854803342372179	-0.11752872	No	
row_71	COX6C	12432	-0.010408134199678898	-0.12029333	No	
row_72	PLAC1	12602	-0.012346521019935608	-0.12185266	No	
row_73	PLK4	12736	-0.013844842091202736	-0.121915795	No	
row_74	TPBG	12795	-0.014461357146501541	-0.118861854	No	
row_75	KIF20A	12853	-0.01512947492301464	-0.115766354	No	
row_76	SORD	12930	-0.01616176776587963	-0.11346051	No	
row_77	OPN3	13257	-0.02084345370531082	-0.12154493	No	
