NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	8	455.0411071777344	0.010195039	Yes	
row_1	LAP3	11	350.77203369140625	0.020638537	Yes	
row_2	IFIT3	13	335.7000427246094	0.031123443	Yes	
row_3	PARP14	15	293.55126953125	0.04160835	Yes	
row_4	IFI27	17	288.9477233886719	0.052093256	Yes	
row_5	DDX60	22	260.18218994140625	0.062453933	Yes	
row_6	OAS1	39	159.88308715820312	0.0723177	Yes	
row_7	CMPK2	43	141.69143676757812	0.08271979	Yes	
row_8	MX1	44	140.7478790283203	0.0932461	Yes	
row_9	IFITM3	47	135.8903350830078	0.103689596	Yes	
row_10	ISG15	51	120.08301544189453	0.11409169	Yes	
row_11	TAP1	57	106.19158172607422	0.12441096	Yes	
row_12	USP18	59	99.62642669677734	0.13489586	Yes	
row_13	HERC6	60	98.80573272705078	0.14542218	Yes	
row_14	PLSCR1	74	86.21446990966797	0.15541017	Yes	
row_15	SAMD9L	87	77.4793930053711	0.16543958	Yes	
row_16	RSAD2	89	76.27420043945312	0.17592448	Yes	
row_17	IFI44	93	71.00247192382812	0.18632656	Yes	
row_18	TRIM5	117	55.44557189941406	0.19590046	Yes	
row_19	STAT2	119	54.301971435546875	0.20638537	Yes	
row_20	UBE2L6	124	51.37298583984375	0.21674605	Yes	
row_21	IFI44L	131	49.1170768737793	0.2270239	Yes	
row_22	PARP9	138	46.50444412231445	0.23730177	Yes	
row_23	OASL	140	46.112403869628906	0.24778667	Yes	
row_24	HLA-C	144	45.07378005981445	0.25818875	Yes	
row_25	TMEM140	162	38.9311408996582	0.26801112	Yes	
row_26	IFIH1	163	38.74009704589844	0.27853742	Yes	
row_27	IFI35	180	34.371829986572266	0.2884012	Yes	
row_28	PSMB8	184	33.730552673339844	0.29880327	Yes	
row_29	PSME1	193	32.29948425292969	0.30899832	Yes	
row_30	B2M	195	31.98060417175293	0.31948322	Yes	
row_31	TDRD7	240	26.822383880615234	0.32818753	Yes	
row_32	HELZ2	242	26.75599479675293	0.33867243	Yes	
row_33	TRIM21	247	26.518877029418945	0.3490331	Yes	
row_34	EPSTI1	282	23.197021484375	0.3581515	Yes	
row_35	PSMB9	283	23.027986526489258	0.3686778	Yes	
row_36	TRIM14	293	22.603384017944336	0.37883145	Yes	
row_37	GBP4	297	22.083812713623047	0.38923353	Yes	
row_38	DHX58	304	21.190887451171875	0.3995114	Yes	
row_39	UBA7	323	20.178424835205078	0.40929234	Yes	
row_40	PARP12	348	17.99333953857422	0.41882482	Yes	
row_41	IFITM1	354	17.61536979675293	0.42914408	Yes	
row_42	ADAR	362	17.26746940612793	0.43938053	Yes	
row_43	NMI	365	17.167587280273438	0.44982404	Yes	
row_44	TRIM25	385	16.421676635742188	0.45956355	Yes	
row_45	LY6E	387	16.277294158935547	0.47004846	Yes	
row_46	IRF7	392	15.987170219421387	0.48040915	Yes	
row_47	LGALS3BP	408	15.361663818359375	0.49031433	Yes	
row_48	EIF2AK2	425	14.546924591064453	0.5001781	Yes	
row_49	CASP8	438	14.013992309570312	0.5102075	Yes	
row_50	SP110	461	13.389058113098145	0.5198228	Yes	
row_51	LAMP3	558	10.32949161529541	0.5263738	Yes	
row_52	PNPT1	597	9.395659446716309	0.53532654	Yes	
row_53	RTP4	621	8.735931396484375	0.5449004	Yes	
row_54	CD47	653	8.218254089355469	0.5541431	Yes	
row_55	IL7	655	8.21147632598877	0.56462795	Yes	
row_56	GMPR	656	8.185637474060059	0.5751543	Yes	
row_57	IRF2	693	7.593111038208008	0.58418983	Yes	
row_58	IFIT2	778	6.489109039306641	0.5912378	Yes	
row_59	NUB1	784	6.431825160980225	0.601557	Yes	
row_60	SLC25A28	795	6.3368048667907715	0.61166924	Yes	
row_61	CMTR1	803	6.219902038574219	0.6219057	Yes	
row_62	BST2	808	6.193950653076172	0.6322664	Yes	
row_63	IRF9	810	6.188972473144531	0.6427513	Yes	
row_64	PSME2	878	5.5076422691345215	0.65050316	Yes	
row_65	BATF2	913	5.167605876922607	0.65962154	Yes	
row_66	GBP2	962	4.7062907218933105	0.6681602	Yes	
row_67	TRAFD1	1040	4.188349723815918	0.675498	Yes	
row_68	CXCL10	1096	3.8245530128479004	0.68374676	Yes	
row_69	CD74	1296	2.8174304962158203	0.6860326	Yes	
row_70	CASP1	1561	1.9906193017959595	0.68562675	Yes	
row_71	ISG20	1612	1.8895100355148315	0.6940826	Yes	
row_72	IRF1	1715	1.6632695198059082	0.70038515	Yes	
row_73	TRIM26	1729	1.6373101472854614	0.71037316	Yes	
row_74	CSF1	1924	1.3093652725219727	0.712866	Yes	
row_75	ELF1	1979	1.2469676733016968	0.7211562	Yes	
row_76	NCOA7	2020	1.1982792615890503	0.7300261	Yes	
row_77	OGFR	2177	1.0322195291519165	0.73409253	Yes	
row_78	SAMD9	2428	0.8066330552101135	0.73426646	Yes	
row_79	CNP	2908	0.5452821254730225	0.7249576	No	
row_80	LPAR6	3375	0.36667174100875854	0.71618706	No	
row_81	IL15	3743	0.28153759241104126	0.711516	No	
row_82	CXCL11	4235	0.19565559923648834	0.7017103	No	
row_83	MOV10	4306	0.1868661642074585	0.7093379	No	
row_84	CCRL2	4407	0.17304883897304535	0.7157233	No	
row_85	RIPK2	4822	0.1283060759305954	0.709106	No	
row_86	RNF31	5279	0.09313181042671204	0.7007496	No	
row_87	IFITM2	5649	0.07101593166589737	0.69599575	No	
row_88	IFI30	5926	0.05768495425581932	0.69509304	No	
row_89	PSMA3	5979	0.054944805800914764	0.70346606	No	
row_90	SELL	16490	-0.13285362720489502	0.27877766	No	
row_91	MVB12A	20162	-0.7203006148338318	0.13728939	No	
row_92	PROCR	21122	-1.2075071334838867	0.108103916	No	
row_93	TXNIP	21674	-1.7192437648773193	0.09581356	No	
row_94	IL4R	22639	-3.9997875690460205	0.06642103	No	
