NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OAS3	3	582.2879638671875	0.005430888	Yes	
row_1	C1S	8	455.0411071777344	0.01082022	Yes	
row_2	OAS2	10	405.21441650390625	0.01633422	Yes	
row_3	LAP3	11	350.77203369140625	0.021889776	Yes	
row_4	HLA-B	12	336.7735900878906	0.027445331	Yes	
row_5	IFIT3	13	335.7000427246094	0.033000886	Yes	
row_6	PARP14	15	293.55126953125	0.038514886	Yes	
row_7	IFI27	17	288.9477233886719	0.044028886	Yes	
row_8	STAT1	21	272.05792236328125	0.049459774	Yes	
row_9	DDX60	22	260.18218994140625	0.05501533	Yes	
row_10	CMPK2	43	141.69143676757812	0.05973977	Yes	
row_11	MX1	44	140.7478790283203	0.065295324	Yes	
row_12	IFITM3	47	135.8903350830078	0.07076777	Yes	
row_13	ISG15	51	120.08301544189453	0.07619866	Yes	
row_14	TAP1	57	106.19158172607422	0.08154643	Yes	
row_15	USP18	59	99.62642669677734	0.08706044	Yes	
row_16	HERC6	60	98.80573272705078	0.09261599	Yes	
row_17	ZNFX1	67	92.41740417480469	0.09792221	Yes	
row_18	PLSCR1	74	86.21446990966797	0.10322843	Yes	
row_19	CCL5	76	84.3391342163086	0.10874243	Yes	
row_20	SAMD9L	87	77.4793930053711	0.11388243	Yes	
row_21	RSAD2	89	76.27420043945312	0.119396426	Yes	
row_22	IFI44	93	71.00247192382812	0.12482732	Yes	
row_23	XAF1	95	68.47621154785156	0.13034132	Yes	
row_24	RNF213	107	60.75527572631836	0.13543975	Yes	
row_25	SAMHD1	113	57.20167541503906	0.14078753	Yes	
row_26	STAT2	119	54.301971435546875	0.14613532	Yes	
row_27	UBE2L6	124	51.37298583984375	0.15152465	Yes	
row_28	IFI44L	131	49.1170768737793	0.15683086	Yes	
row_29	FPR1	133	48.856197357177734	0.16234486	Yes	
row_30	OASL	140	46.112403869628906	0.16765109	Yes	
row_31	HLA-A	157	39.745426177978516	0.17254175	Yes	
row_32	IFIH1	163	38.74009704589844	0.17788953	Yes	
row_33	IFI35	180	34.371829986572266	0.18278018	Yes	
row_34	PSMB8	184	33.730552673339844	0.18821107	Yes	
row_35	IFIT1	185	33.47331237792969	0.19376662	Yes	
row_36	PSME1	193	32.29948425292969	0.1990313	Yes	
row_37	TNFAIP6	194	32.09236526489258	0.20458685	Yes	
row_38	B2M	195	31.98060417175293	0.2101424	Yes	
row_39	IDO1	204	30.262956619262695	0.21536551	Yes	
row_40	IL6	234	27.40949821472168	0.21971595	Yes	
row_41	TDRD7	240	26.822383880615234	0.22506373	Yes	
row_42	HELZ2	242	26.75599479675293	0.23057772	Yes	
row_43	TRIM21	247	26.518877029418945	0.23596705	Yes	
row_44	EPSTI1	282	23.197021484375	0.24010971	Yes	
row_45	PSMB9	283	23.027986526489258	0.24566527	Yes	
row_46	C1R	287	22.869909286499023	0.25109616	Yes	
row_47	SECTM1	291	22.784719467163086	0.25652704	Yes	
row_48	TRIM14	293	22.603384017944336	0.26204103	Yes	
row_49	GBP4	297	22.083812713623047	0.26747194	Yes	
row_50	DHX58	304	21.190887451171875	0.27277815	Yes	
row_51	CFB	325	19.966955184936523	0.2775026	Yes	
row_52	PARP12	348	17.99333953857422	0.28214392	Yes	
row_53	ADAR	362	17.26746940612793	0.28715926	Yes	
row_54	NMI	365	17.167587280273438	0.2926317	Yes	
row_55	APOL6	376	16.680809020996094	0.2977717	Yes	
row_56	TRIM25	385	16.421676635742188	0.3029948	Yes	
row_57	LY6E	387	16.277294158935547	0.3085088	Yes	
row_58	IRF7	392	15.987170219421387	0.31389815	Yes	
row_59	MX2	393	15.98357105255127	0.3194537	Yes	
row_60	LGALS3BP	408	15.361663818359375	0.32442746	Yes	
row_61	EIF2AK2	425	14.546924591064453	0.32931814	Yes	
row_62	CASP8	438	14.013992309570312	0.33437502	Yes	
row_63	SP110	461	13.389058113098145	0.33901635	Yes	
row_64	NLRC5	463	13.369426727294922	0.34453034	Yes	
row_65	CASP3	499	12.18275260925293	0.34863144	Yes	
row_66	PNPT1	597	9.395659446716309	0.35015607	Yes	
row_67	RTP4	621	8.735931396484375	0.35475585	Yes	
row_68	TAPBP	643	8.4173002243042	0.35943872	Yes	
row_69	IL7	655	8.21147632598877	0.36453718	Yes	
row_70	IRF2	693	7.593111038208008	0.36855516	Yes	
row_71	IFIT2	778	6.489109039306641	0.37062	Yes	
row_72	IL15RA	790	6.386318683624268	0.37571847	Yes	
row_73	SLC25A28	795	6.3368048667907715	0.3811078	Yes	
row_74	CMTR1	803	6.219902038574219	0.38637248	Yes	
row_75	BST2	808	6.193950653076172	0.39176178	Yes	
row_76	IRF9	810	6.188972473144531	0.3972758	Yes	
row_77	VAMP5	852	5.719733715057373	0.40112755	Yes	
row_78	PSME2	878	5.5076422691345215	0.4056442	Yes	
row_79	BATF2	913	5.167605876922607	0.40978688	Yes	
row_80	SLAMF7	922	5.090904235839844	0.41500998	Yes	
row_81	TRAFD1	1040	4.188349723815918	0.4157035	Yes	
row_82	ICAM1	1086	3.881544589996338	0.41938904	Yes	
row_83	CXCL10	1096	3.8245530128479004	0.4245706	Yes	
row_84	PTPN2	1282	2.896432876586914	0.42243832	Yes	
row_85	CD74	1296	2.8174304962158203	0.42745367	Yes	
row_86	PML	1330	2.647700786590576	0.43163785	Yes	
row_87	PTPN1	1365	2.5430426597595215	0.43578053	Yes	
