NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARHGEF2	336	18.784164428710938	-0.008922713	No	
row_1	MYH10	358	17.512006759643555	-0.004745534	No	
row_2	MAPRE1	371	16.88214874267578	-1.940724E-4	No	
row_3	SPTAN1	409	15.25508975982666	0.0033177151	No	
row_4	CDC42BPA	539	11.043803215026855	0.0030035027	No	
row_5	DLG1	624	8.713294982910156	0.0045607034	No	
row_6	TPX2	683	7.763747215270996	0.0071991645	No	
row_7	STAU1	789	6.387706279754639	0.007883039	No	
row_8	CDK5RAP2	916	5.1137919425964355	0.0076935873	No	
row_9	ARHGAP10	1059	4.073761940002441	0.0068387445	No	
row_10	NOTCH2	1203	3.277963638305664	0.0059423144	No	
row_11	KIF3B	1424	2.373499870300293	0.0018436888	No	
row_12	ALS2	1431	2.3471262454986572	0.0066446722	No	
row_13	PPP4R2	1840	1.433136224746704	-0.005272302	No	
row_14	SMC4	1891	1.3677574396133423	-0.0023011446	No	
row_15	TSC1	1902	1.3463342189788818	0.0023334909	No	
row_16	UXT	1992	1.2281596660614014	0.0036827566	No	
row_17	RABGAP1	2083	1.1310158967971802	0.004990435	No	
row_18	SAC3D1	2255	0.9511879086494446	0.0029295706	No	
row_19	CENPJ	2293	0.9140194058418274	0.006441358	No	
row_20	MID1	2388	0.8350547552108765	0.007582689	No	
row_21	RICTOR	2496	0.7629251480102539	0.00818339	No	
row_22	NUMA1	2537	0.7382660508155823	0.011570416	No	
row_23	RANBP9	2559	0.7264742255210876	0.015747596	No	
row_24	ARL8A	2644	0.6702021360397339	0.017304797	No	
row_25	CENPF	2693	0.6459303498268127	0.020359127	No	
row_26	SMC1A	2748	0.617641806602478	0.023163937	No	
row_27	CLIP1	2778	0.6056552529335022	0.02700842	No	
row_28	KATNB1	2909	0.544619619846344	0.02665262	No	
row_29	CD2AP	3018	0.4949944019317627	0.027211733	No	
row_30	MID1IP1	3123	0.4520987570285797	0.027937194	No	
row_31	BRCA2	3136	0.4460703432559967	0.032488655	No	
row_32	PRC1	3296	0.3924112021923065	0.030926835	No	
row_33	BIN1	3464	0.34315672516822815	0.029032318	No	
row_34	HDAC6	3515	0.3327363431453705	0.032003477	No	
row_35	MYH9	3547	0.32591336965560913	0.035764784	No	
row_36	KIF5B	3590	0.3148001432418823	0.03906864	No	
row_37	MAP3K11	3612	0.3096696436405182	0.043245815	No	
row_38	MARCKS	3780	0.27354246377944946	0.0413513	No	
row_39	ACTN4	3796	0.2707739472389221	0.045778	No	
row_40	ARHGAP4	3980	0.23563940823078156	0.04321809	No	
row_41	ARFIP2	4203	0.19885823130607605	0.039036293	No	
row_42	RAB3GAP1	4328	0.18369938433170319	0.038930014	No	
row_43	CAPZB	4364	0.179777130484581	0.042524975	No	
row_44	FLNA	4541	0.15697096288204193	0.040256176	No	
row_45	FLNB	4570	0.15330997109413147	0.044142246	No	
row_46	PKD2	4689	0.14105671644210815	0.04428549	No	
row_47	PLK1	4770	0.13348352909088135	0.046009038	No	
row_48	INCENP	4801	0.13045650720596313	0.049811937	No	
row_49	ARHGEF7	5019	0.11266819387674332	0.04583807	No	
row_50	CEP72	6042	0.05185270681977272	0.008386704	No	
row_51	PCGF5	6163	0.047413457185029984	0.008446774	No	
row_52	AURKA	6336	0.04180807247757912	0.0063443226	No	
row_53	CSNK1D	6811	0.027143504470586777	-0.00831739	No	
row_54	EPB41	7131	0.02016257867217064	-0.016533125	No	
row_55	BCL2L11	7267	0.017565332353115082	-0.017096858	No	
row_56	NDC80	7371	0.0158980842679739	-0.01632981	No	
row_57	PAFAH1B1	7394	0.015521286986768246	-0.012194219	No	
row_58	LLGL1	7505	0.013328101485967636	-0.01171828	No	
row_59	RACGAP1	7580	0.01248382031917572	-0.0097452095	No	
row_60	TRIO	7924	0.008463677950203419	-0.01895903	No	
row_61	RFC1	8157	0.006320612505078316	-0.0235567	No	
row_62	TLK1	8168	0.0062581440433859825	-0.018922064	No	
row_63	CNTROB	8173	0.006210060324519873	-0.014037907	No	
row_64	CDC42EP2	8455	0.003917166031897068	-0.020673338	No	
row_65	CTTN	9161	7.788454531691968E-4	-0.044941638	No	
row_66	ECT2	9192	7.224667933769524E-4	-0.041138742	No	
row_67	MYO9B	9260	5.394107429310679E-4	-0.038874563	No	
row_68	NEK2	9310	4.384837520774454E-4	-0.03586182	No	
row_69	TBCD	9450	2.0479111117310822E-4	-0.036591902	No	
row_70	NCK1	10374	-1.6919859262998216E-5	-0.06992616	No	
row_71	BCAR1	10387	-2.1215400920482352E-5	-0.065374695	No	
row_72	SMC3	10509	-8.576203254051507E-5	-0.06535621	No	
row_73	KNTC1	10593	-1.7289449169766158E-4	-0.06375743	No	
row_74	APC	10683	-2.843370020855218E-4	-0.06240816	No	
row_75	YWHAE	10759	-4.2980501893907785E-4	-0.060476676	No	
row_76	DYNC1H1	10821	-5.196824204176664E-4	-0.057962976	No	
row_77	NEDD9	10869	-6.431565270759165E-4	-0.05486706	No	
row_78	RAPGEF5	11167	-0.0015728010330349207	-0.06216788	No	
row_79	TAOK2	11268	-0.00198058458045125	-0.06127607	No	
row_80	NUSAP1	11433	-0.0028672139160335064	-0.06304583	No	
row_81	PCM1	11680	-0.004124737344682217	-0.06822571	No	
row_82	TUBGCP6	12157	-0.007771828677505255	-0.0829706	Yes	
row_83	DOCK2	12211	-0.008327714167535305	-0.08012421	Yes	
row_84	TTK	12250	-0.008703727275133133	-0.076654	Yes	
row_85	WASF2	12277	-0.008893372491002083	-0.07268476	Yes	
row_86	ROCK1	12300	-0.009114773944020271	-0.06854916	Yes	
row_87	GEMIN4	12382	-0.009800172410905361	-0.0668672	Yes	
row_88	ARHGDIA	12398	-0.01001602690666914	-0.062440503	Yes	
row_89	CLASP1	12473	-0.010960680432617664	-0.060467437	Yes	
row_90	KIF15	12627	-0.012665890157222748	-0.061779734	Yes	
row_91	RHOT2	12642	-0.012809903360903263	-0.057311445	Yes	
row_92	CNTRL	12686	-0.013309006579220295	-0.054049183	Yes	
row_93	TUBGCP5	12750	-0.013922766782343388	-0.051618654	Yes	
row_94	SASS6	12763	-0.01407154556363821	-0.04706719	Yes	
