NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCM2	62	96.81260681152344	0.0025501356	Yes	
row_1	DEK	121	53.32310104370117	0.005266598	Yes	
row_2	EIF2S2	819	6.040011882781982	-0.01858769	Yes	
row_3	CDK4	1462	2.253784656524658	-0.040154982	Yes	
row_4	HSPD1	1693	1.6977397203445435	-0.044590585	Yes	
row_5	RFC4	1750	1.579624891281128	-0.04179096	Yes	
row_6	XPOT	1801	1.5024076700210571	-0.038741842	Yes	
row_7	CANX	1921	1.3162593841552734	-0.038561866	Yes	
row_8	AIMP2	1929	1.2972581386566162	-0.033724733	Yes	
row_9	TYMS	2004	1.217285394668579	-0.03167358	Yes	
row_10	MRPL23	2030	1.1900622844696045	-0.027584918	Yes	
row_11	SSB	2057	1.158494472503662	-0.023537839	Yes	
row_12	POLE3	2302	0.9070363640785217	-0.028555585	Yes	
row_13	HSP90AB1	2511	0.7540778517723083	-0.03207639	Yes	
row_14	SET	2580	0.714045524597168	-0.029775744	Yes	
row_15	PRPS2	2591	0.6999775767326355	-0.025063356	Yes	
row_16	HSPE1	2605	0.6924678087234497	-0.020475714	Yes	
row_17	PSMA4	2660	0.6602166295051575	-0.017592924	Yes	
row_18	RNPS1	3025	0.49082139134407043	-0.027600482	Yes	
row_19	PGK1	3079	0.46850305795669556	-0.02467611	Yes	
row_20	PSMD14	3494	0.33663153648376465	-0.03676276	Yes	
row_21	PSMA1	3536	0.328141987323761	-0.033339407	Yes	
row_22	RAD23B	3585	0.3159083425998688	-0.030207125	Yes	
row_23	LSM2	3647	0.3028382658958435	-0.02761541	Yes	
row_24	CTPS1	3673	0.2936646342277527	-0.023526749	Yes	
row_25	EIF3J	4009	0.23084230720996857	-0.032328434	Yes	
row_26	RRM1	4055	0.22407153248786926	-0.02907141	Yes	
row_27	COX5A	4356	0.18095172941684723	-0.036417738	Yes	
row_28	CCT5	4684	0.14163483679294586	-0.044886768	Yes	
row_29	CDK2	4785	0.13176964223384857	-0.04391674	Yes	
row_30	FAM120A	4904	0.12203953415155411	-0.043695185	Yes	
row_31	RRP9	4978	0.11505826562643051	-0.041602448	Yes	
row_32	MCM6	5029	0.11184356361627579	-0.03855333	Yes	
row_33	VDAC3	5166	0.10069986432790756	-0.039080247	Yes	
row_34	KPNB1	5197	0.09914961457252502	-0.035199497	Yes	
row_35	PRPF31	5294	0.0922127366065979	-0.034063138	Yes	
row_36	TXNL4A	5316	0.09052044153213501	-0.029808152	Yes	
row_37	PSMA6	5337	0.08856187015771866	-0.025511581	Yes	
row_38	PWP1	5528	0.0776754766702652	-0.028283913	Yes	
row_39	HDGF	5580	0.07460417598485947	-0.025276378	Yes	
row_40	MRPS18B	5706	0.06792404502630234	-0.025345894	Yes	
row_41	HPRT1	5871	0.05993328243494034	-0.027037099	Yes	
row_42	DHX15	5912	0.05822715163230896	-0.023572164	Yes	
row_43	CBX3	6006	0.05364343151450157	-0.022311063	Yes	
row_44	PA2G4	6082	0.05037746578454971	-0.020301491	Yes	
row_45	TRA2B	6121	0.048727985471487045	-0.016753394	Yes	
row_46	EIF4A1	6165	0.04738568514585495	-0.013413204	Yes	
row_47	PSMC4	6265	0.04361066594719887	-0.012401594	Yes	
row_48	PTGES3	6422	0.03846001997590065	-0.013760145	Yes	
row_49	MCM7	6560	0.03423580527305603	-0.014328643	Yes	
row_50	TUFM	6565	0.03414236381649971	-0.009366764	Yes	
row_51	IFRD1	6713	0.03023361600935459	-0.0103510795	Yes	
row_52	STARD7	6845	0.026468776166439056	-0.010670085	Yes	
row_53	CSTF2	7105	0.020640721544623375	-0.01631156	Yes	
row_54	PSMB2	7205	0.01860666833817959	-0.015299949	Yes	
row_55	PSMD7	7241	0.01799512654542923	-0.011627106	Yes	
row_56	DUT	7249	0.017816416919231415	-0.0067899725	Yes	
row_57	PSMB3	7416	0.015105711296200752	-0.008564341	Yes	
row_58	TARDBP	7496	0.013453582301735878	-0.0067210956	Yes	
row_59	SNRPD1	7507	0.01325992587953806	-0.0020087082	Yes	
row_60	PSMC6	7901	0.008678109385073185	-0.013222138	Yes	
row_61	MCM4	8091	0.006851688493043184	-0.015952889	Yes	
row_62	EIF3B	8136	0.006464719772338867	-0.01265428	Yes	
row_63	USP1	8235	0.005643503740429878	-0.011601089	Yes	
row_64	DDX18	8240	0.005577622447162867	-0.0066392105	Yes	
row_65	EIF2S1	8293	0.00513036735355854	-0.0036732573	Yes	
row_66	COPS5	8316	0.0049135456793010235	5.4014893E-4	Yes	
row_67	PSMD8	8383	0.004429054446518421	0.0029239573	Yes	
row_68	NCBP2	8924	0.0015372888883575797	-0.014401994	Yes	
row_69	PRDX3	9348	3.5154810757376254E-4	-0.026862876	Yes	
row_70	CYC1	9367	3.261178790125996E-4	-0.022483144	Yes	
row_71	PSMA2	9422	2.481610863469541E-4	-0.019600354	Yes	
row_72	SRM	9748	3.700198476508376E-6	-0.027986225	Yes	
row_73	CLNS1A	10329	-6.3599668465030845E-6	-0.046975445	Yes	
row_74	KPNA2	10457	-5.787087502540089E-5	-0.047128126	Yes	
row_75	HNRNPA2B1	10621	-2.0651357772294432E-4	-0.048777748	Yes	
row_76	NCBP1	10633	-2.192968677263707E-4	-0.04410694	Yes	
row_77	YWHAE	10759	-4.2980501893907785E-4	-0.04417646	Yes	
row_78	SLC25A3	10832	-5.447313887998462E-4	-0.04204214	Yes	
row_79	SMARCC1	10847	-5.850477027706802E-4	-0.03749608	Yes	
row_80	GNL3	10885	-6.798830581828952E-4	-0.0339064	Yes	
row_81	PHB2	10957	-8.579390705563128E-4	-0.0317305	Yes	
row_82	SNRPD2	11093	-0.0012830718187615275	-0.032215834	Yes	
row_83	HNRNPU	11130	-0.0014515073271468282	-0.028584573	Yes	
row_84	PCBP1	11149	-0.001525736297480762	-0.024204839	Yes	
row_85	PSMA7	11177	-0.0015976318391039968	-0.020199342	Yes	
row_86	UBA2	11332	-0.0023398278281092644	-0.021474728	Yes	
row_87	NDUFAB1	11438	-0.002870917087420821	-0.02071261	Yes	
row_88	MCM5	11461	-0.0029681294690817595	-0.016499203	Yes	
row_89	ORC2	11520	-0.0032949871383607388	-0.013782741	Yes	
row_90	EXOSC7	11556	-0.0034628871362656355	-0.010109898	Yes	
row_91	GOT2	11602	-0.003729477757588029	-0.0068528717	Yes	
row_92	SNRPA1	11747	-0.004599480889737606	-0.0077124415	Yes	
row_93	VBP1	11778	-0.004838201217353344	-0.0038316895	Yes	
row_94	CCT3	11861	-0.005447069648653269	-0.0021131893	Yes	
row_95	APEX1	11938	-0.00605345331132412	-1.4519854E-4	Yes	
row_96	RPL14	12262	-0.008769187144935131	-0.008447905	Yes	
row_97	PSMD3	12320	-0.009320496581494808	-0.005689861	Yes	
row_98	EIF4G2	12494	-0.011234455741941929	-0.007755302	Yes	
row_99	ERH	12524	-0.011588952504098415	-0.0038329677	Yes	
row_100	CNBP	12780	-0.014228817075490952	-0.009308114	Yes	
row_101	SRSF3	12850	-0.015064519830048084	-0.0070490506	Yes	
row_102	ETF1	12908	-0.015852341428399086	-0.0042910064	Yes	
row_103	HNRNPC	13043	-0.017559941858053207	-0.0047347583	Yes	
row_104	VDAC1	13066	-0.018003111705183983	-5.21352E-4	Yes	
row_105	XPO1	13084	-0.018245741724967957	0.003899963	Yes	
row_106	PPIA	13095	-0.018343539908528328	0.008612351	Yes	
row_107	GSPT1	13267	-0.020990129560232162	0.0066300733	Yes	
row_108	NOLC1	13301	-0.02144497260451317	0.0103860805	Yes	
row_109	PRDX4	13378	-0.022650722414255142	0.012354071	Yes	
row_110	RSL1D1	13477	-0.024224944412708282	0.013407263	Yes	
row_111	C1QBP	13516	-0.025009173899888992	0.01695536	Yes	
row_112	GLO1	13573	-0.026237772777676582	0.019754987	Yes	
row_113	HNRNPR	13574	-0.026245640590786934	0.024883192	Yes	
row_114	SRSF1	13615	-0.027180718258023262	0.028348127	Yes	
row_115	NME1	13660	-0.027902983129024506	0.031646732	Yes	
row_116	TOMM70	13715	-0.028749961405992508	0.034529522	Yes	
row_117	SF3B3	13834	-0.03128998354077339	0.03475108	Yes	
row_118	CCT2	13882	-0.03240329772233963	0.03792494	Yes	
row_119	EIF1AX	13897	-0.03272094205021858	0.042471003	Yes	
row_120	SERBP1	14050	-0.03650878369808197	0.04127878	Yes	
row_121	NAP1L1	14141	-0.038572825491428375	0.042664625	Yes	
row_122	RUVBL2	14217	-0.040535543113946915	0.0446742	Yes	
row_123	XRCC6	14342	-0.043724481016397476	0.044646263	Yes	
row_124	TFDP1	14580	-0.05019030719995499	0.03991959	Yes	
row_125	PCNA	14652	-0.052420347929000854	0.04209549	Yes	
row_126	SYNCRIP	14878	-0.06031912565231323	0.037867796	Yes	
row_127	RPS6	14940	-0.06316300481557846	0.040459514	Yes	
row_128	RPS10	15156	-0.07116225361824036	0.036647636	Yes	
row_129	G3BP1	15533	-0.08486614376306534	0.026141098	Yes	
row_130	MRPL9	15819	-0.09648120403289795	0.019418499	Yes	
row_131	CDC45	15831	-0.09711305052042007	0.024089303	Yes	
row_132	NHP2	16028	-0.10573885589838028	0.021067481	Yes	
row_133	SSBP1	16204	-0.11499989032745361	0.018918877	Yes	
row_134	U2AF1	16232	-0.11661555618047714	0.022924375	Yes	
row_135	UBE2E1	16617	-0.1409921497106552	0.012085181	Yes	
row_136	IMPDH2	16645	-0.14228405058383942	0.016090678	Yes	
row_137	ILF2	16781	-0.15343928337097168	0.015605344	Yes	
row_138	NPM1	16991	-0.16726861894130707	0.012042959	Yes	
row_139	FBL	17143	-0.18058069050312042	0.010892318	Yes	
row_140	MAD2L1	17189	-0.18493837118148804	0.014149343	Yes	
row_141	SF3A1	17230	-0.1880292147397995	0.017614277	Yes	
row_142	DDX21	17362	-0.19905979931354523	0.017295271	Yes	
row_143	HNRNPA3	17495	-0.21155375242233276	0.016934682	Yes	
row_144	RPL18	17547	-0.2165074199438095	0.019942217	Yes	
row_145	CCNA2	17681	-0.2303323894739151	0.019540047	Yes	
row_146	PSMD1	17708	-0.23344236612319946	0.023587126	Yes	
row_147	RAN	17909	-0.2550697922706604	0.020398978	Yes	
row_148	AP3S1	18296	-0.30416539311408997	0.00947662	Yes	
row_149	HNRNPD	18297	-0.3042505383491516	0.014604825	Yes	
row_150	SRSF7	18374	-0.3143720030784607	0.016572816	Yes	
row_151	SNRPA	18451	-0.32408636808395386	0.018540807	Yes	
row_152	NOP56	18516	-0.33210688829421997	0.021007778	Yes	
row_153	RPL6	18528	-0.33444666862487793	0.025678584	Yes	
row_154	ABCE1	18551	-0.3381035029888153	0.02989199	Yes	
row_155	LDHA	18651	-0.35452893376350403	0.0309036	Yes	
row_156	UBE2L3	18902	-0.39939606189727783	0.025636364	Yes	
row_157	CUL1	18976	-0.4125853478908539	0.0277291	Yes	
row_158	SRSF2	19081	-0.4334705173969269	0.028532801	Yes	
row_159	HNRNPA1	19216	-0.46496108174324036	0.028089048	Yes	
row_160	RPS2	19248	-0.47130852937698364	0.03192822	Yes	
row_161	MYC	19358	-0.49591630697250366	0.032524012	Yes	
row_162	RPL22	19438	-0.5108271837234497	0.034367256	Yes	
row_163	SNRPG	19471	-0.5197557210922241	0.038164847	Yes	
row_164	BUB3	19479	-0.5209275484085083	0.04300198	Yes	
row_165	RACK1	19583	-0.5491342544555664	0.043847263	Yes	
row_166	CCT7	19730	-0.5885713696479797	0.04290453	Yes	
row_167	POLD2	19772	-0.5982764959335327	0.04632788	Yes	
row_168	HDAC2	20040	-0.6754958629608154	0.040353753	Yes	
row_169	EIF4H	20059	-0.6797046661376953	0.044733487	Yes	
row_170	HDDC2	20105	-0.6971544623374939	0.047990512	Yes	
row_171	SRPK1	20211	-0.7381537556648254	0.048752632	Yes	
row_172	PPM1G	20325	-0.7832234501838684	0.0491821	Yes	
row_173	ACP1	20599	-0.9125812649726868	0.04295848	Yes	
row_174	PABPC1	20695	-0.9665411710739136	0.044136416	Yes	
row_175	RPS3	21032	-1.1561545133590698	0.035293147	Yes	
row_176	SNRPB2	21220	-1.266526460647583	0.03264556	Yes	
row_177	EIF4E	21264	-1.3002880811691284	0.03598575	Yes	
row_178	CDC20	21284	-1.3197773694992065	0.040323902	Yes	
row_179	RPLP0	21459	-1.4838532209396362	0.038216878	Yes	
row_180	RPS5	21587	-1.6174228191375732	0.0380642	Yes	
row_181	RPL34	21731	-1.7883650064468384	0.037246212	Yes	
row_182	TRIM28	21834	-1.9126063585281372	0.038133077	Yes	
row_183	CAD	21872	-1.982169270515442	0.041722756	Yes	
row_184	EIF3D	21994	-2.1971724033355713	0.04181957	Yes	
row_185	PABPC4	22024	-2.230924367904663	0.0457419	Yes	
row_186	RANBP1	22053	-2.292323350906372	0.04970582	Yes	
row_187	SNRPD3	22375	-3.0458171367645264	0.041486274	No	
row_188	TCP1	22382	-3.0759119987487793	0.04636499	No	
row_189	NOP16	22533	-3.625540018081665	0.04525593	No	
row_190	EEF1B2	22612	-3.894192934036255	0.047140755	No	
