NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HCCS	333	19.096073150634766	-0.008405616	Yes	
row_1	NNT	416	14.897717475891113	-0.0063789794	Yes	
row_2	IDH1	513	11.743525505065918	-0.0049342215	Yes	
row_3	ATP6V1G1	591	9.505598068237305	-0.002699771	Yes	
row_4	CYB5A	600	9.296189308166504	0.0024025096	Yes	
row_5	ATP6V0E1	796	6.327328205108643	-2.6744552E-4	Yes	
row_6	COX10	814	6.088194847106934	0.00446077	Yes	
row_7	SLC25A4	910	5.1993818283081055	0.005947091	Yes	
row_8	ATP1B1	928	5.032997131347656	0.010675306	Yes	
row_9	IDH3A	966	4.663202285766602	0.014572267	Yes	
row_10	SURF1	1058	4.074526786804199	0.016224839	Yes	
row_11	ATP6V1C1	1088	3.863872528076172	0.020454302	Yes	
row_12	NQO2	1274	2.923959732055664	0.018199975	Yes	
row_13	GRPEL1	1394	2.4659125804901123	0.018688789	Yes	
row_14	NDUFA8	1403	2.4225223064422607	0.02379107	Yes	
row_15	ATP6AP1	1441	2.316826343536377	0.02768803	Yes	
row_16	CS	1478	2.207352876663208	0.031626552	Yes	
row_17	TIMM17A	1547	2.031465768814087	0.034235068	Yes	
row_18	MRPS30	1560	1.9914555549621582	0.0391711	Yes	
row_19	PDHB	1676	1.72390878200531	0.039826162	Yes	
row_20	PDHA1	1920	1.3181296586990356	0.035161197	Yes	
row_21	AFG3L2	2000	1.219696044921875	0.037312523	Yes	
row_22	NDUFS3	2065	1.1493760347366333	0.040087286	Yes	
row_23	ISCA1	2276	0.9294023513793945	0.03679389	Yes	
row_24	PDHX	2283	0.9234512448310852	0.041979298	Yes	
row_25	NDUFB3	2442	0.7957338690757751	0.040847164	Yes	
row_26	ATP6V1E1	2486	0.7688954472541809	0.044494748	Yes	
row_27	SLC25A11	2608	0.6918060779571533	0.044900436	Yes	
row_28	AIFM1	2614	0.6873164176940918	0.050127406	Yes	
row_29	ECI1	2710	0.6373274326324463	0.051613726	Yes	
row_30	BAX	2918	0.5427011251449585	0.04844502	Yes	
row_31	ALAS1	3000	0.5031578540802002	0.05051322	Yes	
row_32	ECH1	3023	0.492609441280365	0.05503362	Yes	
row_33	HSD17B10	3097	0.4605262279510498	0.05743432	Yes	
row_34	COX5B	3111	0.45548784732818604	0.06232879	Yes	
row_35	MRPS11	3128	0.44934237003326416	0.067098565	Yes	
row_36	CYB5R3	3332	0.3800259232521057	0.06409611	Yes	
row_37	ATP6V1D	3404	0.3553975224494934	0.06657994	Yes	
row_38	ATP6V1H	3479	0.33918333053588867	0.068939075	Yes	
row_39	PMPCA	3510	0.33396247029304504	0.07312697	Yes	
row_40	PHYH	3550	0.32543760538101196	0.07694081	Yes	
row_41	FH	3554	0.3232482075691223	0.0822509	Yes	
row_42	COX8A	3997	0.23324216902256012	0.06931495	Yes	
row_43	OGDH	4034	0.22667664289474487	0.07325347	Yes	
row_44	COX4I1	4074	0.22155924141407013	0.07706731	Yes	
row_45	NDUFA2	4171	0.20373430848121643	0.078512065	Yes	
row_46	MRPS12	4267	0.191529780626297	0.07999838	Yes	
row_47	GPI	4330	0.18346425890922546	0.082856275	Yes	
row_48	COX5A	4356	0.18095172941684723	0.08725199	Yes	
row_49	UQCRC2	4503	0.16056358814239502	0.08661861	Yes	
row_50	CYCS	4614	0.1491113305091858	0.08748149	Yes	
row_51	SLC25A12	4636	0.14650674164295197	0.09204345	Yes	
row_52	CASP7	4717	0.13800665736198425	0.09415322	Yes	
row_53	ATP6V0C	4956	0.11781998723745346	0.089696065	Yes	
row_54	MTRF1	4975	0.11554933339357376	0.09438272	Yes	
row_55	NDUFS8	5028	0.11192435026168823	0.097656235	Yes	
row_56	UQCRC1	5156	0.10134349018335342	0.09781255	Yes	
row_57	MRPL34	5159	0.10116551071405411	0.1031642	Yes	
row_58	VDAC3	5166	0.10069986432790756	0.108349614	Yes	
row_59	NDUFS6	5330	0.08921719342470169	0.107009664	Yes	
row_60	COX6B1	5394	0.08512774854898453	0.10982599	Yes	
row_61	NDUFA6	5498	0.07986240833997726	0.11097981	Yes	
row_62	NDUFA1	5505	0.07968331128358841	0.11616522	Yes	
row_63	HSPA9	5638	0.07134359329938889	0.116113715	Yes	
row_64	COX7B	5713	0.06772886961698532	0.11847285	Yes	
row_65	LDHB	5783	0.06447899341583252	0.12103981	Yes	
row_66	NDUFB1	5900	0.058597490191459656	0.12165331	Yes	
row_67	NDUFS4	6088	0.050212562084198	0.119315855	Yes	
row_68	COX6A1	6158	0.04766635596752167	0.12188281	Yes	
row_69	UQCRFS1	6175	0.04699953645467758	0.12665258	Yes	
row_70	NDUFV2	6218	0.045227546244859695	0.13034174	Yes	
row_71	ATP6V1F	6228	0.0448736697435379	0.13540246	Yes	
row_72	OXA1L	6252	0.04404522478580475	0.1398813	Yes	
row_73	SDHA	6453	0.03743893653154373	0.13700353	Yes	
row_74	NDUFB5	6500	0.036050040274858475	0.14052641	Yes	
row_75	NDUFV1	6537	0.034803662449121475	0.14446494	Yes	
row_76	SDHB	6589	0.033449750393629074	0.14778003	Yes	
row_77	TCIRG1	6590	0.03344457224011421	0.15321481	Yes	
row_78	SLC25A5	6993	0.022968372330069542	0.14194135	Yes	
row_79	TIMM9	7132	0.020147457718849182	0.14164048	Yes	
row_80	UQCRQ	7154	0.019663074985146523	0.14620245	Yes	
row_81	POR	7266	0.01758558303117752	0.14702377	Yes	
row_82	BCKDHA	7339	0.01633368246257305	0.14946602	Yes	
row_83	ETFA	7623	0.01195893157273531	0.14313856	Yes	
row_84	PDK4	7634	0.011774315498769283	0.1481577	Yes	
row_85	COX7A2	7783	0.010001959279179573	0.1474412	Yes	
row_86	MFN2	7848	0.009225767105817795	0.15021597	Yes	
row_87	CPT1A	8009	0.007681484334170818	0.1490007	Yes	
row_88	NDUFC2	8189	0.006074436008930206	0.14699575	Yes	
row_89	NDUFB6	8330	0.004792578052729368	0.14661175	Yes	
row_90	OPA1	8449	0.003954927437007427	0.14714213	Yes	
row_91	MGST3	8484	0.0037344603333622217	0.15116377	Yes	
row_92	SUCLA2	8684	0.002563346177339554	0.14832757	Yes	
row_93	MTRR	8731	0.002309908624738455	0.15185046	Yes	
row_94	TIMM8B	8805	0.0020208824425935745	0.15425117	Yes	
row_95	COX15	8840	0.0018705326365306973	0.15827282	Yes	
row_96	MRPL15	9077	9.996226290240884E-4	0.15389879	Yes	
row_97	PRDX3	9348	3.5154810757376254E-4	0.14811163	Yes	
row_98	CYC1	9367	3.261178790125996E-4	0.15279828	Yes	
row_99	PDP1	9462	1.907440455397591E-4	0.15432617	Yes	
row_100	ACAA1	9589	8.782105578575283E-5	0.15452404	Yes	
row_101	NDUFB4	9636	6.73321628710255E-5	0.15804693	Yes	
row_102	MAOB	10019	0.0	0.14760475	Yes	
row_103	SDHC	10524	-9.478560241404921E-5	0.1320919	Yes	
row_104	MTX2	10694	-3.096534055657685E-4	0.13050258	Yes	
row_105	NDUFA9	10699	-3.1449305242858827E-4	0.13577111	Yes	
row_106	UQCRB	10721	-3.6505289608612657E-4	0.14033307	Yes	
row_107	NDUFA4	10768	-4.447835963219404E-4	0.14385597	Yes	
row_108	MRPS15	10830	-5.438746302388608E-4	0.14675543	Yes	
row_109	SLC25A3	10832	-5.447313887998462E-4	0.15214863	Yes	
row_110	NDUFA3	10839	-5.67397684790194E-4	0.15733404	Yes	
row_111	PHB2	10957	-8.579390705563128E-4	0.15790598	Yes	
row_112	TIMM50	11398	-0.0026634831447154284	0.14505316	Yes	
row_113	MRPS22	11401	-0.002683766419067979	0.15040481	Yes	
row_114	SUPV3L1	11407	-0.0027089430950582027	0.15563178	Yes	
row_115	DLST	11409	-0.002735320944339037	0.161025	Yes	
row_116	NDUFAB1	11438	-0.002870917087420821	0.16529603	Yes	
row_117	RHOT1	11454	-0.002956410637125373	0.17010736	Yes	
row_118	GOT2	11602	-0.003729477757588029	0.16943243	Yes	
row_119	ECHS1	11829	-0.0051740058697760105	0.16547403	Yes	
row_120	NDUFS1	11868	-0.005529198795557022	0.16932942	Yes	
row_121	ABCB7	11949	-0.006165985018014908	0.17143919	Yes	
row_122	ACAT1	12138	-0.007636908441781998	0.16906017	Yes	
row_123	TIMM10	12299	-0.009113101288676262	0.1678449	Yes	
row_124	SLC25A20	12329	-0.009387076832354069	0.17207438	Yes	
row_125	IDH3G	12413	-0.0102041345089674	0.17405945	Yes	
row_126	COX6C	12432	-0.010408134199678898	0.1787461	Yes	
row_127	DLD	12486	-0.011128592304885387	0.18197806	Yes	
row_128	RHOT2	12642	-0.012809903360903263	0.18097061	Yes	
row_129	COX11	12919	-0.01603364758193493	0.17493407	Yes	
row_130	UQCRH	12923	-0.01607823558151722	0.18024416	Yes	
row_131	ISCU	12966	-0.016596239060163498	0.18393332	Yes	
row_132	ACADM	13051	-0.017722543329000473	0.18587683	Yes	
row_133	VDAC1	13066	-0.018003111705183983	0.19072974	Yes	
row_134	ATP6V0B	13131	-0.019026262685656548	0.1935045	Yes	
row_135	NDUFS2	13202	-0.020027026534080505	0.19602989	Yes	
row_136	DECR1	13254	-0.02079015225172043	0.19934496	Yes	
row_137	COX17	13339	-0.02192208170890808	0.20128848	Yes	
row_138	IDH2	13479	-0.024273637682199478	0.20094603	Yes	
row_139	TOMM70	13715	-0.028749961405992508	0.19661358	Yes	
row_140	ACO2	13788	-0.030277036130428314	0.19905584	Yes	
row_141	SDHD	13817	-0.031042052432894707	0.20332687	Yes	
row_142	NDUFS7	13936	-0.03346771001815796	0.20385724	Yes	
row_143	MPC1	14072	-0.036911461502313614	0.20368105	Yes	
row_144	ETFDH	14106	-0.03768133744597435	0.20774426	Yes	
row_145	NDUFA5	14542	-0.04907212778925896	0.19509925	Yes	
row_146	COX7C	14677	-0.05313049629330635	0.19496462	Yes	
row_147	MDH1	14804	-0.05784135311841965	0.19516249	Yes	
row_148	ALDH6A1	14846	-0.05926067382097244	0.1988932	Yes	
row_149	ACADVL	14888	-0.06059965491294861	0.20262392	Yes	
row_150	GPX4	14892	-0.06080705299973488	0.207934	Yes	
row_151	RETSAT	15158	-0.07118888944387436	0.20235465	No	
row_152	POLR2F	15731	-0.09250014275312424	0.18401554	No	
row_153	NDUFB7	15768	-0.09416279196739197	0.18795407	No	
row_154	DLAT	16279	-0.11923462152481079	0.17219184	No	
row_155	NDUFB2	16628	-0.14171011745929718	0.16316278	No	
row_156	LRPPRC	17235	-0.18884393572807312	0.14341053	No	
row_157	UQCR11	17394	-0.20272080600261688	0.1422784	No	
row_158	NDUFB8	17429	-0.20505233108997345	0.14630005	No	
row_159	HTRA2	17448	-0.20712977647781372	0.1509867	No	
