NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP1R15A	759	6.702195167541504	-0.01250738	No	
row_1	TGFBR1	2295	0.9123965501785278	-0.057092804	No	
row_2	FNTA	2491	0.7672169208526611	-0.04628573	No	
row_3	SMAD6	3173	0.43047869205474854	-0.05556877	No	
row_4	CDK9	3416	0.35297515988349915	-0.046704564	No	
row_5	ENG	3468	0.3425149917602539	-0.029944863	No	
row_6	RHOA	3586	0.3157373368740082	-0.015913447	No	
row_7	SERPINE1	3653	0.30005356669425964	2.2619008E-4	No	
row_8	MAP3K7	4220	0.19719529151916504	-0.0043030162	No	
row_9	BMPR2	5122	0.10377097129821777	-0.022680348	No	
row_10	SKIL	5186	0.09997543692588806	-0.006416697	No	
row_11	SKI	5939	0.057196758687496185	-0.018634714	No	
row_12	TGIF1	8305	0.0050212605856359005	-0.09753042	No	
row_13	TJP1	9082	9.87370265647769E-4	-0.11074054	No	
row_14	KLF10	9339	3.766184381674975E-4	-0.102455065	No	
row_15	XIAP	10508	-8.527213503839448E-5	-0.13186955	No	
row_16	APC	10683	-2.843370020855218E-4	-0.12019439	No	
row_17	ACVR1	11227	-0.0017817290499806404	-0.12377283	No	
row_18	PPM1A	12892	-0.01554929744452238	-0.17369081	No	
row_19	HDAC1	13214	-0.02015741355717182	-0.1680923	No	
row_20	ARID4B	13755	-0.02954951673746109	-0.17154671	No	
row_21	UBE2D3	14801	-0.05770823359489441	-0.19587667	No	
row_22	SMAD7	14814	-0.05808740854263306	-0.17750481	No	
row_23	SMAD3	15564	-0.08604086190462112	-0.1895988	No	
row_24	TRIM33	16113	-0.11056755483150482	-0.19338393	No	
row_25	CTNNB1	16560	-0.13735662400722504	-0.19295262	No	
row_26	SMAD1	16725	-0.14910352230072021	-0.18086407	No	
row_27	WWTR1	17359	-0.19881176948547363	-0.18816291	No	
row_28	HIPK2	18302	-0.3052416145801544	-0.20823509	Yes	
row_29	THBS1	18394	-0.3167143762111664	-0.19312888	Yes	
row_30	PPP1CA	18866	-0.394006609916687	-0.19373101	Yes	
row_31	SPTBN1	19286	-0.47980615496635437	-0.19218358	Yes	
row_32	NCOR2	19300	-0.4831252098083496	-0.17385304	Yes	
row_33	ID3	20018	-0.6706455945968628	-0.18462424	Yes	
row_34	IFNGR2	20140	-0.7125152945518494	-0.17075817	Yes	
row_35	FKBP1A	20277	-0.7645844221115112	-0.15751217	Yes	
row_36	JUNB	20857	-1.0577253103256226	-0.16257878	Yes	
row_37	FURIN	21174	-1.23992121219635	-0.15677355	Yes	
row_38	SLC20A1	21385	-1.4112027883529663	-0.14658655	Yes	
row_39	BMPR1A	21609	-1.6330877542495728	-0.13693693	Yes	
row_40	CDH1	22610	-3.890357732772827	-0.15940669	Yes	
row_41	CDKN1C	23067	-6.801425457000732	-0.15938875	Yes	
row_42	SMURF1	23071	-6.813015937805176	-0.14064483	Yes	
row_43	RAB31	23239	-8.876995086669922	-0.1286803	Yes	
row_44	TGFB1	23338	-10.513606071472168	-0.113863476	Yes	
row_45	BCAR3	23343	-10.595898628234863	-0.0951609	Yes	
row_46	BMP2	23376	-11.211926460266113	-0.07761578	Yes	
row_47	SMURF2	23385	-11.292745590209961	-0.05907856	Yes	
row_48	ID1	23635	-18.27341079711914	-0.05050372	Yes	
row_49	PMEPA1	23866	-31.551395416259766	-0.041143462	Yes	
row_50	NOG	24062	-62.906471252441406	-0.030336386	Yes	
row_51	ID2	24138	-94.50294494628906	-0.014568787	Yes	
row_52	LTBP2	24169	-111.33797454833984	0.003059007	Yes	
