NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFYB	128	50.03388595581055	0.003955978	Yes	
row_1	IFIT1	185	33.47331237792969	0.010895052	Yes	
row_2	WIPI1	459	13.44362735748291	0.008843406	Yes	
row_3	CALR	493	12.371867179870605	0.016735414	Yes	
row_4	NOP14	498	12.20974349975586	0.025828945	Yes	
row_5	HSP90B1	773	6.547158241271973	0.023735868	Yes	
row_6	PSAT1	787	6.397213935852051	0.032456513	Yes	
row_7	TUBB2A	861	5.679549217224121	0.038691245	Yes	
row_8	CEBPB	1057	4.080379962921143	0.039871287	Yes	
row_9	EIF4EBP1	1337	2.626317024230957	0.03757105	Yes	
row_10	HSPA5	1360	2.557912826538086	0.045918807	Yes	
row_11	STC2	1468	2.2383902072906494	0.050744854	Yes	
row_12	SERP1	1583	1.9469765424728394	0.05528088	Yes	
row_13	LSM1	1642	1.8154054880142212	0.06213709	Yes	
row_14	XPOT	1801	1.5024076700210571	0.06485011	Yes	
row_15	CEBPG	2048	1.1756458282470703	0.06391712	Yes	
row_16	ATP6V0D1	2281	0.9263273477554321	0.06356419	Yes	
row_17	DNAJB9	2308	0.9039170742034912	0.071746215	Yes	
row_18	EXOC2	2462	0.781106173992157	0.074666396	Yes	
row_19	HERPUD1	2691	0.6462602615356445	0.074479185	Yes	
row_20	TSPYL2	2735	0.6227300763130188	0.08195688	Yes	
row_21	EXOSC10	2874	0.5611206293106079	0.085498534	Yes	
row_22	ERN1	3052	0.4815276563167572	0.08742435	Yes	
row_23	BANF1	3322	0.38319772481918335	0.08553843	Yes	
row_24	EIF4G1	3389	0.3601161241531372	0.09206319	Yes	
row_25	GOSR2	3452	0.3456900715827942	0.09875367	Yes	
row_26	CHAC1	3571	0.31902942061424255	0.10312397	Yes	
row_27	KIF5B	3590	0.3148001432418823	0.11163745	Yes	
row_28	EXOSC5	3605	0.3108256161212921	0.12031667	Yes	
row_29	SSR1	3694	0.29037612676620483	0.12592992	Yes	
row_30	EDC4	3807	0.269094318151474	0.1305488	Yes	
row_31	DCP1A	4015	0.22991715371608734	0.13123167	Yes	
row_32	NABP1	4024	0.22877861559391022	0.14015947	Yes	
row_33	HYOU1	4206	0.1985102742910385	0.14191955	Yes	
row_34	PAIP1	4236	0.19554801285266876	0.1499773	Yes	
row_35	SLC1A4	4423	0.1712569147348404	0.15153022	Yes	
row_36	XBP1	4623	0.14824391901493073	0.15254454	Yes	
row_37	IMP3	4764	0.13366304337978363	0.15600333	Yes	
row_38	SPCS3	4771	0.13304564356803894	0.165014	Yes	
row_39	RRP9	4978	0.11505826562643051	0.16573828	Yes	
row_40	POP4	5509	0.07931870967149734	0.15303865	Yes	
row_41	HSPA9	5638	0.07134359329938889	0.15699463	Yes	
row_42	PARN	5640	0.07125274091959	0.16621245	Yes	
row_43	DNAJA4	5772	0.06495394557714462	0.17004414	Yes	
row_44	CKS1B	6100	0.049602340906858444	0.16575517	Yes	
row_45	SPCS1	6150	0.047824181616306305	0.17298427	Yes	
row_46	EIF4A1	6165	0.04738568514585495	0.18166348	Yes	
row_47	YIF1A	6784	0.02817496471107006	0.16531783	Yes	
row_48	EIF4A2	6816	0.027105240151286125	0.17329271	Yes	
row_49	ATF3	7086	0.020938703790307045	0.17140679	Yes	
row_50	CCL2	7578	0.012512310408055782	0.160323	Yes	
row_51	SEC11A	7592	0.012336045503616333	0.16904363	Yes	
row_52	BAG3	7702	0.011032995767891407	0.17378682	Yes	
row_53	CXXC1	7859	0.00911720097064972	0.17658271	Yes	
row_54	VEGFA	7871	0.008976997807621956	0.18538621	Yes	
row_55	EIF2S1	8293	0.00513036735355854	0.17720264	No	
row_56	EXOSC2	8607	0.003010154701769352	0.17349373	No	
row_57	SRPRB	8615	0.0029496827628463507	0.18246296	No	
row_58	KHSRP	8984	0.0013008801033720374	0.17647529	No	
row_59	DNAJC3	9620	7.324522448470816E-5	0.1594253	No	
row_60	WFS1	10314	-3.557049012670177E-6	0.13997227	No	
row_61	CNOT4	10419	-3.5771819966612384E-5	0.14492261	No	
row_62	SLC30A5	10754	-4.2529922211542726E-4	0.14034362	No	
row_63	FUS	10881	-6.69316214043647E-4	0.14438246	No	
row_64	ZBTB17	11061	-0.0012017256813123822	0.14622541	No	
row_65	DCP2	11759	-0.004698395263403654	0.12660664	No	
row_66	SEC31A	12050	-0.00699417432770133	0.12385066	No	
row_67	EIF2AK3	12070	-0.00712121557444334	0.13232271	No	
row_68	ATF6	12145	-0.007683973293751478	0.13851601	No	
row_69	CNOT2	12335	-0.009434999898076057	0.13994464	No	
row_70	GEMIN4	12382	-0.009800172410905361	0.14729804	No	
row_71	PDIA5	12545	-0.011786145158112049	0.14984533	No	
row_72	ATF4	12727	-0.013726919889450073	0.15160541	No	
