NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD1	508	11.849762916564941	0.004011734	Yes	
row_1	AXIN1	705	7.538455963134766	0.020913899	Yes	
row_2	DKK1	826	5.984342098236084	0.040956043	Yes	
row_3	DVL2	1037	4.2134318351745605	0.05727979	Yes	
row_4	SKP2	1048	4.129093647003174	0.08186664	Yes	
row_5	WNT6	1081	3.9034383296966553	0.10554454	Yes	
row_6	NOTCH4	3345	0.37655407190322876	0.0370476	No	
row_7	HEY2	4504	0.16055157780647278	0.014204267	No	
row_8	PPARD	5177	0.10029193013906479	0.011440262	No	
row_9	FZD8	7099	0.02075948566198349	-0.042926785	No	
row_10	GNAI1	7685	0.011171321384608746	-0.042096343	No	
row_11	AXIN2	7687	0.01116291992366314	-0.017137658	No	
row_12	KAT2A	7725	0.010701388120651245	0.00633367	No	
row_13	NCSTN	8959	0.0014085638104006648	-0.019608323	No	
row_14	NUMB	9724	8.437073120148852E-6	-0.026173353	No	
row_15	RBPJ	10659	-2.5045298389159143E-4	-0.039762016	No	
row_16	PTCH1	11871	-0.0055446866899728775	-0.06479507	No	
row_17	FRAT1	12265	-0.008792044594883919	-0.05603205	No	
row_18	MAML1	12615	-0.012520790100097656	-0.045451157	No	
row_19	HDAC5	13434	-0.023588962852954865	-0.054247223	No	
row_20	HEY1	13957	-0.03394830971956253	-0.050813906	No	
row_21	HDAC11	15058	-0.06739494204521179	-0.07126094	No	
row_22	PSEN2	15903	-0.10047004371881485	-0.081131205	No	
row_23	ADAM17	15998	-0.10439256578683853	-0.060014863	No	
row_24	CTNNB1	16560	-0.13735662400722504	-0.05819285	No	
row_25	LEF1	17631	-0.22583091259002686	-0.077400416	No	
row_26	WNT5B	18254	-0.2990293800830841	-0.07809865	No	
row_27	CUL1	18976	-0.4125853478908539	-0.08288711	No	
row_28	NCOR2	19300	-0.4831252098083496	-0.07123201	No	
row_29	MYC	19358	-0.49591630697250366	-0.048586994	No	
row_30	NOTCH1	19552	-0.5406697988510132	-0.031560883	No	
row_31	HDAC2	20040	-0.6754958629608154	-0.026681524	No	
row_32	NKD1	21921	-2.0684080123901367	-0.07935464	No	
row_33	DLL1	22252	-2.7108912467956543	-0.067988746	No	
row_34	JAG2	23154	-7.6676764488220215	-0.080213994	No	
row_35	TP53	23161	-7.770926475524902	-0.05546189	No	
row_36	TCF7	23415	-11.810657501220703	-0.040914707	No	
row_37	CSNK1E	23504	-13.636903762817383	-0.019550469	No	
row_38	JAG1	23673	-19.945240020751953	-0.0014914699	No	
row_39	CCND2	24237	-356.5828552246094	2.4791248E-4	No	
