NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-B	12	336.7735900878906	0.019504009	Yes	
row_1	TAP1	57	106.19158172607422	0.037685376	Yes	
row_2	HLA-F	65	93.47701263427734	0.057396047	Yes	
row_3	NFYB	128	50.03388595581055	0.07483343	Yes	
row_4	HLA-C	144	45.07378005981445	0.09421344	Yes	
row_5	HLA-A	157	39.745426177978516	0.11371745	Yes	
row_6	PSME1	193	32.29948425292969	0.13227081	Yes	
row_7	B2M	195	31.98060417175293	0.15222947	Yes	
row_8	CALR	493	12.371867179870605	0.1599537	Yes	
row_9	TAPBP	643	8.4173002243042	0.17379515	Yes	
row_10	HLA-E	712	7.441085338592529	0.19098453	Yes	
row_11	KLRC2	817	6.0743231773376465	0.20668595	Yes	
row_12	PSME2	878	5.5076422691345215	0.224206	Yes	
row_13	TAP2	925	5.078284740447998	0.2423047	Yes	
row_14	PDIA3	1069	4.003505706787109	0.25639415	Yes	
row_15	HSPA1B	1107	3.7863850593566895	0.27486482	Yes	
row_16	CD74	1296	2.8174304962158203	0.28709432	Yes	
row_17	HSPA5	1360	2.557912826538086	0.30449036	Yes	
row_18	HLA-DOB	1470	2.2369329929351807	0.31998512	Yes	
row_19	RFXAP	1752	1.5774329900741577	0.32837066	Yes	
row_20	LGMN	1770	1.539061427116394	0.34766802	Yes	
row_21	CANX	1921	1.3162593841552734	0.36146814	Yes	
row_22	RFX5	2469	0.7781471014022827	0.3588592	Yes	
row_23	HSP90AB1	2511	0.7540778517723083	0.37716457	Yes	
row_24	CIITA	2615	0.6866149306297302	0.39290732	Yes	
row_25	CTSL	3197	0.4226788282394409	0.3888931	Yes	
row_26	HLA-DRA	3724	0.28488510847091675	0.38715217	Yes	
row_27	CTSS	3897	0.2508732080459595	0.40004298	Yes	
row_28	CREB1	4190	0.20068609714508057	0.40797386	Yes	
row_29	HLA-DPA1	5599	0.07328979671001434	0.36977762	No	
row_30	IFI30	5926	0.05768495425581932	0.3763032	No	
row_31	CTSB	6310	0.04232682287693024	0.38047284	No	
row_32	LTA	6519	0.0354531854391098	0.39187565	No	
row_33	HLA-DMB	6642	0.031903065741062164	0.40683308	No	
row_34	HSP90AA1	8021	0.007555224001407623	0.3698768	No	
row_35	CD8A	8734	0.002303263172507286	0.36044803	No	
row_36	HSPA8	10353	-1.1087675375165418E-5	0.31357196	No	
row_37	HSPA4	10357	-1.2249617611814756E-5	0.33344793	No	
row_38	RFXANK	10714	-3.5321558243595064E-4	0.33873355	No	
row_39	HLA-DRB1	11723	-0.004420197568833828	0.31707034	No	
row_40	HLA-DMA	12316	-0.009289347566664219	0.31260145	No	
row_41	PSME3	12690	-0.013345973566174507	0.31718442	No	
row_42	HSPA1L	13135	-0.019063305109739304	0.31883276	No	
row_43	HLA-DQB1	17510	-0.2129094898700714	0.15804413	No	
row_44	HSPA6	19259	-0.4732424020767212	0.10579481	No	
row_45	HSPA2	19860	-0.6187371015548706	0.10099527	No	
row_46	HSPA1A	20927	-1.0943001508712769	0.07693476	No	
row_47	NFYC	20944	-1.1058311462402344	0.09627344	No	
row_48	NFYA	22200	-2.590087890625	0.064401075	No	
row_49	HLA-G	23869	-32.10352325439453	0.015458362	No	
