NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CASP8	438	14.013992309570312	-0.00546716	Yes	
row_1	CASP3	499	12.18275260925293	0.004708138	Yes	
row_2	TRAF2	596	9.431550979614258	0.013393679	Yes	
row_3	MAP3K14	908	5.243232250213623	0.013182053	Yes	
row_4	CFLAR	1094	3.830578327178955	0.01818458	Yes	
row_5	PIK3R1	1113	3.7705750465393066	0.03009793	Yes	
row_6	BCL2L1	1299	2.808366537094116	0.035100456	Yes	
row_7	RELA	1345	2.607870101928711	0.04589649	Yes	
row_8	PRKACB	1349	2.587298631668091	0.05843057	Yes	
row_9	PIK3CD	1430	2.3476040363311768	0.06777822	Yes	
row_10	BCL2	1506	2.146711587905884	0.07733279	Yes	
row_11	ENDOG	1530	2.076376438140869	0.08903923	Yes	
row_12	RIPK1	1550	2.0282294750213623	0.10091119	Yes	
row_13	CASP10	1606	1.901507019996643	0.111293405	Yes	
row_14	AKT3	1633	1.8336325883865356	0.1228757	Yes	
row_15	IKBKB	1667	1.7392661571502686	0.13416831	Yes	
row_16	IKBKG	1957	1.2702324390411377	0.1348671	Yes	
row_17	IL1R1	2146	1.0619481801986694	0.13974547	Yes	
row_18	BAD	2234	0.970659077167511	0.14880346	Yes	
row_19	TNFSF10	2530	0.7448297142982483	0.14925395	Yes	
row_20	AIFM1	2614	0.6873164176940918	0.15847746	Yes	
row_21	FADD	2730	0.6243413090705872	0.16637674	Yes	
row_22	NGF	2743	0.6201413869857788	0.17853838	Yes	
row_23	BAX	2918	0.5427011251449585	0.18399611	Yes	
row_24	NFKBIA	3084	0.4664573669433594	0.18982628	Yes	
row_25	TNFRSF10B	3711	0.2874387502670288	0.17657927	No	
row_26	CYCS	4614	0.1491113305091858	0.15191078	No	
row_27	TRADD	4709	0.13884708285331726	0.16067909	No	
row_28	CASP7	4717	0.13800665736198425	0.17304765	No	
row_29	PRKX	5174	0.10033098608255386	0.1668356	No	
row_30	PIK3CA	5552	0.07622789591550827	0.16389276	No	
row_31	IRAK4	6347	0.04146963357925415	0.14369355	No	
row_32	PRKACA	7328	0.016469812020659447	0.11579725	No	
row_33	PRKAR1B	7690	0.011152692139148712	0.11351652	No	
row_34	MYD88	7899	0.008688277564942837	0.117567256	No	
row_35	CHP1	7969	0.008070345036685467	0.12737012	No	
row_36	NFKB1	8863	0.0018083024770021439	0.10307407	No	
row_37	PPP3R1	9371	3.1628666329197586E-4	0.09475154	No	
row_38	IL1RAP	9739	5.889344720344525E-6	0.09222251	No	
row_39	TNF	10265	0.0	0.0831551	No	
row_40	AKT2	10474	-6.654558092122898E-5	0.08720584	No	
row_41	XIAP	10508	-8.527213503839448E-5	0.098498456	No	
row_42	APAF1	10825	-5.234655109234154E-4	0.09807992	No	
row_43	PRKAR1A	10859	-6.152489804662764E-4	0.10937254	No	
row_44	IRAK3	11805	-0.004995239898562431	0.08292462	No	
row_45	AKT1	11870	-0.005537042394280434	0.09293439	No	
row_46	CHUK	12549	-0.011823317036032677	0.07753551	No	
row_47	BIRC3	13087	-0.018271945416927338	0.06797151	No	
row_48	DFFB	13312	-0.02158557064831257	0.07136014	No	
row_49	DFFA	13674	-0.02819403074681759	0.06907941	No	
row_50	TNFRSF1A	15233	-0.07372913509607315	0.017264219	No	
row_51	BID	15242	-0.0741095319390297	0.02959139	No	
row_52	NTRK1	15312	-0.07624611258506775	0.03939425	No	
row_53	PIK3R2	15597	-0.08732226490974426	0.04029994	No	
row_54	IL1A	15745	-0.09308089315891266	0.046874993	No	
row_55	CAPN1	17605	-0.22264082729816437	-0.017396225	No	
row_56	IRAK1	18391	-0.31635111570358276	-0.037222996	No	
row_57	PPP3CC	19017	-0.4221147298812866	-0.05042862	No	
row_58	PPP3CA	19156	-0.45051145553588867	-0.043481134	No	
row_59	IL1B	19910	-0.6353527307510376	-0.061983675	No	
row_60	CAPN2	20023	-0.6725666522979736	-0.05396025	No	
row_61	PIK3CB	20106	-0.6982958316802979	-0.04469536	No	
row_62	PRKAR2A	20296	-0.773246705532074	-0.03985836	No	
row_63	ATM	20307	-0.7773439288139343	-0.027613953	No	
row_64	PIK3CG	20677	-0.9590804576873779	-0.030225744	No	
row_65	CASP9	20691	-0.9652325510978699	-0.018105485	No	
row_66	CHP2	21294	-1.329914927482605	-0.030359318	No	
row_67	BIRC2	21766	-1.822089672088623	-0.03719209	No	
row_68	CASP6	22270	-2.7636382579803467	-0.04534909	No	
row_69	ENDOD1	22271	-2.7660815715789795	-0.032690864	No	
row_70	EXOG	22359	-2.9996163845062256	-0.023632884	No	
row_71	FAS	22743	-4.5492262840271	-0.026824025	No	
row_72	IRAK2	22760	-4.640380859375	-0.014827912	No	
row_73	PIK3R3	22788	-4.814421653747559	-0.003287002	No	
row_74	PPP3CB	22902	-5.537825107574463	0.0046950416	No	
row_75	TNFRSF10A	23028	-6.51345682144165	0.012180499	No	
row_76	TP53	23161	-7.770926475524902	0.019376282	No	
row_77	PRKAR2B	23649	-18.934188842773438	0.011881395	No	
row_78	TNFRSF10D	23996	-49.09965896606445	0.010221394	No	
