NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	L1CAM	225	27.8431339263916	-0.001062736	No	
row_1	SEMA5A	383	16.570343017578125	6.934146E-4	No	
row_2	SLIT2	526	11.267511367797852	0.0030713785	No	
row_3	CXCR4	549	10.683996200561523	0.010423848	No	
row_4	RGS3	774	6.542903423309326	0.009402567	No	
row_5	SEMA3B	1230	3.1461312770843506	-0.0011946392	No	
row_6	NFATC3	1347	2.604020357131958	0.0022611343	No	
row_7	PLXNA1	2350	0.8723729252815247	-0.031011527	No	
row_8	SRGAP1	2465	0.778810977935791	-0.027472846	No	
row_9	NRAS	2986	0.5092548131942749	-0.040764574	No	
row_10	NFAT5	3080	0.4677501618862152	-0.036355354	No	
row_11	SEMA3E	3284	0.3971017003059387	-0.036506098	No	
row_12	PLXNC1	3441	0.34836888313293457	-0.034708492	No	
row_13	PLXNB3	3483	0.33838656544685364	-0.028143654	No	
row_14	RHOA	3586	0.3157373368740082	-0.024107521	No	
row_15	ABLIM2	3627	0.3072512149810791	-0.017501228	No	
row_16	SEMA6D	4440	0.16894018650054932	-0.04289759	No	
row_17	RND1	4474	0.16483081877231598	-0.036001116	No	
row_18	CFL1	4496	0.1618226319551468	-0.02860719	No	
row_19	GNAI2	4725	0.13731198012828827	-0.029794289	No	
row_20	GSK3B	5045	0.11023862659931183	-0.03475372	No	
row_21	SEMA4D	5320	0.08999168127775192	-0.037847713	No	
row_22	UNC5B	5386	0.08554191142320633	-0.032277774	No	
row_23	RAC1	5587	0.07410924881696701	-0.032304157	No	
row_24	NTN3	6111	0.049084775149822235	-0.04572025	No	
row_25	EPHA6	6495	0.0361035093665123	-0.05333275	No	
row_26	PAK2	6563	0.03421839326620102	-0.04784572	No	
row_27	PLXNA3	6592	0.033301908522844315	-0.040741976	No	
row_28	SRGAP2	7058	0.021500959992408752	-0.051753722	No	
row_29	EPHA4	7296	0.017095493152737617	-0.05331391	No	
row_30	GNAI1	7685	0.011171321384608746	-0.061133683	No	
row_31	SEMA6A	7949	0.008199759759008884	-0.06377168	No	
row_32	CHP1	7969	0.008070345036685467	-0.056294847	No	
