NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OXTR	139	46.32088851928711	0.0017537936	No	
row_1	EDNRB	543	10.907930374145508	-0.0074417726	No	
row_2	PDGFRB	639	8.497727394104004	-0.0038630858	No	
row_3	GNA14	680	7.783198833465576	0.0019967176	No	
row_4	PLCD3	725	7.223127841949463	0.0076906215	No	
row_5	PLCB2	729	7.116369247436523	0.015084994	No	
row_6	PTGER3	835	5.899083137512207	0.018248932	No	
row_7	TNNC1	850	5.7264909744262695	0.025187083	No	
row_8	MYLK	881	5.476113796234131	0.031461634	No	
row_9	SLC25A4	910	5.1993818283081055	0.037819136	No	
row_10	ITPR2	1020	4.338852405548096	0.040817175	No	
row_11	CACNA1C	1032	4.237015247344971	0.047879748	No	
row_12	PRKACB	1349	2.587298631668091	0.042292494	No	
row_13	PTGFR	1384	2.50227427482605	0.048401147	No	
row_14	ITPR1	1437	2.3353829383850098	0.05376325	No	
row_15	PDE1C	1548	2.0300729274749756	0.056719813	No	
row_16	BDKRB2	1960	1.2667580842971802	0.04719245	No	
row_17	CHRNA7	2390	0.8342509269714355	0.03691854	No	
row_18	PLCB4	2517	0.7517098784446716	0.039211504	No	
row_19	GRPR	2932	0.5330095887184143	0.029559717	No	
row_20	P2RX6	3009	0.49721699953079224	0.033926424	No	
row_21	PLCG2	3083	0.46674782037734985	0.03841756	No	
row_22	CAMK2B	3596	0.3128747045993805	0.024701234	No	
row_23	SPHK2	3830	0.2636459767818451	0.022556392	No	
row_24	ATP2B4	3892	0.2518647015094757	0.027545223	No	
row_25	PLCD4	4721	0.13765841722488403	7.2284753E-4	No	
row_26	ADCY9	4813	0.12924768030643463	0.004467434	No	
row_27	PLCB3	4883	0.12355442345142365	0.009124466	No	
row_28	PDE1A	5101	0.10515036433935165	0.007643222	No	
row_29	VDAC3	5166	0.10069986432790756	0.012507629	No	
row_30	PRKX	5174	0.10033098608255386	0.019736102	No	
row_31	PHKG2	5715	0.06763598322868347	0.004858482	No	
row_32	PPID	5944	0.056917428970336914	0.0029210143	No	
row_33	TRPC1	5981	0.05480064079165459	0.008946717	No	
row_34	MYLK3	6594	0.03324262052774429	-0.008917091	No	
row_35	SLC25A5	6993	0.022968372330069542	-0.017905284	No	
row_36	PLCG1	7022	0.022374117746949196	-0.011547782	No	
row_37	GRIN2C	7062	0.02145378477871418	-0.005646504	No	
row_38	PRKACA	7328	0.016469812020659447	-0.009118541	No	
row_39	ITPKA	7402	0.015395782887935638	-0.0046274075	No	
row_40	PTK2B	7827	0.009448565542697906	-0.014693946	No	
row_41	CHP1	7969	0.008070345036685467	-0.013023102	No	
row_42	GNA11	8047	0.00726323900744319	-0.008697867	No	
row_43	CALM2	8498	0.0036441953852772713	-0.019842751	No	
row_44	ATP2A2	8510	0.003546935273334384	-0.012780177	No	
row_45	MYLK2	8676	0.0026153218932449818	-0.01210473	No	
row_46	CACNA1B	8885	0.0017096622614189982	-0.0132127	No	
row_47	ERBB4	9011	0.001195726334117353	-0.010878259	No	
row_48	CALM3	9042	0.0010861876653507352	-0.0046037077	No	
row_49	PPP3R1	9371	3.1628666329197586E-4	-0.01068866	No	
row_50	CACNA1S	9857	0.0	-0.023285164	No	
row_51	CACNA1I	10576	-1.51086671394296E-4	-0.045545306	No	
row_52	ATP2B1	10980	-9.449545759707689E-4	-0.054740872	No	
row_53	RYR1	11143	-0.001507248729467392	-0.053941	No	
row_54	GNAS	11410	-0.002752330619841814	-0.05745451	No	
row_55	CD38	11835	-0.005236324854195118	-0.06752105	No	
row_56	GNAQ	11862	-0.005461469758301973	-0.061080597	No	
row_57	CALML3	12152	-0.007752465549856424	-0.06554803	No	
row_58	PHKG1	12741	-0.013878257013857365	-0.082416445	No	
row_59	VDAC1	13066	-0.018003111705183983	-0.0883355	No	
row_60	P2RX7	13181	-0.019646279513835907	-0.08554483	No	
row_61	NOS3	13203	-0.020037470385432243	-0.07889701	No	
row_62	NOS2	13610	-0.027104895561933517	-0.088217	No	
row_63	TNNC2	14069	-0.036875512450933456	-0.09969368	No	
row_64	LTB4R2	14126	-0.03810267150402069	-0.09449747	No	
row_65	PRKCG	14196	-0.04007048159837723	-0.08984044	No	
row_66	TBXA2R	14345	-0.04376983642578125	-0.088459924	No	
row_67	ITPKB	14591	-0.05043133720755577	-0.091102466	No	
row_68	ADORA2A	15767	-0.0941230058670044	-0.1323166	No	
row_69	ADCY7	15950	-0.10251036286354065	-0.13234623	No	
row_70	SLC8A2	16107	-0.11029981821775436	-0.13129751	No	
row_71	ATP2B2	16340	-0.12339111417531967	-0.13340089	No	
row_72	ATP2A1	16487	-0.13257187604904175	-0.13193741	No	
row_73	EDNRA	16578	-0.1384933441877365	-0.12815136	No	
row_74	PHKA2	16619	-0.1411210149526596	-0.12229155	No	
row_75	GRIN2A	16831	-0.15673930943012238	-0.12352394	No	
row_76	PRKCA	17056	-0.17257028818130493	-0.1252955	No	
row_77	HTR6	17320	-0.19606171548366547	-0.1286846	No	
row_78	CACNA1H	17628	-0.22557103633880615	-0.13389859	Yes	
row_79	PTGER1	17722	-0.23477348685264587	-0.13023694	Yes	
row_80	CAMK4	17840	-0.24729394912719727	-0.1275707	Yes	
row_81	SPHK1	17970	-0.2625359892845154	-0.12540217	Yes	
row_82	CALM1	18293	-0.30379602313041687	-0.13123827	Yes	
row_83	CALML5	18298	-0.3046967387199402	-0.12388536	Yes	
row_84	ERBB2	18326	-0.3081415593624115	-0.11748639	Yes	
row_85	ADRA1D	18365	-0.31366029381752014	-0.11154363	Yes	
row_86	PLCB1	18523	-0.3335420489311218	-0.11053639	Yes	
row_87	PRKCB	18731	-0.36661702394485474	-0.11160289	Yes	
row_88	PPP3CC	19017	-0.4221147298812866	-0.11590442	Yes	
row_89	PLCE1	19027	-0.42292872071266174	-0.1087589	Yes	
row_90	PPP3CA	19156	-0.45051145553588867	-0.10654888	Yes	
row_91	BDKRB1	19255	-0.47261059284210205	-0.103094615	Yes	
row_92	ADCY3	19671	-0.5724582672119141	-0.11278788	Yes	
row_93	CACNA1G	19870	-0.6225758194923401	-0.113481104	Yes	
row_94	TACR1	19916	-0.6376175284385681	-0.10782868	Yes	
row_95	P2RX5	20013	-0.6681172847747803	-0.10429146	Yes	
row_96	F2R	20087	-0.6900151371955872	-0.09980033	Yes	
