NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1S	8	455.0411071777344	0.024059705	Yes	
row_1	C4BPB	206	30.00404167175293	0.04031046	Yes	
row_2	C1R	287	22.869909286499023	0.06139533	Yes	
row_3	CFB	325	19.966955184936523	0.084256835	Yes	
row_4	F8	436	14.192390441894531	0.10410219	Yes	
row_5	PROS1	478	12.824678421020508	0.12679842	Yes	
row_6	C4B	490	12.455636978149414	0.15073419	Yes	
row_7	CFD	871	5.543571949005127	0.15942389	Yes	
row_8	CD55	1683	1.713732123374939	0.1503059	Yes	
row_9	C5AR1	1806	1.4929981231689453	0.16965544	Yes	
row_10	C5	1893	1.361580729484558	0.1904924	Yes	
row_11	C2	1908	1.338287591934204	0.21430421	Yes	
row_12	BDKRB2	1960	1.2667580842971802	0.23658727	Yes	
row_13	SERPINE1	3653	0.30005356669425964	0.19106883	No	
row_14	C8G	4436	0.1696031391620636	0.18314902	No	
row_15	TFPI	6229	0.0448562353849411	0.13349886	No	
row_16	CFI	6887	0.025360023602843285	0.13074371	No	
row_17	VWF	7541	0.01285618357360363	0.12815383	No	
row_18	CD46	7935	0.008328397758305073	0.13630642	No	
row_19	C3AR1	9853	0.0	0.081491604	No	
row_20	C9	9855	0.0	0.10584053	No	
row_21	MASP2	10020	0.0	0.12345475	No	
row_22	PLAT	10632	-2.1609474788419902E-4	0.12260019	No	
row_23	SERPIND1	11091	-0.001276570837944746	0.12806717	No	
row_24	C4A	11421	-0.0028184440452605486	0.13886406	No	
row_25	CFH	11621	-0.003848609048873186	0.15503217	No	
row_26	F3	11808	-0.005023168865591288	0.17173742	No	
row_27	CR2	13385	-0.022807415574789047	0.13101177	No	
row_28	SERPINF2	13749	-0.02945764735341072	0.14040387	No	
row_29	C3	13946	-0.033696699887514114	0.15669595	No	
row_30	PROC	17843	-0.24749095737934113	0.020114409	No	
row_31	SERPING1	18339	-0.3102303147315979	0.024052642	No	
row_32	BDKRB1	19255	-0.47261059284210205	0.010637655	No	
row_33	F2R	20087	-0.6900151371955872	6.933122E-4	No	
row_34	C6	20455	-0.8377113342285156	0.009920146	No	
row_35	PLAUR	22499	-3.468733549118042	-0.050100632	No	
row_36	CD59	22671	-4.139928817749023	-0.03277563	No	
row_37	THBD	23348	-10.656824111938477	-0.036315806	No	
row_38	F12	23825	-28.1763973236084	-0.031592548	No	
row_39	PLAU	23868	-32.01420211791992	-0.008937626	No	
row_40	SERPINA1	23906	-35.9147834777832	0.013923881	No	
