NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL5	76	84.3391342163086	0.02463832	Yes	
row_1	IL6	234	27.40949821472168	0.04593064	Yes	
row_2	ADAR	362	17.26746940612793	0.068462215	Yes	
row_3	IRF7	392	15.987170219421387	0.09504204	Yes	
row_4	IFNB1	606	9.116430282592773	0.11402108	Yes	
row_5	POLR3K	614	8.933110237121582	0.1415097	Yes	
row_6	CXCL10	1096	3.8245530128479004	0.14941801	Yes	
row_7	RELA	1345	2.607870101928711	0.16695124	Yes	
row_8	RIPK1	1550	2.0282294750213623	0.18630205	Yes	
row_9	CASP1	1561	1.9906193017959595	0.21366674	Yes	
row_10	IKBKB	1667	1.7392661571502686	0.23710711	Yes	
row_11	TBK1	1673	1.7298942804336548	0.26467833	Yes	
row_12	IKBKG	1957	1.2702324390411377	0.28076577	Yes	
row_13	ZBP1	2229	0.9754736423492432	0.2973489	Yes	
row_14	NFKBIB	2267	0.9363238215446472	0.32359827	Yes	
row_15	NFKBIA	3084	0.4664573669433594	0.31766817	Yes	
row_16	IRF3	3505	0.33444786071777344	0.3280963	Yes	
row_17	AIM2	4032	0.2273041009902954	0.33414572	Yes	
row_18	POLR3G	4865	0.12495581805706024	0.3275547	No	
row_19	IKBKE	6535	0.034860651940107346	0.28638834	No	
row_20	POLR1D	6635	0.03212391212582588	0.31007656	No	
row_21	POLR3C	6977	0.023280885070562363	0.32376808	No	
row_22	POLR3H	7684	0.011173747479915619	0.32238194	No	
row_23	NFKB1	8863	0.0018083024770021439	0.30149812	No	
row_24	PYCARD	9081	9.88223822787404E-4	0.3203119	No	
row_25	CHUK	12549	-0.011823317036032677	0.20487256	No	
row_26	POLR3GL	12685	-0.013307747431099415	0.22707368	No	
row_27	POLR3D	14267	-0.04189639165997505	0.18954247	No	
row_28	RIPK3	15473	-0.08217564225196838	0.1675433	No	
row_29	POLR1C	15711	-0.0917210802435875	0.18553093	No	
row_30	POLR3B	17431	-0.20530883967876434	0.14229913	No	
row_31	IL1B	19910	-0.6353527307510376	0.06771404	No	
row_32	MAVS	20934	-1.0992605686187744	0.05323306	No	
row_33	POLR3A	21276	-1.3141534328460693	0.06692459	No	
row_34	IL18	22726	-4.475234508514404	0.034846116	No	
row_35	POLR3F	22808	-4.9304609298706055	0.059277892	No	
