NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TYMP	75	85.86297607421875	0.032617163	Yes	
row_1	UGT1A9	399	15.782320976257324	0.05499316	Yes	
row_2	TPMT	838	5.885570526123047	0.072620235	Yes	
row_3	CES2	1223	3.1765005588531494	0.09247724	Yes	
row_4	UMPS	1609	1.894871711730957	0.112292945	Yes	
row_5	GMPS	1700	1.6898003816604614	0.14429069	Yes	
row_6	UCK1	1749	1.5862799882888794	0.1780228	Yes	
row_7	TK1	2161	1.048586368560791	0.19676484	Yes	
row_8	UGT1A10	2377	0.8452905416488647	0.2236007	Yes	
row_9	IMPDH1	2758	0.6149570941925049	0.24362288	Yes	
row_10	UPP1	4169	0.20387624204158783	0.22111121	Yes	
row_11	TK2	4197	0.1994790881872177	0.25571054	Yes	
row_12	CDA	5099	0.10532354563474655	0.254218	Yes	
row_13	HPRT1	5871	0.05993328243494034	0.25809386	Yes	
row_14	CYP3A5	6261	0.04372043535113335	0.27774438	Yes	
row_15	DPYD	7259	0.017679689452052116	0.27228755	Yes	
row_16	NAT1	7588	0.01238938607275486	0.29445708	Yes	
row_17	GUSB	12103	-0.00734599819406867	0.14376567	No	
row_18	UCK2	12508	-0.011444254778325558	0.16279678	No	
row_19	UGT1A7	12875	-0.015354586765170097	0.1833971	No	
row_20	IMPDH2	16645	-0.14228405058383942	0.06347049	No	
row_21	UCKL1	18337	-0.3100074231624603	0.029354911	No	
row_22	UGT2B7	20690	-0.9637075662612915	-0.032056663	No	
row_23	ITPA	20743	-0.9887998104095459	0.0015102819	No	
row_24	UGT1A1	21406	-1.4338607788085938	0.0098872725	No	
row_25	UGT1A6	22214	-2.6123528480529785	0.0122764865	No	
row_26	UGT1A4	23051	-6.6796135902404785	0.013468145	No	
row_27	XDH	24091	-73.12559509277344	0.0062769167	No	
