NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A2	45	138.82688903808594	0.012631327	No	
row_1	COL3A1	469	13.183286666870117	0.009626667	No	
row_2	CD47	653	8.218254089355469	0.016549617	No	
row_3	RELN	672	7.976297855377197	0.0302978	No	
row_4	VTN	734	7.072392463684082	0.042267285	No	
row_5	COL5A1	970	4.619936466217041	0.047039255	No	
row_6	ITGB5	1039	4.193174362182617	0.058719184	No	
row_7	LAMB2	1141	3.5805857181549072	0.06903407	No	
row_8	SDC2	2640	0.671454906463623	0.021561986	No	
row_9	ITGA1	2680	0.6512718200683594	0.034441505	No	
row_10	COL1A2	3137	0.445557564496994	0.030071797	No	
row_11	GP6	3450	0.3461898863315582	0.031658657	No	
row_12	CD36	4042	0.22561664879322052	0.02170467	No	
row_13	ITGA11	4121	0.21287520229816437	0.03297095	No	
row_14	ITGB3	4181	0.20178984105587006	0.045023166	No	
row_15	ITGAV	4662	0.14373598992824554	0.0396607	No	
row_16	THBS3	4722	0.13750538229942322	0.051712915	No	
row_17	AGRN	5843	0.06144723668694496	0.019876817	No	
row_18	ITGA2B	6447	0.03777570277452469	0.009426449	No	
row_19	LAMC1	6481	0.036532849073410034	0.022554157	No	
row_20	VWF	7541	0.01285618357360363	-0.006758672	No	
row_21	DAG1	8824	0.0019342285813763738	-0.045295905	No	
row_22	COL4A2	8900	0.0016430072719231248	-0.03390553	No	
row_23	ITGA3	9352	3.4343815059401095E-4	-0.03806841	No	
row_24	THBS4	10616	-2.022221015067771E-4	-0.07581971	No	
row_25	ITGA5	10667	-2.670388203114271E-4	-0.06339521	No	
row_26	SV2A	10788	-4.7782427282072604E-4	-0.05386626	No	
row_27	COL11A2	10971	-9.159903856925666E-4	-0.046901945	No	
row_28	COL4A4	11977	-0.00637053232640028	-0.07398106	No	
row_29	COL4A1	12081	-0.007213281467556953	-0.0637489	No	
row_30	ITGA7	12726	-0.013723975047469139	-0.07589524	No	
row_31	TNXB	13322	-0.021711107343435287	-0.08601469	No	
row_32	LAMA4	13372	-0.022549495100975037	-0.07354882	No	
row_33	FN1	14973	-0.06411443650722504	-0.12524015	No	
row_34	COL6A1	15326	-0.0767284706234932	-0.12530789	No	
row_35	COL6A3	15779	-0.09456001222133636	-0.12951213	No	
row_36	ITGB7	16959	-0.16514426469802856	-0.16378877	No	
row_37	TNN	17094	-0.17578735947608948	-0.15483892	No	
row_38	COL1A1	17210	-0.18611103296279907	-0.14510316	No	
row_39	THBS1	18394	-0.3167143762111664	-0.17954524	No	
row_40	COL5A3	18489	-0.3285520374774933	-0.16894081	No	
row_41	ITGA10	18565	-0.3397633135318756	-0.15755042	No	
row_42	LAMA2	18653	-0.3549092710018158	-0.14665644	No	
row_43	SV2B	20370	-0.8035891652107239	-0.2031461	Yes	
row_44	HMMR	20493	-0.8539121747016907	-0.19369988	Yes	
row_45	ITGA4	20603	-0.9172747731208801	-0.18371591	Yes	
row_46	SPP1	20686	-0.9625785946846008	-0.1726151	Yes	
row_47	LAMA5	20777	-1.0066032409667969	-0.16184519	Yes	
row_48	HSPG2	21377	-1.403148889541626	-0.17213011	Yes	
row_49	SDC4	21389	-1.4160152673721313	-0.15809236	Yes	
row_50	LAMB4	21409	-1.4352539777755737	-0.14438555	Yes	
row_51	ITGB1	21840	-1.9254227876663208	-0.14767976	Yes	
row_52	LAMB1	22168	-2.531961679458618	-0.14671338	Yes	
row_53	THBS2	22185	-2.566507577896118	-0.13288246	Yes	
row_54	COL6A2	22198	-2.58858323097229	-0.11888609	Yes	
row_55	ITGB4	22592	-3.8332910537719727	-0.1206498	Yes	
row_56	SDC3	22752	-4.580832481384277	-0.11273409	Yes	
row_57	CD44	23059	-6.77090311050415	-0.11089904	Yes	
row_58	ITGA2	23245	-8.952479362487793	-0.10405882	Yes	
row_59	LAMA3	23253	-9.110209465026855	-0.08985562	Yes	
row_60	TNC	23395	-11.45742130279541	-0.08119534	Yes	
row_61	ITGA6	23423	-12.039847373962402	-0.06781944	Yes	
row_62	LAMA1	23488	-13.394648551940918	-0.05597405	Yes	
row_63	ITGB8	23583	-15.981243133544922	-0.04536961	Yes	
row_64	COL4A6	23609	-17.05475616455078	-0.031910982	Yes	
row_65	LAMC2	23732	-22.40951919555664	-0.022464763	Yes	
row_66	LAMB3	23746	-23.032567977905273	-0.008509755	Yes	
row_67	SDC1	23938	-40.521446228027344	-0.0019177253	Yes	
row_68	ITGB6	24061	-62.7504997253418	0.007528493	Yes	
