NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	69	90.20176696777344	0.01327567	Yes	
row_1	CCL5	76	84.3391342163086	0.029156582	Yes	
row_2	CASP3	499	12.18275260925293	0.027834618	Yes	
row_3	ATP6V1G1	591	9.505598068237305	0.04020052	Yes	
row_4	ATP6V0E1	796	6.327328205108643	0.047893524	Yes	
row_5	MAP3K14	908	5.243232250213623	0.059432365	Yes	
row_6	ATP6V1C1	1088	3.863872528076172	0.0681592	Yes	
row_7	ATP6V1B2	1135	3.6358492374420166	0.08238599	Yes	
row_8	RELA	1345	2.607870101928711	0.089872226	Yes	
row_9	ATP6V1A	1425	2.367753267288208	0.102734365	Yes	
row_10	ATP6AP1	1441	2.316826343536377	0.118243106	Yes	
row_11	IKBKB	1667	1.7392661571502686	0.1250677	Yes	
row_12	IKBKG	1957	1.2702324390411377	0.12924568	Yes	
row_13	ATP6V0D1	2281	0.9263273477554321	0.13201767	Yes	
row_14	ATP6V1E1	2486	0.7688954472541809	0.13971068	Yes	
row_15	ADAM10	2970	0.5148751139640808	0.13586618	Yes	
row_16	PLCG2	3083	0.46674782037734985	0.14736366	Yes	
row_17	NFKBIA	3084	0.4664573669433594	0.1634927	Yes	
row_18	ATP6V1D	3404	0.3553975224494934	0.1664301	Yes	
row_19	ATP6V1H	3479	0.33918333053588867	0.179499	Yes	
row_20	MAPK14	3782	0.2733078896999359	0.18313941	Yes	
row_21	ATP6V0A2	4136	0.2092743068933487	0.1846708	Yes	
row_22	LYN	4168	0.20412680506706238	0.19951789	Yes	
row_23	ATP6V0C	4956	0.11781998723745346	0.18310206	No	
row_24	RAC1	5587	0.07410924881696701	0.17317866	No	
row_25	ATP6V1F	6228	0.0448736697435379	0.16284172	No	
row_26	TCIRG1	6590	0.03344457224011421	0.1640423	No	
row_27	PLCG1	7022	0.022374117746949196	0.16234815	No	
row_28	NOD1	8145	0.0063975658267736435	0.13207904	No	
row_29	NFKB1	8863	0.0018083024770021439	0.11855791	No	
row_30	ATP6V0E2	9076	0.0010004881769418716	0.12592009	No	
row_31	TJP1	9082	9.87370265647769E-4	0.14184237	No	
row_32	MAPK12	9264	5.364720127545297E-4	0.15048648	No	
row_33	ATP6V1C2	9309	4.388644883874804E-4	0.16479598	No	
row_34	ATP6V1G2	9588	8.812491432763636E-5	0.16942886	No	
row_35	PAK1	10856	-6.111451657488942E-4	0.13316354	No	
row_36	MAP2K4	11740	-0.004550959449261427	0.112777814	No	
row_37	CHUK	12549	-0.011823317036032677	0.09549356	No	
row_38	CXCL1	12810	-0.014585531316697598	0.100870796	No	
row_39	CXCL8	12895	-0.015598333440721035	0.11352617	No	
row_40	ATP6V0B	13131	-0.019026262685656548	0.11993723	No	
row_41	SRC	14198	-0.040141984820365906	0.091983885	No	
row_42	MAPK9	14510	-0.048365894705057144	0.09525211	No	
row_43	ATP6V0A1	15507	-0.08337003737688065	0.070193484	No	
row_44	PTPRZ1	15917	-0.10106417536735535	0.06940911	No	
row_45	ADAM17	15998	-0.10439256578683853	0.0822299	No	
row_46	MAPK11	16784	-0.1539754718542099	0.065896764	No	
row_47	PTPN11	18044	-0.27273204922676086	0.02996228	No	
row_48	CSK	19055	-0.4283455014228821	0.004324709	No	
row_49	GIT1	19733	-0.5891873240470886	-0.0075422893	No	
row_50	JUN	19880	-0.6256341338157654	0.002549194	No	
row_51	JAM2	20048	-0.676543653011322	0.011772263	No	
row_52	F11R	20203	-0.736454427242279	0.021532921	No	
row_53	CDC42	20395	-0.8126510381698608	0.029763516	No	
row_54	MAPK13	20439	-0.8313834071159363	0.044114366	No	
row_55	JAM3	21818	-1.8841825723648071	0.003258864	No	
row_56	MAPK8	22531	-3.611987590789795	-0.010055492	No	
row_57	EGFR	22712	-4.404187202453613	-0.0013700132	No	
row_58	MAPK10	23287	-9.536355018615723	-0.008977645	No	
row_59	MET	23436	-12.390091896057129	0.0010311321	No	
row_60	ATP6V1E2	23632	-18.09233283996582	0.009096315	No	
row_61	HBEGF	23954	-42.67570495605469	0.011951011	No	
