NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A2	45	138.82688903808594	0.0037166565	No	
row_1	RAP1B	292	22.636640548706055	-9.190664E-4	No	
row_2	MYL9	341	18.416215896606445	0.0026729275	No	
row_3	COL3A1	469	13.183286666870117	0.0029821456	No	
row_4	PDGFRB	639	8.497727394104004	0.0015460905	No	
row_5	RELN	672	7.976297855377197	0.0058029504	No	
row_6	VTN	734	7.072392463684082	0.008854741	No	
row_7	MYLK	881	5.476113796234131	0.00837443	No	
row_8	VEGFB	896	5.3683366775512695	0.013379265	No	
row_9	PARVA	897	5.367715835571289	0.018965857	No	
row_10	FLT1	931	5.0087175369262695	0.023181163	No	
row_11	COL5A1	970	4.619936466217041	0.027188698	No	
row_12	ITGB5	1039	4.193174362182617	0.02994961	No	
row_13	PIK3R1	1113	3.7705750465393066	0.03250275	No	
row_14	LAMB2	1141	3.5805857181549072	0.03696738	No	
row_15	VEGFC	1251	3.0475497245788574	0.038024575	No	
row_16	ELK1	1418	2.387678623199463	0.03671318	No	
row_17	PIK3CD	1430	2.3476040363311768	0.041842677	No	
row_18	BCL2	1506	2.146711587905884	0.044312708	No	
row_19	ACTN1	1586	1.9450304508209229	0.046616524	No	
row_20	AKT3	1633	1.8336325883865356	0.050291628	No	
row_21	TLN1	1699	1.6917636394500732	0.0531772	No	
row_22	CCND3	2153	1.0583490133285522	0.039939776	No	
row_23	MYL5	2202	1.0048022270202637	0.043531768	No	
row_24	BAD	2234	0.970659077167511	0.047830183	No	
row_25	PPP1R12A	2333	0.8837406039237976	0.049344473	No	
row_26	FLNC	2480	0.7704944014549255	0.04886416	No	
row_27	ILK	2558	0.7265285849571228	0.051251084	No	
row_28	ITGA1	2680	0.6512718200683594	0.051809628	No	
row_29	KDR	3087	0.4631625711917877	0.040525246	No	
row_30	COL1A2	3137	0.445557564496994	0.044075686	No	
row_31	ACTN2	3551	0.3249155879020691	0.032500423	No	
row_32	RHOA	3586	0.3157373368740082	0.036674175	No	
row_33	ACTN4	3796	0.2707739472389221	0.033575956	No	
row_34	CRK	4087	0.21972838044166565	0.02711185	No	
row_35	ITGA11	4121	0.21287520229816437	0.03132716	No	
row_36	ITGB3	4181	0.20178984105587006	0.034462053	No	
row_37	PDPK1	4309	0.18644089996814728	0.034771275	No	
row_38	GRB2	4325	0.18383075296878815	0.039734554	No	
row_39	FLNA	4541	0.15697096288204193	0.036387008	No	
row_40	FLNB	4570	0.15330997109413147	0.040810086	No	
row_41	MYL12B	4620	0.1484242081642151	0.044360526	No	
row_42	ITGAV	4662	0.14373598992824554	0.048243396	No	
row_43	RASGRF1	4705	0.13893167674541473	0.052084718	No	
row_44	THBS3	4722	0.13750538229942322	0.05700644	No	
