NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LAP3	11	350.77203369140625	0.02454553	Yes	
row_1	G6PD	262	25.021242141723633	0.03921666	Yes	
row_2	IDH1	513	11.743525505065918	0.05388779	Yes	
row_3	MGST1	648	8.322531700134277	0.07335152	Yes	
row_4	GSR	811	6.175753116607666	0.091658406	Yes	
row_5	GSTM4	955	4.739658355712891	0.110750295	Yes	
row_6	GGT5	973	4.590771198272705	0.13504793	Yes	
row_7	GCLC	1593	1.9245647192001343	0.13447364	Yes	
row_8	GSTM2	2204	1.0012047290802002	0.1342712	Yes	
row_9	GSS	2209	0.9951297640800476	0.15910594	Yes	
row_10	GPX3	2477	0.7733802795410156	0.1730747	Yes	
row_11	GSTM3	2579	0.7147437334060669	0.19390184	Yes	
row_12	GGT7	2947	0.5247873663902283	0.20373906	Yes	
row_13	GCLM	3896	0.25111088156700134	0.18957198	Yes	
row_14	RRM1	4055	0.22407153248786926	0.20804413	Yes	
row_15	GPX1	4819	0.12876050174236298	0.20152041	Yes	
row_16	PGD	5962	0.05558918043971062	0.17933813	Yes	
row_17	RRM2B	6115	0.04891422763466835	0.19805817	Yes	
row_18	TXNDC12	6198	0.046045899391174316	0.21967031	Yes	
row_19	GPX7	6576	0.03383123129606247	0.22909437	Yes	
row_20	GSTT2	7149	0.019756419584155083	0.23046191	Yes	
row_21	GGCT	7238	0.01802823320031166	0.25182617	Yes	
row_22	MGST3	8484	0.0037344603333622217	0.22538838	No	
row_23	MGST2	8993	0.0012710721930488944	0.22940011	No	
row_24	SRM	9748	3.700198476508376E-6	0.22324823	No	
row_25	GSTK1	11229	-0.0017833574675023556	0.18710132	No	
row_26	IDH2	13479	-0.024273637682199478	0.119182795	No	
row_27	GSTA4	14784	-0.056972164660692215	0.0903074	No	
row_28	GPX4	14892	-0.06080705299973488	0.11088664	No	
row_29	SMS	15818	-0.09645722061395645	0.09766982	No	
row_30	GSTO1	16548	-0.13653114438056946	0.09255084	No	
row_31	ANPEP	17198	-0.18547634780406952	0.09073708	No	
row_32	RRM2	17604	-0.2224259078502655	0.09900431	No	
row_33	OPLAH	17942	-0.2593463659286499	0.110080995	No	
row_34	GSTZ1	22407	-3.1727802753448486	-0.04935133	No	
row_35	GGT6	22832	-5.05147647857666	-0.041869096	No	
row_36	GSTP1	23044	-6.6446990966796875	-0.025586661	No	
row_37	ODC1	23483	-13.313139915466309	-0.018682843	No	
row_38	GPX2	23497	-13.53247356414795	0.0057800557	No	
row_39	GSTO2	24190	-141.66619873046875	0.0021897403	No	
