NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B3GALT2	345	18.155256271362305	0.03337639	No	
row_1	GCNT2	1504	2.1593306064605713	0.033189632	No	
row_2	ST3GAL6	4092	0.2183769941329956	-0.025990643	No	
row_3	B4GAT1	4945	0.11843474209308624	-0.0135447765	No	
row_4	FUT4	7787	0.009972644969820976	-0.08321095	No	
row_5	B4GALT1	10543	-1.1262249608989805E-4	-0.14932679	No	
row_6	B4GALT4	14117	-0.037887152284383774	-0.24921218	No	
row_7	FUT9	14530	-0.048799067735672	-0.21860175	No	
row_8	B3GNT2	14744	-0.05515962466597557	-0.179776	No	
row_9	ST8SIA1	16622	-0.14130041003227234	-0.20964529	No	
row_10	ST3GAL3	16652	-0.1430693119764328	-0.16322345	No	
row_11	FUT1	20237	-0.7479175925254822	-0.26356295	No	
row_12	B4GALT3	21478	-1.5143256187438965	-0.2671349	Yes	
row_13	ST3GAL4	21519	-1.5536434650421143	-0.22116719	Yes	
row_14	B4GALT2	21711	-1.761232614517212	-0.18143322	Yes	
row_15	ABO	22174	-2.541883945465088	-0.15288694	Yes	
row_16	FUT3	22388	-3.10794997215271	-0.11406119	Yes	
row_17	B3GNT4	22452	-3.3338353633880615	-0.06904297	Yes	
row_18	B3GNT3	23490	-13.448893547058105	-0.06423448	Yes	
row_19	B3GALT5	23860	-30.60760498046875	-0.031848885	Yes	
row_20	B3GNT5	23898	-35.052879333496094	0.014242688	Yes	
