NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRP2	91	73.34261322021484	0.01797849	No	
row_1	GAS1	929	5.018594741821289	0.005127985	No	
row_2	BMP4	1045	4.143503665924072	0.022114657	No	
row_3	WNT6	1081	3.9034383296966553	0.042407386	No	
row_4	PRKACB	1349	2.587298631668091	0.053112548	No	
row_5	BMP8A	3556	0.3222440183162689	-0.01631288	No	
row_6	WNT5A	3847	0.2598831057548523	-0.0065582106	No	
row_7	GSK3B	5045	0.11023862659931183	-0.034285977	No	
row_8	WNT4	5054	0.10925206542015076	-0.012877453	No	
row_9	PRKX	5174	0.10033098608255386	0.003943916	No	
row_10	RAB23	5804	0.0635516569018364	-3.1083688E-4	No	
row_11	WNT3	5917	0.05811966210603714	0.016799813	No	
row_12	CSNK1D	6811	0.027143504470586777	0.0016350667	No	
row_13	PRKACA	7328	0.016469812020659447	0.0020501213	No	
row_14	BMP5	9172	7.575085037387908E-4	-0.05237407	No	
row_15	HHIP	9466	1.8789514433592558E-4	-0.042743374	No	
row_16	GLI1	10807	-5.062827258370817E-4	-0.07638072	No	
row_17	PTCH1	11871	-0.0055446866899728775	-0.09857084	No	
row_18	CSNK1G2	12577	-0.012087487615644932	-0.10596635	No	
row_19	ZIC2	12881	-0.015428815968334675	-0.09674892	No	
row_20	CSNK1G1	14724	-0.0545729324221611	-0.15113178	No	
row_21	CSNK1G3	14962	-0.0638822391629219	-0.13918684	No	
row_22	BMP8B	15619	-0.08816328644752502	-0.14455739	No	
row_23	WNT9A	17545	-0.2164594978094101	-0.20237029	Yes	
row_24	FBXW11	17665	-0.22864116728305817	-0.18554892	Yes	
row_25	WNT10A	17933	-0.2579251527786255	-0.17484376	Yes	
row_26	WNT5B	18254	-0.2990293800830841	-0.16632886	Yes	
row_27	STK36	18988	-0.4153406322002411	-0.17488149	Yes	
row_28	GLI2	19289	-0.48035600781440735	-0.16554008	Yes	
row_29	WNT10B	19684	-0.5750337839126587	-0.16008328	Yes	
row_30	BTRC	19881	-0.6260689496994019	-0.146444	Yes	
row_31	WNT11	19907	-0.6340620517730713	-0.12573801	Yes	
row_32	SUFU	20251	-0.754867672920227	-0.11817361	Yes	
row_33	WNT2B	21360	-1.3876296281814575	-0.14222339	Yes	
row_34	CSNK1A1	21933	-2.084474802017212	-0.14412257	Yes	
row_35	WNT7B	22103	-2.386946201324463	-0.12936749	Yes	
row_36	BMP7	22207	-2.6004042625427246	-0.11188491	Yes	
row_37	SHH	22239	-2.674809217453003	-0.09142687	Yes	
row_38	PTCH2	22422	-3.2390859127044678	-0.077209026	Yes	
row_39	WNT7A	23160	-7.744390964508057	-0.08592696	Yes	
row_40	BMP2	23376	-11.211926460266113	-0.07307286	Yes	
row_41	GLI3	23453	-12.823209762573242	-0.05447448	Yes	
row_42	CSNK1E	23504	-13.636903762817383	-0.034801636	Yes	
row_43	BMP6	23564	-15.300528526306152	-0.015500724	Yes	
row_44	WNT16	23684	-20.492610931396484	0.0013206447	Yes	
row_45	SMO	24139	-95.21497344970703	0.0042978944	Yes	
