NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIKFYVE	642	8.454032897949219	-0.007306928	Yes	
row_1	PLCD3	725	7.223127841949463	0.008534292	Yes	
row_2	PLCB2	729	7.116369247436523	0.027641054	Yes	
row_3	INPPL1	932	5.005159854888916	0.038521957	Yes	
row_4	PIK3CD	1430	2.3476040363311768	0.037208747	Yes	
row_5	OCRL	1977	1.2492587566375732	0.03387007	Yes	
row_6	ITPK1	2023	1.1967813968658447	0.051240724	Yes	
row_7	INPP5K	2138	1.0691787004470825	0.06575919	Yes	
row_8	IMPA1	2253	0.9513736963272095	0.08027766	Yes	
row_9	IPMK	2261	0.9448610544204712	0.09921908	Yes	
row_10	PIK3C2A	2349	0.8725129961967468	0.11485362	Yes	
row_11	PLCB4	2517	0.7517098784446716	0.12718128	Yes	
row_12	PLCG2	3083	0.46674782037734985	0.123057224	Yes	
row_13	ISYNA1	3424	0.35202351212501526	0.12823376	Yes	
row_14	PIK3C3	3678	0.2923373878002167	0.13700652	Yes	
row_15	PIP4K2C	4642	0.1459255814552307	0.11643075	Yes	
row_16	PLCD4	4721	0.13765841722488403	0.13243732	Yes	
row_17	PLCB3	4883	0.12355442345142365	0.14501299	Yes	
row_18	PI4KB	5056	0.10915213823318481	0.15713397	Yes	
row_19	INPP5J	5352	0.08786091208457947	0.16417064	Yes	
row_20	PIP4K2A	5420	0.08403296023607254	0.18063189	Yes	
row_21	SYNJ2	5452	0.08214794099330902	0.19858125	Yes	
row_22	PIK3CA	5552	0.07622789591550827	0.21371976	Yes	
row_23	PIP5K1B	6781	0.02827727235853672	0.18218994	Yes	
row_24	PIP4K2B	6872	0.02563823200762272	0.19770047	Yes	
row_25	PLCG1	7022	0.022374117746949196	0.21077219	Yes	
row_26	INPP1	7191	0.018979758024215698	0.2230585	Yes	
row_27	ITPKA	7402	0.015395782887935638	0.23360872	Yes	
row_28	CDIPT	8023	0.007542925421148539	0.22721119	Yes	
row_29	TPI1	8254	0.005402264650911093	0.23693468	Yes	
row_30	PIP5K1A	9019	0.0011867231223732233	0.22458477	Yes	
row_31	IPPK	9022	0.0011783086229115725	0.24373287	Yes	
row_32	INPP5E	9267	5.341920768842101E-4	0.25287765	Yes	
row_33	PI4KA	9445	2.0973508071620017E-4	0.26479197	Yes	
row_34	PIP5K1C	11244	-0.0018452223157510161	0.20970064	No	
row_35	PTEN	13718	-0.02877449057996273	0.12670754	No	
row_36	ITPKB	14591	-0.05043133720755577	0.10989334	No	
row_37	ALDH6A1	14846	-0.05926067382097244	0.11862477	No	
row_38	SYNJ1	15852	-0.09786593168973923	0.09631288	No	
row_39	PIK3C2B	17866	-0.24960815906524658	0.032334324	No	
row_40	PLCB1	18523	-0.3335420489311218	0.024448695	No	
row_41	PLCE1	19027	-0.42292872071266174	0.022887466	No	
row_42	PIK3C2G	19544	-0.53883296251297	0.020788873	No	
row_43	PIK3CB	20106	-0.6982958316802979	0.01683016	No	
row_44	PIK3CG	20677	-0.9590804576873779	0.012499422	No	
row_45	MINPP1	21649	-1.6799747943878174	-0.008407042	No	
row_46	IMPA2	21742	-1.7970322370529175	0.007020818	No	
row_47	INPP5A	21802	-1.8610639572143555	0.023812765	No	
row_48	INPP4A	22003	-2.2047550678253174	0.03477634	No	
row_49	INPP5B	22834	-5.074879169464111	0.019698247	No	
row_50	INPP4B	22846	-5.138236045837402	0.03847432	No	
row_51	PLCD1	23149	-7.627895832061768	0.045221627	No	
