NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAP1B	292	22.636640548706055	-0.0013379089	No	
row_1	MYL9	341	18.416215896606445	0.007427284	No	
row_2	CLDN11	505	11.964163780212402	0.011430769	No	
row_3	CXCR4	549	10.683996200561523	0.020402992	No	
row_4	ICAM1	1086	3.881544589996338	0.008961982	No	
row_5	PIK3R1	1113	3.7705750465393066	0.01863811	No	
row_6	PIK3CD	1430	2.3476040363311768	0.016306454	No	
row_7	ACTN1	1586	1.9450304508209229	0.020641187	No	
row_8	MYL5	2202	1.0048022270202637	0.005929091	No	
row_9	PLCG2	3083	0.46674782037734985	-0.019755637	No	
row_10	ACTN2	3551	0.3249155879020691	-0.028339623	No	
row_11	RHOA	3586	0.3157373368740082	-0.018994743	No	
row_12	MAPK14	3782	0.2733078896999359	-0.016316256	No	
row_13	ACTN4	3796	0.2707739472389221	-0.006101847	No	
row_14	TXK	4014	0.23010753095149994	-0.0043342942	No	
row_15	MYL12B	4620	0.1484242081642151	-0.01863233	No	
row_16	GNAI2	4725	0.13731198012828827	-0.012185881	No	
row_17	CYBA	5349	0.08815179765224457	-0.027229227	No	
row_18	PIK3CA	5552	0.07622789591550827	-0.024840582	No	
row_19	RAC1	5587	0.07410924881696701	-0.015495704	No	
row_20	ARHGAP35	5885	0.059022556990385056	-0.017040644	No	
row_21	CYBB	6076	0.05050557851791382	-0.014155124	No	
row_22	CLDN23	6501	0.03591341897845268	-0.020958645	No	
row_23	PLCG1	7022	0.022374117746949196	-0.031737156	No	
row_24	GNAI1	7685	0.011171321384608746	-0.048395343	No	
row_25	PTK2B	7827	0.009448565542697906	-0.04348092	No	
row_26	OCLN	7964	0.0081194331869483	-0.03835947	No	
row_27	RAPGEF4	8161	0.006290911231189966	-0.03572239	No	
row_28	PECAM1	8310	0.004997812677174807	-0.031097813	No	
row_29	NCF4	8808	0.0019937329925596714	-0.040923983	No	
row_30	NCF2	9078	9.988878155127168E-4	-0.04130955	No	
row_31	MYL12A	9151	8.032392943277955E-4	-0.033538107	No	
row_32	MAPK12	9264	5.364720127545297E-4	-0.027422907	No	
row_33	MSN	9341	3.751630720216781E-4	-0.019817086	No	
row_34	CTNNA1	9622	7.235188968479633E-5	-0.02065812	No	
row_35	ESAM	9709	1.4611509868700523E-5	-0.013466362	No	
row_36	CLDN2	9866	0.0	-0.009173034	No	
row_37	CTNNA3	9890	0.0	6.2731287E-4	No	
row_38	BCAR1	10387	-2.1215400920482352E-5	-0.009157452	No	
row_39	VCAM1	11830	-0.005177941173315048	-0.05811244	No	
row_40	ITGAM	12122	-0.007483610417693853	-0.05940894	No	
row_41	ROCK1	12300	-0.009114773944020271	-0.05598514	No	
row_42	SIPA1	13041	-0.01755339652299881	-0.07587301	No	
row_43	RAC2	13102	-0.01844070665538311	-0.06760469	No	
row_44	PRKCG	14196	-0.04007048159837723	-0.102108926	No	
row_45	CLDN16	14901	-0.0612502247095108	-0.120506175	No	
row_46	VASP	14927	-0.06252168864011765	-0.110788636	No	
row_47	CLDN8	15060	-0.06741247326135635	-0.10550156	No	
row_48	CLDN22	15401	-0.07946624606847763	-0.108826965	No	
row_49	CDH5	15440	-0.08123215287923813	-0.09964771	No	
row_50	PIK3R2	15597	-0.08732226490974426	-0.095354386	No	
row_51	ACTB	15722	-0.09215662628412247	-0.08973606	No	
row_52	GNAI3	15891	-0.09992190450429916	-0.0859396	No	
row_53	CLDN1	16181	-0.11393658071756363	-0.08715329	No	
row_54	CTNNB1	16560	-0.13735662400722504	-0.09205213	No	
row_55	MAPK11	16784	-0.1539754718542099	-0.09053302	No	
row_56	PRKCA	17056	-0.17257028818130493	-0.0910014	No	
row_57	PTPN11	18044	-0.27273204922676086	-0.12111658	Yes	
row_58	CLDN3	18143	-0.28551316261291504	-0.114421695	Yes	
row_59	RAP1A	18225	-0.29444822669029236	-0.107022904	Yes	
