NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH2	116	56.4071044921875	0.019016532	Yes	
row_1	EHMT2	421	14.786384582519531	0.03026511	Yes	
row_2	AASS	714	7.404119491577148	0.042009514	Yes	
row_3	PLOD2	772	6.5697245597839355	0.06346386	Yes	
row_4	ACAT2	2061	1.1534698009490967	0.03405464	Yes	
row_5	EHHADH	2752	0.6166622638702393	0.029354125	Yes	
row_6	PLOD3	3632	0.3063320815563202	0.016844336	Yes	
row_7	OGDHL	3745	0.28115007281303406	0.036026143	Yes	
row_8	SETD7	3784	0.2731495499610901	0.05826555	Yes	
row_9	OGDH	4034	0.22667664289474487	0.071786664	Yes	
row_10	SETD2	4406	0.17311684787273407	0.08026688	Yes	
row_11	ALDH3A2	4580	0.15244394540786743	0.09692823	Yes	
row_12	PLOD1	4665	0.14346714317798615	0.11726697	Yes	
row_13	SUV39H1	4686	0.1411905437707901	0.14025012	Yes	
row_14	PIPOX	4853	0.12589454650878906	0.15720071	Yes	
row_15	KMT5A	5683	0.06910791993141174	0.14675686	Yes	
row_16	SETDB2	6817	0.027078716084361076	0.123752065	Yes	
row_17	ALDH9A1	6956	0.023648956790566444	0.14185958	Yes	
row_18	SETD1B	8680	0.002596484962850809	0.09447664	Yes	
row_19	SETD1A	9487	1.620342518435791E-4	0.08498313	Yes	
row_20	SUV39H2	9511	1.3321575534064323E-4	0.10784232	Yes	
row_21	KMT5C	11080	-0.0012474313843995333	0.066863805	Yes	
row_22	DOT1L	11161	-0.001563218655064702	0.08736782	Yes	
row_23	NSD1	11278	-0.002048538066446781	0.10638435	Yes	
row_24	GCDH	11367	-0.002520663198083639	0.12655781	Yes	
row_25	DLST	11409	-0.002735320944339037	0.14867327	Yes	
row_26	ECHS1	11829	-0.0051740058697760105	0.15517017	Yes	
row_27	EHMT1	11986	-0.006483601871877909	0.17253394	Yes	
row_28	KMT5B	12020	-0.00674471678212285	0.19497995	Yes	
row_29	ACAT1	12138	-0.007636908441781998	0.21395515	Yes	
row_30	ALDH1B1	12446	-0.01061062328517437	0.22507977	Yes	
row_31	SETMAR	12681	-0.013231467455625534	0.23922068	Yes	
row_32	TMLHE	12847	-0.015029088594019413	0.2562126	Yes	
row_33	SETDB1	14009	-0.035306416451931	0.23205087	No	
row_34	ASH1L	15115	-0.06958529353141785	0.210203	No	
row_35	HADHA	19428	-0.5091872811317444	0.05584543	No	
row_36	AASDH	19518	-0.5312824845314026	0.07597757	No	
row_37	HADH	20199	-0.7339962124824524	0.07169024	No	
row_38	BBOX1	21107	-1.1967101097106934	0.058023524	No	
row_39	AADAT	22815	-4.973802089691162	0.011301683	No	
row_40	AASDHPPT	23330	-10.33818244934082	0.013873292	No	
row_41	ALDH7A1	24234	-323.0862731933594	3.7184884E-4	No	
