NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	69	90.20176696777344	0.005990165	Yes	
row_1	NEU1	99	65.1888427734375	0.013637949	Yes	
row_2	TPP1	123	52.306949615478516	0.021534376	Yes	
row_3	HEXA	261	25.08481788635254	0.024706589	Yes	
row_4	AGA	359	17.494089126586914	0.02953642	Yes	
row_5	GNS	496	12.268084526062012	0.032750074	Yes	
row_6	LAMP3	558	10.32949161529541	0.03907176	Yes	
row_7	CTSA	570	10.024869918823242	0.047465473	Yes	
row_8	SMPD1	682	7.765682220458984	0.05171514	Yes	
row_9	GNPTAB	698	7.5712738037109375	0.05994309	Yes	
row_10	AP3M2	701	7.5555267333984375	0.06870977	Yes	
row_11	ASAH1	801	6.282285213470459	0.07345672	Yes	
row_12	NAGLU	941	4.885159969329834	0.07654605	Yes	
row_13	MCOLN1	943	4.868842124938965	0.085354164	Yes	
row_14	IDUA	1029	4.258762359619141	0.090681285	Yes	
row_15	CTNS	1167	3.4326682090759277	0.093853496	Yes	
row_16	CLTA	1176	3.3760201930999756	0.10237153	Yes	
row_17	GLA	1247	3.0542423725128174	0.10832026	Yes	
row_18	M6PR	1283	2.895263195037842	0.11571939	Yes	
row_19	ATP6AP1	1441	2.316826343536377	0.1180628	Yes	
row_20	NPC2	1555	2.0126049518585205	0.12222958	Yes	
row_21	ARSA	1571	1.9657355546951294	0.13045754	Yes	
row_22	LGMN	1770	1.539061427116394	0.13110188	Yes	
row_23	GALNS	1787	1.5184731483459473	0.1392884	Yes	
row_24	SCARB2	1892	1.3677095174789429	0.14382814	Yes	
row_25	AP1S2	1916	1.328302025794983	0.15172456	Yes	
row_26	GNPTG	2055	1.1618586778640747	0.15485534	Yes	
row_27	GGA2	2063	1.1522624492645264	0.1634148	Yes	
row_28	ATP6V0D1	2281	0.9263273477554321	0.16327178	Yes	
row_29	LAMP1	2473	0.7767704725265503	0.1642062	Yes	
row_30	IGF2R	2599	0.6947742700576782	0.1678757	Yes	
row_31	CD63	2636	0.6728212833404541	0.17523341	Yes	
row_32	CTSF	2745	0.6182058453559875	0.17960739	Yes	
row_33	CTSO	2883	0.5561805367469788	0.18277961	Yes	
row_34	MAN2B1	2899	0.5493837594985962	0.19100757	Yes	
row_35	LAMP2	2933	0.5328519940376282	0.19848958	Yes	
row_36	HGSNAT	2961	0.5182005763053894	0.20622025	Yes	
row_37	PPT2	3028	0.49008944630622864	0.21233474	Yes	
