NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	21	272.05792236328125	0.0025715956	No	
row_1	IL6	234	27.40949821472168	-0.0028304248	No	
row_2	NFKB2	303	21.28003692626953	-0.002220923	No	
row_3	E2F1	404	15.513245582580566	-0.0029473153	No	
row_4	CASP8	438	14.013992309570312	-8.7667984E-4	No	
row_5	FZD4	448	13.632780075073242	0.0021958759	No	
row_6	CASP3	499	12.18275260925293	0.0035568178	No	
row_7	FZD1	508	11.849762916564941	0.00667112	No	
row_8	TRAF2	596	9.431550979614258	0.0064874347	No	
row_9	CTBP1	637	8.524699211120605	0.008265844	No	
row_10	PDGFRB	639	8.497727394104004	0.011672373	No	
row_11	AXIN1	705	7.538455963134766	0.012407115	No	
row_12	HSP90B1	773	6.547158241271973	0.0130583625	No	
row_13	VEGFB	896	5.3683366775512695	0.0114135435	No	
row_14	DVL2	1037	4.2134318351745605	0.009017284	No	
row_15	BMP4	1045	4.143503665924072	0.012173333	No	
row_16	SKP2	1048	4.129093647003174	0.015538116	No	
row_17	WNT6	1081	3.9034383296966553	0.017650498	No	
row_18	PIK3R1	1113	3.7705750465393066	0.019804627	No	
row_19	LAMB2	1141	3.5805857181549072	0.022125741	No	
row_20	FGF12	1156	3.4898786544799805	0.024989564	No	
row_21	VEGFC	1251	3.0475497245788574	0.024513653	No	
row_22	BCL2L1	1299	2.808366537094116	0.025999835	No	
row_23	STK4	1324	2.67004656791687	0.02844619	No	
row_24	PML	1330	2.647700786590576	0.031685732	No	
row_25	RELA	1345	2.607870101928711	0.034549553	No	
row_26	PIK3CD	1430	2.3476040363311768	0.03449111	No	
row_27	CDK4	1462	2.253784656524658	0.036645237	No	
row_28	BCL2	1506	2.146711587905884	0.038298406	No	
row_29	AKT3	1633	1.8336325883865356	0.0364866	No	
row_30	IKBKB	1667	1.7392661571502686	0.038557235	No	
row_31	CDKN2B	1669	1.7387473583221436	0.041963767	No	
row_32	CREBBP	1675	1.727010726928711	0.04520331	No	
row_33	FZD2	1927	1.3061842918395996	0.03817317	No	
row_34	IKBKG	1957	1.2702324390411377	0.04041079	No	
row_35	CBLB	2185	1.0218617916107178	0.03438257	No	
row_36	MAX	2224	0.9781727194786072	0.03624447	No	
row_37	BAD	2234	0.970659077167511	0.039317027	No	
row_38	TGFBR1	2295	0.9123965501785278	0.0402605	No	
row_39	HSP90AB1	2511	0.7540778517723083	0.03473324	No	
row_40	TGFB2	2642	0.6708868145942688	0.032754447	No	
row_41	FGF2	2653	0.6634512543678284	0.035785258	No	
row_42	TRAF1	2668	0.6573082208633423	0.03864908	No	
row_43	RB1	2703	0.6417232751846313	0.04067797	No	
row_44	FADD	2730	0.6243413090705872	0.04304083	No	
row_45	BAX	2918	0.5427011251449585	0.03868248	No	
row_46	NRAS	2986	0.5092548131942749	0.039333727	No	
row_47	PLD1	3017	0.49506038427352905	0.0415296	No	
row_48	PLCG2	3083	0.46674782037734985	0.042264342	No	
row_49	NFKBIA	3084	0.4664573669433594	0.04571262	No	
row_50	BRCA2	3136	0.4460703432559967	0.047031812	No	
row_51	STAT3	3138	0.4447613060474396	0.050438344	No	
row_52	RASSF1	3472	0.3415941298007965	0.039984975	No	
row_53	RUNX1T1	3516	0.3321470618247986	0.041638143	No	
row_54	FH	3554	0.3232482075691223	0.043541793	No	
row_55	RHOA	3586	0.3157373368740082	0.04569592	No	
row_56	RARA	3665	0.2960589826107025	0.045887955	No	
row_57	WNT5A	3847	0.2598831057548523	0.04178008	No	
row_58	DVL3	3911	0.24890124797821045	0.04259832	No	
row_59	ARAF	3941	0.24401643872261047	0.04483594	No	
row_60	NKX3-1	4073	0.22167834639549255	0.0428154	No	
row_61	CRK	4087	0.21972838044166565	0.04572097	No	
row_62	MTOR	4137	0.20917339622974396	0.04712366	No	
row_63	TRAF5	4153	0.2063995748758316	0.049945734	No	
row_64	GRB2	4325	0.18383075296878815	0.046255328	No	
row_65	PIAS2	4410	0.1727735847234726	0.04619688	No	
row_66	RAD51	4576	0.1527218520641327	0.042756956	No	
row_67	CYCS	4614	0.1491113305091858	0.044660605	No	
row_68	ITGAV	4662	0.14373598992824554	0.046146788	No	
row_69	NCOA4	4677	0.14236241579055786	0.04901061	No	
row_70	EGLN2	4700	0.13944049179553986	0.051540457	No	
row_71	CDK2	4785	0.13176964223384857	0.05148201	No	
row_72	SMAD4	4786	0.13160733878612518	0.05493029	No	
row_73	CDKN2A	4827	0.1279297024011612	0.056708697	No	
row_74	DAPK1	4967	0.1164909303188324	0.054354183	No	
row_75	GSK3B	5045	0.11023862659931183	0.054587964	No	
row_76	WNT4	5054	0.10925206542015076	0.05770227	No	
row_77	PPARD	5177	0.10029193013906479	0.05605745	No	
row_78	MSH3	5351	0.08795218914747238	0.052283548	No	
row_79	VEGFD	5545	0.07676167786121368	0.047674716	No	
row_80	PIK3CA	5552	0.07622789591550827	0.050872512	No	
row_81	RAC1	5587	0.07410924881696701	0.0529014	No	
row_82	HIF1A	5774	0.06491632759571075	0.048584793	No	
row_83	CCND1	5800	0.06380611658096313	0.0509894	No	
row_84	FGFR1	5872	0.0598609484732151	0.051473662	No	
row_85	WNT3	5917	0.05811966210603714	0.053085085	No	
row_86	CKS1B	6100	0.049602340906858444	0.048935466	No	
row_87	FGF1	6275	0.04317866265773773	0.04511982	No	
row_88	RXRB	6286	0.042798981070518494	0.04815063	No	
row_89	ITGA2B	6447	0.03777570277452469	0.044919435	No	
row_90	TPM3	6465	0.03701646625995636	0.04765802	No	
row_91	LAMC1	6481	0.036532849073410034	0.050480094	No	
row_92	FZD7	6599	0.03311774507164955	0.04904401	No	
row_93	TFG	6669	0.031282562762498856	0.049611762	No	
row_94	CDKN1B	6896	0.02522600255906582	0.043625288	No	
row_95	PDGFB	7013	0.022536905482411385	0.04223095	No	
row_96	PLCG1	7022	0.022374117746949196	0.04534525	No	
row_97	CUL2	7056	0.021518748253583908	0.047415886	No	
row_98	FZD8	7099	0.02075948566198349	0.049110804	No	
row_99	MAP2K2	7294	0.017138883471488953	0.044460222	No	
row_100	EGLN1	7401	0.01541129406541586	0.04348335	No	
row_101	STAT5A	7427	0.014895728789269924	0.04588796	No	
row_102	FZD6	7628	0.011885429732501507	0.0409869	No	
row_103	AXIN2	7687	0.01116291992366314	0.04201387	No	
row_104	VEGFA	7871	0.008976997807621956	0.0378225	No	
row_105	HSP90AA1	8021	0.007555224001407623	0.035050523	No	
row_106	RARB	8372	0.004492064472287893	0.02388746	No	
row_107	SMAD2	8403	0.004237066488713026	0.026083335	No	
row_108	MLH1	8551	0.003337925998494029	0.02339485	No	
row_109	NFKB1	8863	0.0018083024770021439	0.013859907	No	
row_110	COL4A2	8900	0.0016430072719231248	0.015805302	No	
row_111	CSF3R	8961	0.0014079532120376825	0.016748779	No	
row_112	ITGA3	9352	3.4343815059401095E-4	0.003915848	No	
row_113	HHIP	9466	1.8789514433592558E-4	0.0026467494	No	
row_114	TPR	9510	1.34629342937842E-4	0.004299918	No	
row_115	CTNNA1	9622	7.235188968479633E-5	0.0031143124	No	
row_116	TRAF6	9661	4.232940045767464E-5	0.0049762144	No	
row_117	TGFB3	9668	3.8023528759367764E-5	0.008174011	No	
row_118	CTNNA3	9890	0.0	0.0023962697	No	
row_119	FLT3	9962	0.0	0.0028805314	No	
row_120	FGF9	10382	-1.903036354633514E-5	-0.011163051	No	
row_121	AKT2	10474	-6.654558092122898E-5	-0.011513724	No	
row_122	XIAP	10508	-8.527213503839448E-5	-0.009443088	No	
row_123	APC	10683	-2.843370020855218E-4	-0.013258735	No	
row_124	GLI1	10807	-5.062827258370817E-4	-0.0149453	No	
row_125	KRAS	10929	-7.755726692266762E-4	-0.016548373	No	
row_126	ARNT2	11025	-0.0010750378714874387	-0.017066032	No	
row_127	RET	11075	-0.0012388501781970263	-0.015663343	No	
row_128	CSF1R	11404	-0.00269501144066453	-0.025907978	No	
row_129	CCNE1	11413	-0.0027574319392442703	-0.022793677	No	
row_130	TRAF4	11564	-0.003500190796330571	-0.025607402	No	
row_131	SOS2	11579	-0.0035762807819992304	-0.022743579	No	
row_132	FGFR3	11818	-0.0050707473419606686	-0.029231014	No	
row_133	APPL1	11832	-0.005199969746172428	-0.026325444	No	
row_134	AKT1	11870	-0.005537042394280434	-0.024421796	No	
row_135	PTCH1	11871	-0.0055446866899728775	-0.02097352	No	
row_136	COL4A4	11977	-0.00637053232640028	-0.021908646	No	
row_137	COL4A1	12081	-0.007213281467556953	-0.022760278	No	
row_138	E2F2	12133	-0.007581691257655621	-0.021441083	No	
row_139	FGF18	12236	-0.008589575998485088	-0.022250969	No	
row_140	FZD9	12535	-0.011722714640200138	-0.031243203	No	
row_141	CHUK	12549	-0.011823317036032677	-0.028337633	No	
row_142	KIT	12650	-0.012918496504426003	-0.029064026	No	
row_143	HRAS	12724	-0.013701741583645344	-0.028663257	No	
row_144	CCNE2	12787	-0.014286709018051624	-0.027803276	No	
row_145	CXCL8	12895	-0.015598333440721035	-0.028821895	No	
row_146	BIRC3	13087	-0.018271945416927338	-0.033347234	No	
row_147	RAC2	13102	-0.01844070665538311	-0.030483413	No	
row_148	MAP2K1	13183	-0.019732162356376648	-0.030374872	No	
row_149	HDAC1	13214	-0.02015741355717182	-0.028178995	No	
