NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAP1	57	106.19158172607422	0.050278638	Yes	
row_1	TAP2	925	5.078284740447998	0.067120746	Yes	
row_2	DCLRE1C	1534	2.06565523147583	0.094654284	Yes	
row_3	BTK	1631	1.8398375511169434	0.14332302	Yes	
row_4	RFXAP	1752	1.5774329900741577	0.19100104	Yes	
row_5	UNG	1901	1.348261833190918	0.23752323	Yes	
row_6	IKBKG	1957	1.2702324390411377	0.2878844	Yes	
row_7	RFX5	2469	0.7781471014022827	0.3194221	Yes	
row_8	CIITA	2615	0.6866149306297302	0.36606812	Yes	
row_9	IL7R	5646	0.07107915729284286	0.2936223	No	
row_10	CD8A	8734	0.002303263172507286	0.21882354	No	
row_11	RFXANK	10714	-3.5321558243595064E-4	0.18976265	No	
row_12	LCK	13624	-0.02731517143547535	0.122311674	No	
row_13	CD40	14171	-0.03925204649567604	0.15240456	No	
row_14	ADA	15255	-0.07466163486242294	0.16033025	No	
row_15	TNFRSF13C	18409	-0.3184981346130371	0.08280704	No	
row_16	JAK3	19084	-0.4351483881473541	0.10761612	No	
row_17	BLNK	19997	-0.6631171703338623	0.122600645	No	
row_18	RAG1	22481	-3.4058094024658203	0.0727348	No	
