NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP2R1A	885	5.465073108673096	-0.023801187	No	
row_1	BMP4	1045	4.143503665924072	-0.017560165	No	
row_2	PPP2CB	1194	3.3105926513671875	-0.01086396	No	
row_3	CDKN2B	1669	1.7387473583221436	-0.017657781	No	
row_4	CREBBP	1675	1.727010726928711	-0.00504417	No	
row_5	TGFBR1	2295	0.9123965501785278	-0.017838158	No	
row_6	TGFB2	2642	0.6708868145942688	-0.019335281	No	
row_7	SMAD6	3173	0.43047869205474854	-0.028446406	No	
row_8	BMP8A	3556	0.3222440183162689	-0.031433225	No	
row_9	RHOA	3586	0.3157373368740082	-0.019812746	No	
row_10	INHBE	3926	0.24591563642024994	-0.021020208	No	
row_11	RBL1	4211	0.1979130357503891	-0.019951742	No	
row_12	THBS3	4722	0.13750538229942322	-0.02823526	No	
row_13	SMAD4	4786	0.13160733878612518	-0.018021716	No	
row_14	BMPR2	5122	0.10377097129821777	-0.019063653	No	
row_15	E2F5	6955	0.02371271327137947	-0.08205213	No	
row_16	AMH	7095	0.020821193233132362	-0.0749835	No	
row_17	RPS6KB2	7960	0.00814303383231163	-0.097915694	No	
row_18	SMAD2	8403	0.004237066488713026	-0.103385344	No	
row_19	SP1	9060	0.001044655218720436	-0.117710404	No	
row_20	BMP5	9172	7.575085037387908E-4	-0.10948312	No	
row_21	E2F4	9176	7.518225465901196E-4	-0.09678675	No	
row_22	SMAD9	9196	7.073615561239421E-4	-0.08475247	No	
row_23	ACVR2A	9266	5.344342207536101E-4	-0.07478721	No	
row_24	TGFB3	9668	3.8023528759367764E-5	-0.078560255	No	
row_25	INHBC	9983	0.0	-0.078733206	No	
row_26	TNF	10265	0.0	-0.0775406	No	
row_27	THBS4	10616	-2.022221015067771E-4	-0.07920324	No	
row_28	PITX2	11082	-0.0012524069752544165	-0.085624635	No	
row_29	ACVR1	11227	-0.0017817290499806404	-0.07876291	No	
row_30	PPP2CA	11355	-0.002459268318489194	-0.07119772	No	
row_31	ROCK1	12300	-0.009114773944020271	-0.09744035	No	
row_32	SKP1	12312	-0.009266696870326996	-0.08507502	No	
row_33	RBL2	12405	-0.010103442706167698	-0.07606151	No	
row_34	ZFYVE16	12901	-0.015709107741713524	-0.08372432	No	
row_35	CHRD	12994	-0.016892140731215477	-0.07471081	No	
row_36	GDF7	13015	-0.01721264235675335	-0.06271791	No	
row_37	MAPK3	13575	-0.026277275756001472	-0.07302906	No	
row_38	TFDP1	14580	-0.05019030719995499	-0.101754524	No	
row_39	SMAD7	14814	-0.05808740854263306	-0.09857566	No	
row_40	ACVR1C	15523	-0.08415810763835907	-0.11505251	No	
row_41	SMAD3	15564	-0.08604086190462112	-0.10388721	No	
row_42	BMP8B	15619	-0.08816328644752502	-0.093301244	No	
row_43	GDF5	15935	-0.10160069912672043	-0.09351557	No	
row_44	SMAD1	16725	-0.14910352230072021	-0.11334423	No	
row_45	MAPK1	17158	-0.1819700449705124	-0.118400075	No	
row_46	GDF6	17305	-0.19491510093212128	-0.11162111	No	
row_47	RBX1	17586	-0.220451220870018	-0.110387124	No	
row_48	THBS1	18394	-0.3167143762111664	-0.13096063	No	
row_49	CUL1	18976	-0.4125853478908539	-0.14218216	No	
row_50	MYC	19358	-0.49591630697250366	-0.14512761	No	
row_51	BMPR1B	19936	-0.6426167488098145	-0.15618362	Yes	
row_52	RPS6KB1	19996	-0.6627752184867859	-0.14580454	Yes	
row_53	ID3	20018	-0.6706455945968628	-0.13385302	Yes	
row_54	TGFBR2	20098	-0.6942059993743896	-0.12430156	Yes	
row_55	ROCK2	20174	-0.7258636355400085	-0.11458459	Yes	
row_56	ACVRL1	20177	-0.7266859412193298	-0.10184683	Yes	
row_57	EP300	20807	-1.0284392833709717	-0.11505462	Yes	
row_58	SMAD5	21401	-1.4302889108657837	-0.12677272	Yes	
row_59	ACVR2B	21446	-1.4655981063842773	-0.11577295	Yes	
row_60	BMPR1A	21609	-1.6330877542495728	-0.109656066	Yes	
row_61	FST	21836	-1.9155055284500122	-0.10618754	Yes	
row_62	THBS2	22185	-2.566507577896118	-0.10776742	Yes	
row_63	BMP7	22207	-2.6004042625427246	-0.0958159	Yes	
row_64	PPP2R1B	22662	-4.0895466804504395	-0.101782106	Yes	
row_65	ZFYVE9	22811	-4.940761566162109	-0.095085904	Yes	
row_66	SMURF1	23071	-6.813015937805176	-0.092982925	Yes	
row_67	TGFB1	23338	-10.513606071472168	-0.09116961	Yes	
row_68	INHBA	23354	-10.737574577331543	-0.07896981	Yes	
row_69	BMP2	23376	-11.211926460266113	-0.067018285	Yes	
row_70	SMURF2	23385	-11.292745590209961	-0.054528814	Yes	
row_71	BMP6	23564	-15.300528526306152	-0.04907402	Yes	
row_72	ID1	23635	-18.27341079711914	-0.03915014	Yes	
row_73	ID4	23674	-20.08363151550293	-0.027902083	Yes	
row_74	LTBP1	23910	-36.57928466796875	-0.024805976	Yes	
row_75	INHBB	23986	-47.70024108886719	-0.015088998	Yes	
row_76	NOG	24062	-62.906471252441406	-0.0053720186	Yes	
row_77	ID2	24138	-94.50294494628906	0.0043449607	Yes	
