NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STAT1	21	272.05792236328125	0.011630938	Yes	
row_1	CCL5	76	84.3391342163086	0.02189621	Yes	
row_2	IL6	234	27.40949821472168	0.027898941	Yes	
row_3	IRF7	392	15.987170219421387	0.033901673	Yes	
row_4	CASP8	438	14.013992309570312	0.0445394	Yes	
row_5	IFNB1	606	9.116430282592773	0.050128292	Yes	
row_6	TLR3	646	8.340270042419434	0.06101432	Yes	
row_7	CD14	697	7.57256555557251	0.07144513	Yes	
row_8	TOLLIP	740	7.00057315826416	0.082207	Yes	
row_9	CXCL10	1096	3.8245530128479004	0.08001573	Yes	
row_10	PIK3R1	1113	3.7705750465393066	0.09185359	Yes	
row_11	RELA	1345	2.607870101928711	0.094793916	Yes	
row_12	PIK3CD	1430	2.3476040363311768	0.103817664	Yes	
row_13	RIPK1	1550	2.0282294750213623	0.11139299	Yes	
row_14	TLR4	1558	1.9954285621643066	0.1236033	Yes	
row_15	AKT3	1633	1.8336325883865356	0.13304089	Yes	
row_16	IKBKB	1667	1.7392661571502686	0.14417523	Yes	
row_17	CCL3	1670	1.7384424209594727	0.15659246	Yes	
row_18	TBK1	1673	1.7298942804336548	0.16900969	Yes	
row_19	IKBKG	1957	1.2702324390411377	0.16979805	Yes	
row_20	FADD	2730	0.6243413090705872	0.1503497	No	
row_21	NFKBIA	3084	0.4664573669433594	0.14824119	No	
row_22	MAP3K8	3253	0.404695600271225	0.1537887	No	
row_23	IRF3	3505	0.33444786071777344	0.15590136	No	
row_24	MAPK14	3782	0.2733078896999359	0.1569794	No	
row_25	MAP3K7	4220	0.19719529151916504	0.15139465	No	
row_26	CXCL11	4235	0.19565559923648834	0.16331528	No	
row_27	IRF5	5392	0.08519811928272247	0.12797551	No	
row_28	TICAM2	5526	0.07790166884660721	0.13497145	No	
row_29	PIK3CA	5552	0.07622789591550827	0.14643687	No	
row_30	RAC1	5587	0.07410924881696701	0.15752982	No	
row_31	IRAK4	6347	0.04146963357925415	0.13861945	No	
row_32	IL12A	6487	0.03635038435459137	0.14536709	No	
row_33	IKBKE	6535	0.034860651940107346	0.15592206	No	
row_34	MAP2K2	7294	0.017138883471488953	0.13705307	No	
row_35	MYD88	7899	0.008688277564942837	0.12455721	No	
row_36	NFKB1	8863	0.0018083024770021439	0.09720454	No	
row_37	TAB2	8910	0.0015825278824195266	0.10780088	No	
row_38	MAPK12	9264	5.364720127545297E-4	0.10569237	No	
row_39	TRAF6	9661	4.232940045767464E-5	0.10180436	No	
row_40	TLR7	10264	0.0	0.08939127	No	
row_41	TNF	10265	0.0	0.101891264	No	
row_42	AKT2	10474	-6.654558092122898E-5	0.105783425	No	
row_43	MAP2K4	11740	-0.004550959449261427	0.06593282	No	
row_44	AKT1	11870	-0.005537042394280434	0.0730943	No	
row_45	CHUK	12549	-0.011823317036032677	0.057536032	No	
row_46	CXCL8	12895	-0.015598333440721035	0.055758595	No	
row_47	MAP2K1	13183	-0.019732162356376648	0.056381423	No	
row_48	MAPK3	13575	-0.026277275756001472	0.05270033	No	
row_49	CD40	14171	-0.03925204649567604	0.040576924	No	
row_50	TLR2	14311	-0.04304284602403641	0.047324564	No	
row_51	MAPK9	14510	-0.048365894705057144	0.051630557	No	
row_52	MAP2K3	14587	-0.0503627248108387	0.060985383	No	
row_53	TIRAP	14624	-0.051602572202682495	0.071995564	No	
row_54	LY96	14797	-0.05748243257403374	0.077377535	No	
row_55	MAP2K6	15172	-0.07178718596696854	0.07439997	No	
row_56	PIK3R2	15597	-0.08732226490974426	0.06935321	No	
row_57	TICAM1	16564	-0.1376277655363083	0.041876383	No	
row_58	CTSK	16591	-0.13944341242313385	0.053300403	No	
row_59	MAPK11	16784	-0.1539754718542099	0.057854697	No	
row_60	IFNAR2	16994	-0.16762185096740723	0.06170547	No	
row_61	MAPK1	17158	-0.1819700449705124	0.067459896	No	
row_62	TRAF3	17264	-0.19140087068080902	0.075614594	No	
row_63	TAB1	17735	-0.2358926385641098	0.06866417	No	
row_64	IFNAR1	18361	-0.31293612718582153	0.05529925	No	
row_65	IRAK1	18391	-0.31635111570358276	0.066599116	No	
row_66	MAP2K7	18655	-0.3551415503025055	0.068215154	No	
row_67	JUN	19880	-0.6256341338157654	0.030061293	No	
row_68	IL1B	19910	-0.6353527307510376	0.04136116	No	
row_69	PIK3CB	20106	-0.6982958316802979	0.045791306	No	
row_70	MAPK13	20439	-0.8313834071159363	0.04455186	No	
row_71	TLR1	20557	-0.8886743783950806	0.052209947	No	
row_72	PIK3CG	20677	-0.9590804576873779	0.059785265	No	
row_73	SPP1	20686	-0.9625785946846008	0.07195419	No	
row_74	MAPK8	22531	-3.611987590789795	0.008142328	No	
row_75	PIK3R3	22788	-4.814421653747559	0.010048056	No	
row_76	MAPK10	23287	-9.536355018615723	0.0019388867	No	
row_77	FOS	23291	-9.592893600463867	0.014314735	No	
row_78	TLR5	23502	-13.588324546813965	0.018124122	No	
row_79	TLR6	23829	-28.47638702392578	0.017132979	No	
