NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	85	-0.37047502	-4.0310345	0.0	0.0	0.0	9305	tags=75%, list=38%, signal=122%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE	Details ...	121	-0.23027821	-2.9006693	0.0	3.4210528E-4	0.001	5466	tags=45%, list=23%, signal=58%	
KEGG_PATHWAYS_IN_CANCER	KEGG_PATHWAYS_IN_CANCER	Details ...	290	-0.110979356	-2.1857686	0.0060975607	0.03852609	0.14	4365	tags=29%, list=18%, signal=35%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	69	-0.21763885	-2.1590104	0.0072202166	0.035148263	0.169	3875	tags=38%, list=16%, signal=45%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	49	-0.25481144	-2.1085136	0.0	0.036941357	0.216	6700	tags=53%, list=28%, signal=73%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	84	-0.19173762	-2.0674198	0.004048583	0.03835151	0.258	7202	tags=49%, list=30%, signal=69%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	134	-0.14988582	-2.0077906	0.00390625	0.04808924	0.358	6700	tags=43%, list=28%, signal=58%	
KEGG_CALCIUM_SIGNALING_PATHWAY	KEGG_CALCIUM_SIGNALING_PATHWAY	Details ...	133	-0.14141737	-1.8970253	0.01923077	0.07885354	0.551	6617	tags=41%, list=27%, signal=57%	
KEGG_FOCAL_ADHESION	KEGG_FOCAL_ADHESION	Details ...	179	-0.11855929	-1.8402491	0.009328358	0.0966861	0.654	6087	tags=37%, list=25%, signal=49%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	23	-0.31171477	-1.7960504	0.014373717	0.108124815	0.742	5100	tags=52%, list=21%, signal=66%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY	Details ...	46	-0.22410943	-1.7880061	0.017716536	0.10201917	0.76	6700	tags=50%, list=28%, signal=69%	
