NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	113	0.27218175	3.5162835	0.0	0.0	0.0	6733	tags=55%, list=28%, signal=76%	
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	Details ...	50	0.40797386	3.356128	0.0	0.0	0.0	4190	tags=58%, list=17%, signal=70%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	53	0.33491328	2.8755686	0.0	4.4594595E-4	0.001	6535	tags=60%, list=27%, signal=82%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	16	0.54342085	2.6285708	0.0	0.0028088754	0.009	5016	tags=75%, list=21%, signal=95%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	36	0.33414572	2.4401243	0.0	0.0053182417	0.022	4032	tags=50%, list=17%, signal=60%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	40	0.31946787	2.3945756	0.0	0.0061248057	0.03	12874	tags=85%, list=53%, signal=181%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	52	0.26479197	2.2012146	0.00203666	0.020360533	0.11	9445	tags=65%, list=39%, signal=107%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	Details ...	33	0.31953797	2.1883144	0.0	0.018878927	0.117	6956	tags=61%, list=29%, signal=85%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION	Details ...	49	0.24818924	2.0644782	0.006147541	0.03795362	0.256	7353	tags=55%, list=30%, signal=79%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	27	0.32502115	2.06258	0.0020120724	0.034405373	0.258	3801	tags=48%, list=16%, signal=57%	
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	Details ...	24	0.3449422	1.9915733	0.008230452	0.048269592	0.363	6797	tags=63%, list=28%, signal=87%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	Details ...	19	0.36606812	1.9834967	0.002074689	0.047840767	0.387	2615	tags=47%, list=11%, signal=53%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	79	0.18982628	1.9563767	0.0040816325	0.052842457	0.447	3084	tags=32%, list=13%, signal=36%	
